,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2Bdh8MtsIzR1RKvq3mZcQ9,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Avalon,12,Protoculture,Refractions,https://i.scdn.co/image/ab67616d0000b27377460ee6e66d245dd0fc4283,"['progressive house', 'progressive trance', 'psychedelic trance', 'trance', 'uplifting trance']",43,0.665,0.94,5,-6.647,0,0.0611,0.00252,0.747,0.202,0.342,142.006,483173,4,psytrance
5LQXBFQCO7LwV8T3ntzg2U,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Baby Boom,0,Ace Ventura,Baby Boom,https://i.scdn.co/image/ab67616d0000b2730520a291b3160fbfeb6ea308,"['progressive psytrance', 'psychedelic trance']",43,0.739,0.762,1,-7.511,1,0.051,0.000696,0.877,0.707,0.104,130.001,583427,4,psytrance
4pdn1OiK3vYnnlLkkoUFly,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,"El Santo, Pt. 2",9,D-Tek,Earth Technologies,https://i.scdn.co/image/ab67616d0000b2739ad86f3b853f6ed1d863e4a1,[],6,0.693,0.893,4,-10.172,1,0.0663,6.52e-05,0.836,0.397,0.143,144.988,405853,4,psytrance
5OjnXTmmZNITl84ER6u4eJ,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Breath,9,Bamboo Forest,Bamboo Forest,https://i.scdn.co/image/ab67616d0000b273fc861e06faf166381c4a3045,['psychedelic trance'],9,0.607,0.944,6,-8.455,1,0.05,0.000325,0.844,0.102,0.621,145.032,482840,4,psytrance
6luYfqalLUNczhIKX8jqZw,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Shivaia - Original Mix,6,The First Stone,"Free-Spirit, Vol. IV",https://i.scdn.co/image/ab67616d0000b273532d4a5b519cbd4ecc56c30a,[],8,0.632,0.961,11,-5.085,1,0.0493,0.0011,0.834,0.11,0.116,141.988,505667,4,psytrance
50mwZbZXT7JlUoJOFMO865,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Drop By Anytime - Original Mix,8,Logic Bomb,Unlimited,https://i.scdn.co/image/ab67616d0000b27395c0a9016a36070f3835f326,['psychedelic trance'],20,0.578,0.955,7,-7.032,1,0.0404,0.000118,0.709,0.878,0.662,145.018,440040,4,psytrance
0PZMdcbAHlGimIJQOU3Gao,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Speaking Robot - G.M.S. RMX,5,Talamasca,Genetic Process -Part Dose,https://i.scdn.co/image/ab67616d0000b273a1c7e9b68aa74190308d53c4,"['full on', 'psychedelic trance']",36,0.633,0.904,7,-10.724,1,0.0559,0.000249,0.882,0.298,0.435,146.996,432467,4,psytrance
5u9HfKMlwA488IwrPWmdJE,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Supreme Beings,3,Perplex,Plexus - Three Sides To Every Story,https://i.scdn.co/image/ab67616d0000b273f7818542360a53884c43c85f,"['full on', 'psychedelic trance']",22,0.651,0.885,2,-11.14,1,0.0485,0.000789,0.898,0.563,0.161,135.997,494107,4,psytrance
5zyEep0qHl5T2aczwuxfSm,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Genetic Eye - Remix,8,Alien Project,Bass Monster,https://i.scdn.co/image/ab67616d0000b2733e1f5a5a72c10e3fadf58ee1,"['full on', 'psychedelic trance']",26,0.695,0.962,5,-7.519,1,0.0548,0.000227,0.866,0.535,0.413,145.011,504453,4,psytrance
1qIRFN5rV2DEBS4UP0Topm,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Out of Range - Son Kite Remix,5,Cosma (IL),Amalgamated Amalgamation,https://i.scdn.co/image/ab67616d0000b273f3e8f746ea0571315935bfdc,[],14,0.682,0.913,2,-10.054,1,0.052,0.00407,0.855,0.161,0.271,140.019,547173,4,psytrance
4XsAv8mg5uuwmiqXNytvvK,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Elements,3,Atomic Pulse,B.P.M. - Bionic Pulse Method - Compiled By Sesto Sento,https://i.scdn.co/image/ab67616d0000b273e3c8e8a93b5df2e463a50a1a,[],21,0.674,0.939,11,-7.931,1,0.0682,0.00904,0.792,0.181,0.076,144.989,463453,4,psytrance
0h44jW4utwc7vb2tiewSoi,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Space Cats - Original Mix,5,Space Cat,Beam Me Up,https://i.scdn.co/image/ab67616d0000b273244a98f2ce54abf1c4206c5b,[],14,0.58,0.985,4,-8.172,0,0.0454,0.0209,0.891,0.319,0.433,146.994,472880,4,psytrance
2fcBLxiYLwv9DodkAS4cyY,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Waves of Sound - Original Mix,14,Yahel,Waves of Sound,https://i.scdn.co/image/ab67616d0000b273a2bdb68f2e6f35a0b4815a5d,['psychedelic trance'],37,0.552,0.924,10,-9.271,0,0.0409,0.00762,0.877,0.138,0.519,142.983,578773,4,psytrance
2V0f4zy3zXE4kIT6ohjPoy,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Your 911,9,Cosma (IL),Simplicity,https://i.scdn.co/image/ab67616d0000b273d37fb98c07ed7eabf826dc6a,[],14,0.776,0.629,0,-13.558,1,0.04,0.00582,0.914,0.106,0.21,139.006,493893,4,psytrance
1ojaL8TTnpfR0vf2ujGSlo,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Find Out,9,Cosma (IL),Simplicity,https://i.scdn.co/image/ab67616d0000b273d37fb98c07ed7eabf826dc6a,[],14,0.717,0.536,0,-13.139,1,0.0463,0.00706,0.911,0.74,0.048,138.008,617320,4,psytrance
5gCNYZKfX3PTTjIuXdIpYN,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Revolution Of The Mind,5,Soundaholix,Pressure,https://i.scdn.co/image/ab67616d0000b2735d3f4a10bcdde8ebffb893da,[],16,0.652,0.944,0,-7.495,1,0.0533,0.000213,0.82,0.831,0.384,140.019,442013,4,psytrance
0FycRh81simqtHDoOnfbhK,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,First - Ashtrax Remix,3,Private Taste,First,https://i.scdn.co/image/ab67616d0000b2736f1b0d3bc9c3f52811709bcc,[],1,0.715,0.868,11,-10.859,0,0.0433,0.019,0.871,0.115,0.488,132.008,664970,4,psytrance
0n9sKEDtPAOl4WzpCHGpJD,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Tied Up - Remix,4,Exaile,In Panic,https://i.scdn.co/image/ab67616d0000b273158ae398ec734ad2bb40af4c,"['full on', 'psychedelic trance']",9,0.736,0.818,5,-8.307,0,0.0458,0.000174,0.831,0.227,0.478,145.017,451587,4,psytrance
48dHOtS5xzg8FvrFw4zH4z,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Vector,5,Noosphere,Bass Monster,https://i.scdn.co/image/ab67616d0000b2733e1f5a5a72c10e3fadf58ee1,[],1,0.576,0.977,10,-7.289,0,0.0424,0.00129,0.884,0.172,0.367,145.019,392800,4,psytrance
3iM5o1TLUS3HERwUhVp50H,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Unbalanced,15,Infected Mushroom,B.P.Empire,https://i.scdn.co/image/ab67616d0000b2731865321a8d2aed490bdd18ba,['psychedelic trance'],56,0.656,0.74,5,-9.833,0,0.0421,0.00522,0.78,0.0812,0.221,140.01,435627,4,psytrance
6ldUPC67ctzEargLTPPUKB,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Mush Mushi,19,Infected Mushroom,Classical Mushroom,https://i.scdn.co/image/ab67616d0000b2730ea5179e87bba94e5c2afebb,['psychedelic trance'],56,0.691,0.907,4,-11.127,0,0.0538,0.000891,0.858,0.368,0.386,144.997,456867,4,psytrance
0vCpKARa9YsHdfdvF6pd7z,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Magnetic,9,Alien Project,Midnight Sun,https://i.scdn.co/image/ab67616d0000b273fd74f1ea8dcab61390113f62,"['full on', 'psychedelic trance']",26,0.732,0.93,0,-8.172,1,0.0537,0.00147,0.894,0.235,0.372,144.996,435320,4,psytrance
49NiBykpqF9sqSXnXR9qV9,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Ayahuasca - Original Mix,27,1200 Micrograms,1200 Micrograms,https://i.scdn.co/image/ab67616d0000b2734d448cd9d69af0086a765984,['psychedelic trance'],37,0.663,0.957,7,-7.329,1,0.0556,0.000249,0.555,0.799,0.358,144.01,541907,4,psytrance
4oHZeXOu8AT1DKWlmCcZBg,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Party Pooper - Original Mix,21,Eskimo,Take a Look out There,https://i.scdn.co/image/ab67616d0000b273a2fa0c87a0b0bf48cbd41284,[],19,0.613,0.966,7,-6.171,1,0.0585,9.45e-05,0.808,0.19,0.434,146.004,455613,4,psytrance
2yrzEZyrX1wWB0TS0Z4Nsv,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Hentai,2,Wizzy Noise,Stereo Electric,https://i.scdn.co/image/ab67616d0000b27310196ac6076d89add08ee2b6,['psychedelic trance'],10,0.623,0.986,6,-6.745,0,0.0595,0.00148,0.897,0.265,0.497,141.006,592866,4,psytrance
1yH3uDpqhORbjHHYa1BtBW,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Hologram,3,Altom,Hologram,https://i.scdn.co/image/ab67616d0000b2730fcdccd4583e3b28751a42dc,[],5,0.743,0.77,1,-10.005,0,0.0568,0.00471,0.79,0.102,0.0577,142.013,436067,4,psytrance
4pDgHGOXosmPeQ9ZuEsb58,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Optical Vibes,15,Astrix,Optical Vibes,https://i.scdn.co/image/ab67616d0000b273ab3e4225c9711af56ab4c62d,"['full on', 'nitzhonot', 'psychedelic trance']",52,0.721,0.733,10,-10.94,1,0.0448,0.000671,0.904,0.163,0.0613,137.998,425200,4,psytrance
5LcGjCbBN5MEr7RDSPOi4v,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Super Marihuano Bross - Teen Sluts Remix,4,Barak,Psycomex - EP4,https://i.scdn.co/image/ab67616d0000b27357f44f1dfd5e50a27cdf7b49,[],2,0.465,0.893,8,-10.189,1,0.0491,0.000126,0.805,0.151,0.339,146.322,553685,4,psytrance
2C7M7Zcivd5gcUyb7ZzczW,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Dancing Galaxy,30,Astral Projection,Dancing Galaxy,https://i.scdn.co/image/ab67616d0000b273f78bf0458b55787d8e419446,['psychedelic trance'],33,0.548,0.99,7,-9.463,1,0.0529,0.0634,0.928,0.218,0.467,138.977,556387,4,psytrance
1NTZL09U9kexQjjBCjqrrG,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Dissociation (Who's About To Scream?),5,Cosmosis,Intergalactic,https://i.scdn.co/image/ab67616d0000b2738c290ef0037994a781e1cdde,"['nitzhonot', 'psychedelic trance']",28,0.653,0.974,1,-7.676,1,0.059,0.00114,0.714,0.235,0.504,144.037,413663,4,psytrance
0p5RIjddottl0AvOZeu9Vf,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Chemical Voice,6,Planet B.E.N.,Psychedelic Injection,https://i.scdn.co/image/ab67616d0000b27392fb57ad221de1bab9d3c9ca,[],4,0.685,0.99,7,-5.167,1,0.0448,0.000118,0.88,0.8,0.676,146.983,405760,4,psytrance
0WJXIjMTVIKG3NMnryyhm1,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Let The Games Begin,1,Electrypnose,Digital Drugs,https://i.scdn.co/image/ab67616d0000b27345a18428a92de0734f627fa2,"['dark psytrance', 'deep psytrance', 'hi-tech', 'psytech', 'zenonesque']",23,0.663,0.815,11,-8.516,1,0.0486,2.57e-05,0.795,0.146,0.488,143.002,411179,4,psytrance
5mauJrPDYGlxLDXp7JczL6,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Pistolero,33,Juno Reactor,Shango,https://i.scdn.co/image/ab67616d0000b27306861dc86295d90c3959b6cc,"['big beat', 'psychedelic trance']",39,0.541,0.941,0,-7.413,1,0.04,0.00139,0.725,0.183,0.388,141.006,373733,4,psytrance
66srseT6ovrf9GaumZYB0a,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Getting High,10,Earthspace,Get High - Single,https://i.scdn.co/image/ab67616d0000b2732d1b90d31529e90c79b460f0,"['forest psy', 'full on', 'progressive psytrance', 'psychedelic trance']",32,0.596,0.945,9,-7.083,1,0.0548,0.000744,0.822,0.225,0.606,145.994,401096,4,psytrance
33xoGr3Iu55W1aO3w26n14,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Existence & Braincell - Distant Galaxies ( Progressive Goa Trance ),1,Psytrance,Trance Rave Playlist Top 100 Best Selling Chart Hits,https://i.scdn.co/image/ab67616d0000b273206e12678d41657a493605d5,[],15,0.573,0.975,1,-8.58,1,0.0511,0.000251,0.785,0.779,0.131,145.001,490405,4,psytrance
0lOsEdgeldFFTzIdPQLP0Q,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,How the Jellyfish Jumped up the Mountain,35,Shpongle,Museum of Consciousness,https://i.scdn.co/image/ab67616d0000b273c8b7a789f217ffe8b043644d,"['downtempo', 'livetronica', 'new tribe', 'psychedelic trance', 'psychill']",45,0.62,0.675,6,-13.006,0,0.0314,0.00908,0.71,0.106,0.149,127.999,625638,4,psytrance
6Csh87tfSrcR483Suoyolc,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Silent Running - Original Mix,3,Saiko Pod,Phutures And Options - Intelligent Trance And Downbeat From The Koxbox Lab,https://i.scdn.co/image/ab67616d0000b2739437fd17da62bf4a17a42520,[],1,0.726,0.869,7,-9.444,1,0.0587,0.00169,0.862,0.716,0.563,138.005,467613,4,psytrance
04BS0mYWD7ZotGHBxdKrVf,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Instant Cargo,7,Atmos,Tour De Trance Bonus EP,https://i.scdn.co/image/ab67616d0000b273229c8a48d16f29f8f1ed84ad,"['progressive psytrance', 'psychedelic trance']",28,0.737,0.762,2,-11.019,1,0.0459,0.0275,0.867,0.074,0.335,127.983,542868,4,psytrance
611MtmLaHL9BqRohwfXiac,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Day Dreaming - Original Mix,36,Talamasca,Psychedelic Trance,https://i.scdn.co/image/ab67616d0000b2737868f4f48f3f8ce51a2c7377,"['full on', 'psychedelic trance']",36,0.546,0.871,11,-6.014,1,0.0399,0.000601,0.558,0.153,0.238,144.999,453517,4,psytrance
5eZwYTYEn4l8VnCGfBw0OS,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Mimosa Dosa,15,Tristan,Mimosa Dosa,https://i.scdn.co/image/53700c01c0ccc2fa81fd4a6bfb57fc53e4d1a8e2,"['forest psy', 'full on', 'progressive psytrance', 'psychedelic trance']",39,0.563,0.967,5,-5.563,0,0.0359,0.000141,0.852,0.595,0.299,145.005,403133,4,psytrance
11g7rLWja8uCfV19Ve2Ypz,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Sapana,32,Astrix,He.art,https://i.scdn.co/image/ab67616d0000b27331b0f8c9ee642bbb120ee3fd,"['full on', 'nitzhonot', 'psychedelic trance']",52,0.608,0.949,11,-7.292,0,0.039,0.000478,0.816,0.102,0.0665,140.043,517714,4,psytrance
1XNsP8bfTjXLwtyb7SgcT3,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Capricorn,29,Earthspace,As Above So Below,https://i.scdn.co/image/ab67616d0000b273e6a70b226c793e1066768f9a,"['forest psy', 'full on', 'progressive psytrance', 'psychedelic trance']",32,0.654,0.988,7,-6.357,1,0.0536,3.62e-05,0.759,0.422,0.298,145.974,491507,4,psytrance
3WMtlOes0g2XjleQ4HLbGt,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Hippie Hill - Original,29,Ingrained Instincts,Earthstrong,https://i.scdn.co/image/ab67616d0000b273856e69c4dc480008667b85c9,"['forest psy', 'psychedelic trance']",26,0.658,0.993,7,-4.944,1,0.0472,1.49e-05,0.818,0.0737,0.486,148.007,458919,4,psytrance
5y9DdyFfxFUVAjvJQVCx0A,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,Setting Ground,2,Oksha,Computing Earth,https://i.scdn.co/image/ab67616d0000b27361b6992502adcb4c46ab39f4,[],1,0.723,0.935,1,-6.694,1,0.05,0.000119,0.81,0.262,0.291,148.997,446319,4,psytrance
4NAC4y1th45IFhbJQwxVGr,https://open.spotify.com/playlist/3LSJ9gg7b0JnNVag88YchI?si=190fe7167bda45f1,Psytrance Classics,RTT,10,Shotu,London,https://i.scdn.co/image/ab67616d0000b273a44efa3e5db0fa34751ad138,['forest psy'],5,0.682,0.95,7,-7.133,1,0.0529,1.53e-05,0.716,0.202,0.565,147.003,496308,4,psytrance
