,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
71aoIeMlKuQdrkHljBf0nU,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Come Close,58,Vini Vici,Come Close,https://i.scdn.co/image/ab67616d0000b273824aa5da19fc1fed9105b799,['progressive uplifting trance'],61,0.737,0.775,5,-5.443,0,0.0399,0.0945,0.349,0.191,0.306,137.982,194348,4,psytrance
7tHgjmzPziQQKYs6JtIPs4,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,See Me,48,Memento Mori,See Me,https://i.scdn.co/image/ab67616d0000b27360b57227e9d6249a4eb8423a,[],42,0.685,0.776,1,-4.601,1,0.0402,0.00167,0.31,0.0978,0.284,144.986,218483,4,psytrance
6d1AuFOL1YBzLcruapNbZV,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Wonders,58,Neelix,Wonders,https://i.scdn.co/image/ab67616d0000b2732e70ade65833b06cb0c77e34,"['german techno', 'progressive psytrance']",57,0.492,0.616,0,-8.202,0,0.0488,0.167,0.0165,0.114,0.316,139.918,257357,4,psytrance
1KgU8LZ7MWxBkCugjWFRJ2,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Something,58,Hr. Troels,Something,https://i.scdn.co/image/ab67616d0000b273053af6de545a25624a60baee,['covertronica'],53,0.671,0.889,2,-4.836,1,0.293,0.00686,0.0135,0.271,0.524,134.98,203251,4,psytrance
6n2OgfyvY0MuwFphEywfgz,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Ancient Aum,43,Electric Universe,Ancient Aum,https://i.scdn.co/image/ab67616d0000b27371c2fb76f2412a1a2c203a38,"['full on', 'psychedelic trance']",40,0.545,0.928,8,-5.377,1,0.0408,0.000205,0.798,0.738,0.244,141.988,480000,4,psytrance
4mA8VXKSpyfTZ66uuyQnw7,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,The Road I'm On,51,Ranji,The Road I'm On,https://i.scdn.co/image/ab67616d0000b27338d2ebc43f154ac795d3c790,['psychedelic trance'],53,0.572,0.743,8,-7.129,0,0.0418,0.0349,0.61,0.109,0.183,103.477,260870,3,psytrance
16V8meQabrUEUI5GRC8x4K,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Rapture,52,Vini Vici,Rapture,https://i.scdn.co/image/ab67616d0000b2733b9e468e0e3ab7f3a72b76e3,['progressive uplifting trance'],61,0.598,0.924,10,-5.147,0,0.053,0.0498,0.00598,0.292,0.394,137.99,201739,4,psytrance
6Fd9WEx2ySMzE6N3hCCMjG,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,STAY - HEDEGAARD Remix,49,HEDEGAARD,STAY (HEDEGAARD Remix),https://i.scdn.co/image/ab67616d0000b27349f937102412489918e664b5,"['danish electronic', 'scandipop']",57,0.531,0.823,5,-6.442,0,0.172,0.00818,8.96e-06,0.0619,0.31,149.914,147719,4,psytrance
2kp6AKfu0JauDqwqTBSSVP,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Aware,48,Symphonix,Aware,https://i.scdn.co/image/ab67616d0000b273ab983d8f69afbb176d7af332,"['german trance', 'progressive psytrance', 'psychedelic trance']",43,0.823,0.75,2,-7.828,1,0.0643,0.0133,0.415,0.451,0.12,140.032,234000,4,psytrance
6f9X4NeJ9TofyaKKqYcWl3,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,There Was A Time,52,Neelix,There Was A Time,https://i.scdn.co/image/ab67616d0000b273192048953ae52ea90c787132,"['german techno', 'progressive psytrance']",57,0.653,0.778,11,-8.723,0,0.0555,0.351,0.487,0.131,0.0504,137.983,307826,4,psytrance
72eKr4Y8oTl3N6YowhUmgI,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Natural Connection,47,Phaxe,Natural Connection,https://i.scdn.co/image/ab67616d0000b273630b5efdcde9e251b4ed90a0,"['progressive psytrance', 'psychedelic trance']",48,0.683,0.802,4,-7.241,0,0.0444,0.00746,0.881,0.116,0.106,138.003,419130,4,psytrance
5e447qV9VjEOQfGM682o3W,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Hero - Infected Mushroom Remix,46,Pegboard Nerds,Hero (Infected Mushroom Remix),https://i.scdn.co/image/ab67616d0000b273cf0343805ed0af61f51de776,"['brostep', 'danish electronic', 'edm', 'electro house', 'gaming edm', 'glitch', 'speedrun']",54,0.385,0.768,2,-5.213,1,0.0847,0.00471,0.179,0.106,0.366,145.12,304395,4,psytrance
5gprlslyCZD2zaFRwbu22t,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Key To Happiness,34,Blastoyz,Key To Happiness,https://i.scdn.co/image/ab67616d0000b2734b6b4b9c218b674a623a4b37,['psychedelic trance'],47,0.57,0.87,11,-6.485,0,0.0461,0.0477,0.695,0.118,0.489,144.953,355862,4,psytrance
3iCmMzhUFzYQpWFchFrDyW,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Formula,46,Dzp,Formula,https://i.scdn.co/image/ab67616d0000b273b3546070b85b9974707f6974,['trance brasileiro'],34,0.736,0.897,6,-6.468,1,0.0784,0.124,0.447,0.0997,0.537,145.013,271448,4,psytrance
4b7linw8vhDRiIvxML8k8W,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,The Oasis (Zyrus 7 Remix) - Original Mix,46,Talla 2XLC,The Oasis (Zyrus 7 Remix),https://i.scdn.co/image/ab67616d0000b273c9f89a61ccb1d4dd205bbd43,"['bubble trance', 'frankfurt electronic', 'german techno', 'trance', 'uplifting trance']",45,0.494,0.867,3,-6.346,0,0.0417,0.0136,0.602,0.322,0.662,137.992,209674,4,psytrance
2cldsTRjQboX0flJkYdxtg,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,You (Kleysky & Deep Kontakt Remix),51,Neelix,You (Kleysky & Deep Kontakt Remix),https://i.scdn.co/image/ab67616d0000b2734e6845bb0cff8a1f196f4af4,"['german techno', 'progressive psytrance']",57,0.649,0.778,10,-7.318,0,0.0327,0.0266,0.566,0.109,0.279,137.987,361739,4,psytrance
4teEXJBirbxAB9v5zC1Ix5,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Feel It,45,DNA,Feel It,https://i.scdn.co/image/ab67616d0000b2735d1bbe9cc73f3a63e457764b,['big room'],29,0.495,0.946,11,-2.183,0,0.105,0.0126,0.108,0.881,0.188,160.02,211467,4,psytrance
6UO97Q5Rbg7iLAcIiAIZHr,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Aliyu,45,Zafrir,Aliyu,https://i.scdn.co/image/ab67616d0000b273af3aa32db1990deca899f80c,"['big room', 'slap house']",52,0.471,0.963,0,-5.089,1,0.0992,0.00232,0.839,0.152,0.213,159.926,231000,4,psytrance
0nJu3is8rdbac8Lk04XgBJ,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,11:11,45,Vini Vici,11:11,https://i.scdn.co/image/ab67616d0000b273935d1d8ba6d46d53b58d004e,['progressive uplifting trance'],61,0.532,0.921,1,-7.104,1,0.0372,0.000956,0.887,0.19,0.0411,136.014,393529,4,psytrance
1JpwB9AGXsCLbjH0VkI1ML,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Rebellion,50,Neelix,Rebellion,https://i.scdn.co/image/ab67616d0000b27348edc8bfe363696ce234756b,"['german techno', 'progressive psytrance']",57,0.715,0.732,10,-8.391,0,0.0654,0.00642,0.235,0.536,0.277,137.981,244348,4,psytrance
121Qef9f4Fa2AKfsBLQWpW,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Viera,44,Stevie Melani,Viera,https://i.scdn.co/image/ab67616d0000b2730feb846e82724d0ead56e307,[],31,0.716,0.808,2,-6.786,1,0.0658,0.0113,0.294,0.244,0.0391,140.026,150909,4,psytrance
5kCdc14ItHSF6N6rI7wGSX,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Bloom,44,Phaxe,Bloom,https://i.scdn.co/image/ab67616d0000b27391c24e962e4abdfcb3118384,"['progressive psytrance', 'psychedelic trance']",48,0.727,0.853,8,-7.185,0,0.0382,0.00298,0.895,0.578,0.194,136.997,331095,4,psytrance
4pRfuQTMVQQRYs039HEY0X,https://open.spotify.com/playlist/37i9dQZF1DWXWbLEOaHnU3?si=be1e10c81dcf4f87,Psytrance Supernova,Paralyzed,44,Fabio Fusco,Paralyzed,https://i.scdn.co/image/ab67616d0000b273df04340192c5a4d730f8eb3e,"['german trance', 'progressive psytrance', 'psychedelic trance']",45,0.596,0.583,9,-7.541,0,0.132,0.11,0.111,0.131,0.119,140.986,351304,4,psytrance
