,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1oFiPGBafH9Woo9AMwgBSl,https://open.spotify.com/playlist/37i9dQZF1DXdJyxIBq7Xdy?si=38cdd3b2e3fd4f4e,Queens of Disco,I'm Every Woman,66,Chaka Khan,Chaka,https://i.scdn.co/image/ab67616d0000b273bf85fcbd1fe04e2fa55efe1f,"['disco', 'funk', 'neo soul', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",62,0.603,0.886,0,-7.301,0,0.0465,0.0418,0.000171,0.295,0.727,114.045,249600,4,disco
58r4JuwHhXLAkttkaUZfLw,https://open.spotify.com/playlist/37i9dQZF1DXdJyxIBq7Xdy?si=38cdd3b2e3fd4f4e,Queens of Disco,Got to Be Real,65,Cheryl Lynn,Cheryl Lynn (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273c0e98d7c48b548f1a3833368,"['disco', 'funk', 'minneapolis sound', 'post-disco', 'quiet storm', 'urban contemporary']",51,0.836,0.626,9,-10.143,0,0.0335,0.0943,0.742,0.153,0.898,114.657,307947,4,disco
2BEArHIJsI5fxYEpCZv2sF,https://open.spotify.com/playlist/37i9dQZF1DXdJyxIBq7Xdy?si=38cdd3b2e3fd4f4e,Queens of Disco,Ring My Bell,45,Anita Ward,Ring My Bell,https://i.scdn.co/image/ab67616d0000b27309a568a18d1a4b77418c83ed,['disco'],45,0.783,0.541,5,-13.398,0,0.0405,0.109,0.0822,0.0891,0.967,125.816,212009,4,disco
5IKLwqBQG6KU6MP2zP80Nu,https://open.spotify.com/playlist/37i9dQZF1DXdJyxIBq7Xdy?si=38cdd3b2e3fd4f4e,Queens of Disco,We Are Family - 1995 Remaster,71,Sister Sledge,We Are Family (1995 Remaster),https://i.scdn.co/image/ab67616d0000b2739c6d5c505e6197defb750428,"['dance pop', 'disco', 'funk', 'philly soul', 'post-disco', 'quiet storm', 'soul']",59,0.784,0.893,7,-5.153,0,0.0923,0.3,1.57e-05,0.272,0.819,118.738,216733,4,disco
424pNN5XqYHje4vNpuHgBT,https://open.spotify.com/playlist/37i9dQZF1DXdJyxIBq7Xdy?si=38cdd3b2e3fd4f4e,Queens of Disco,Hot Stuff,47,Donna Summer,The Dance Collection,https://i.scdn.co/image/ab67616d0000b2731c3465800b6c039e4b18adad,"['dance pop', 'disco', 'hi-nrg', 'new wave pop']",64,0.797,0.737,0,-13.87,1,0.0341,0.00258,0.133,0.0404,0.964,120.495,400440,4,disco
6fw12s3vAJQAt7lbICodwC,https://open.spotify.com/playlist/37i9dQZF1DXdJyxIBq7Xdy?si=38cdd3b2e3fd4f4e,Queens of Disco,"I Will Survive - Original 7"" Version",65,Gloria Gaynor,I Will Survive (Phil Kelsey Remix),https://i.scdn.co/image/ab67616d0000b273fbb2f8d9f10d03d7f01a664d,['disco'],62,0.779,0.542,9,-15.137,0,0.0515,0.0358,0.000659,0.33,0.647,116.284,198373,4,disco
3ZpSFamHHJE4kL59IePR7P,https://open.spotify.com/playlist/37i9dQZF1DXdJyxIBq7Xdy?si=38cdd3b2e3fd4f4e,Queens of Disco,Love Come Down - Single Version,50,"Evelyn ""Champagne"" King",Essential - Soul Love,https://i.scdn.co/image/ab67616d0000b273de1924f5fedaa199cd944352,"['disco', 'funk', 'minneapolis sound', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",50,0.804,0.621,11,-7.317,1,0.0652,0.00601,0.00301,0.0433,0.903,117.274,217360,4,disco
0uqvSVhGgQTIdj9G51vhvv,https://open.spotify.com/playlist/37i9dQZF1DXdJyxIBq7Xdy?si=38cdd3b2e3fd4f4e,Queens of Disco,Finally,64,CeCe Peniston,Finally,https://i.scdn.co/image/ab67616d0000b2736daeecfc1a67bd3865048299,"['disco', 'disco house', 'diva house', 'hip house', 'urban contemporary', 'vocal house']",54,0.791,0.658,7,-11.128,1,0.0445,0.00653,0.0,0.0472,0.842,120.066,245000,4,disco
653Fi3bqMxQQQmjw72ur6G,https://open.spotify.com/playlist/37i9dQZF1DXdJyxIBq7Xdy?si=38cdd3b2e3fd4f4e,Queens of Disco,Pull Up To The Bumper,54,Grace Jones,Nightclubbing,https://i.scdn.co/image/ab67616d0000b27375a8b4d86fb3a88401b38282,"['dance pop', 'disco', 'electronica', 'new romantic', 'new wave pop']",62,0.848,0.868,1,-7.599,1,0.0858,0.142,0.013,0.134,0.871,108.623,281693,4,disco
3L9ClO1W5KmebIXTrlKShF,https://open.spotify.com/playlist/37i9dQZF1DXdJyxIBq7Xdy?si=38cdd3b2e3fd4f4e,Queens of Disco,Jump (For My Love),59,The Pointer Sisters,Break Out,https://i.scdn.co/image/ab67616d0000b273892a6e0085d9d47cc796c545,"['disco', 'girl group', 'hi-nrg', 'mellow gold', 'new wave pop', 'soft rock']",62,0.842,0.697,10,-13.796,0,0.0654,0.161,0.000101,0.583,0.916,134.533,267227,4,disco
