,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
5Oc0vLGWdEWeCqIU8zyELt,https://open.spotify.com/playlist/37i9dQZF1DXbxvVclJxhEJ?si=52c7e91c32be41d5,Queens of the Blues,Hound Dog,57,Big Mama Thornton,Ball n' Chain,https://i.scdn.co/image/ab67616d0000b273f25345e400eb77c2d49f8558,"['acoustic blues', 'blues', 'electric blues', 'harmonica blues', 'rhythm and blues', 'texas blues', 'traditional blues']",44,0.563,0.542,9,-10.862,1,0.0962,0.706,3.59e-05,0.355,0.785,133.285,181000,4,blues
2QrBIUz6Mbmkh5dqcLzTHp,https://open.spotify.com/playlist/37i9dQZF1DXbxvVclJxhEJ?si=52c7e91c32be41d5,Queens of the Blues,Whole Lotta Shakin' Goin' On,43,Big Maybelle,R&B: From Doo-Wop To Hip-Hop,https://i.scdn.co/image/ab67616d0000b273980caf4dd525a15f08f8cb87,"['jump blues', 'rhythm and blues', 'rock-and-roll', 'southern soul']",34,0.668,0.631,8,-11.541,1,0.108,0.439,0.0,0.0648,0.64,71.214,164827,4,blues
3O3Zzre0FPv6GNTeInm6Md,https://open.spotify.com/playlist/37i9dQZF1DXbxvVclJxhEJ?si=52c7e91c32be41d5,Queens of the Blues,My Journey To The Sky,43,Sister Rosetta Tharpe,Gospel Train (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273335f00b1e40586a31fb24d33,"['acoustic blues', 'blues', 'gospel blues', 'traditional blues']",39,0.548,0.363,8,-6.306,1,0.0337,0.873,0.0,0.0952,0.388,101.285,190773,4,blues
3ru8IZrBxuFFHOFKEvvpFP,https://open.spotify.com/playlist/37i9dQZF1DXbxvVclJxhEJ?si=52c7e91c32be41d5,Queens of the Blues,Nobody Knows You When You're Down and Out - 78rpm Version,42,Bessie Smith,The Essential Bessie Smith,https://i.scdn.co/image/ab67616d0000b27342d93283590f758aad83807e,"['acoustic blues', 'blues', 'harlem renaissance', 'jazz blues', 'traditional blues']",38,0.599,0.0424,4,-12.099,1,0.0572,0.996,0.00176,0.185,0.186,90.001,176133,4,blues
1CdEksXQ6gvdr4blQjQdTZ,https://open.spotify.com/playlist/37i9dQZF1DXbxvVclJxhEJ?si=52c7e91c32be41d5,Queens of the Blues,Turtle Blues,40,Big Brother & The Holding Company,Cheap Thrills,https://i.scdn.co/image/ab67616d0000b2731ba5ee8bc24979ce3eee4797,"['blues rock', 'classic rock', 'psychedelic rock']",54,0.54,0.484,7,-9.745,1,0.0314,0.836,0.000223,0.529,0.484,109.09,261067,4,blues
7KZ6eGK7OuLXUzTVGdc7cL,https://open.spotify.com/playlist/37i9dQZF1DXbxvVclJxhEJ?si=52c7e91c32be41d5,Queens of the Blues,Runaway Blues,38,Ma Rainey,Ma Rainey,https://i.scdn.co/image/ab67616d0000b273069d98c47892020676f47764,"['acoustic blues', 'blues', 'harlem renaissance', 'traditional blues']",28,0.81,0.233,5,-15.719,0,0.0515,0.981,0.00517,0.132,0.555,86.258,146227,4,blues
0HDVrhFUpCvPpTntHeqnxT,https://open.spotify.com/playlist/37i9dQZF1DXbxvVclJxhEJ?si=52c7e91c32be41d5,Queens of the Blues,I'm A Woman,38,Koko Taylor,The Earthshaker,https://i.scdn.co/image/ab67616d0000b27385be3625aa9554cf7ad436b4,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'modern blues', 'traditional blues']",43,0.558,0.829,0,-5.58,1,0.0797,0.11,9.27e-06,0.0495,0.615,109.195,274507,3,blues
7eNHeLu7yJB5HN9Srvrocv,https://open.spotify.com/playlist/37i9dQZF1DXbxvVclJxhEJ?si=52c7e91c32be41d5,Queens of the Blues,If You See My Rooster (Please Run Him Home),36,Memphis Minnie,Hoodoo Lady (1933-1937),https://i.scdn.co/image/ab67616d0000b273a0aa7a0dd5a209dc5bcb7e4d,"['acoustic blues', 'blues', 'boogie-woogie', 'country blues', 'memphis blues', 'traditional blues']",28,0.792,0.142,3,-16.024,1,0.0442,0.985,0.184,0.112,0.669,94.375,195307,4,blues
7hpI4eFBXUYk3ZtsztFmWc,https://open.spotify.com/playlist/37i9dQZF1DXbxvVclJxhEJ?si=52c7e91c32be41d5,Queens of the Blues,Shout Sister Shout,35,Lucky Millinder,Big Band Bounce & Boogie,https://i.scdn.co/image/ab67616d0000b27380ead561fcf4cfc26bee69f1,"['big band', 'boogie-woogie', 'jump blues', 'rhythm and blues', 'stride', 'swing']",29,0.748,0.33,9,-9.699,0,0.288,0.912,0.000107,0.6,0.668,139.783,166760,4,blues
6Ad9JbwY1HGjbNhVYddNbk,https://open.spotify.com/playlist/37i9dQZF1DXbxvVclJxhEJ?si=52c7e91c32be41d5,Queens of the Blues,Man Stealer Blues,34,Lucille Bogan,Shave 'Em Dry: The Best Of Lucille Bogan,https://i.scdn.co/image/ab67616d0000b27328612876d023a2af0bdb3bbc,"['acoustic blues', 'country blues', 'pre-war blues', 'traditional blues']",25,0.539,0.228,5,-8.234,0,0.0466,0.992,2.19e-06,0.126,0.518,84.324,182400,4,blues
