,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2PpruBYCo4H7WOBJ7Q2EwM,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,Hey Ya!,81,Outkast,Speakerboxxx/The Love Below,https://i.scdn.co/image/ab67616d0000b2736a6387ab37f64034cdc7b367,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop']",74,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,4,hiphop
1B75hgRqe7A4fwee3g3Wmu,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,U Can't Touch This,74,MC Hammer,Please Hammer Don't Hurt 'Em,https://i.scdn.co/image/ab67616d0000b273f5e5babccf665ef8c912b190,"['hip hop', 'hip house', 'rap']",57,0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360,4,hiphop
0uEp9E98JB5awlA084uaIg,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,Doo Wop (That Thing),73,Ms. Lauryn Hill,The Miseducation of Lauryn Hill,https://i.scdn.co/image/ab67616d0000b273e08b1250db5f75643f1508c9,"['alternative r&b', 'conscious hip hop', 'neo soul', 'new jersey rap', 'r&b', 'urban contemporary']",70,0.535,0.505,2,-8.926,0,0.245,0.0393,0.0,0.0923,0.495,99.935,320267,4,hiphop
3QHONiXGMGU3z68mQInncF,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,I'll Be Missing You (feat. 112),71,Diddy,Bad Boy's 10th Anniversary- The Hits,https://i.scdn.co/image/ab67616d0000b2734ad6e5838f15401ff7d62856,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap']",72,0.862,0.479,7,-9.199,1,0.0645,0.0523,0.00126,0.589,0.924,109.877,301520,4,hiphop
0weAUscowxeqDtpCgtbpgp,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,Gettin' Jiggy Wit It,71,Will Smith,Big Willie Style,https://i.scdn.co/image/ab67616d0000b273ddf2f9edabd166c60047e3c4,"['dance pop', 'hip hop', 'pop rap']",67,0.881,0.874,6,-4.505,1,0.139,0.0175,1.14e-06,0.154,0.858,107.891,227933,4,hiphop
3Ti0GdlrotgwsAVBBugv0I,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,Can I Kick It?,70,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),https://i.scdn.co/image/ab67616d0000b2734ba1fe238a517021ebcc2ace,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",65,0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,251573,4,hiphop
5fpizYGbi5IQoEraj6FP0R,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,Intergalactic - Remastered 2009,68,Beastie Boys,Hello Nasty (Deluxe Version/Remastered 2009),https://i.scdn.co/image/ab67616d0000b273ab1d7b56d97842315dd0fdaa,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock', 'rock']",68,0.734,0.864,2,-6.119,1,0.303,0.022,9.85e-06,0.246,0.47,105.932,231493,4,hiphop
4G3dZN9o3o2X4VKwt4CLts,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,Passin' Me By,68,The Pharcyde,Bizarre Ride II The Pharcyde,https://i.scdn.co/image/ab67616d0000b2739ec4abd35652fafe34ee7dfb,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'rap', 'west coast rap']",58,0.759,0.756,4,-8.145,0,0.266,0.0903,2.36e-06,0.265,0.613,87.059,303493,4,hiphop
3LklW07tvdx2AHsgfi1Mng,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,I Wish,64,Skee-Lo,I Wish,https://i.scdn.co/image/ab67616d0000b273107ec8cc91c8e076d778a5da,"['hip hop', 'rap', 'west coast rap']",52,0.669,0.809,7,-7.146,1,0.147,0.00137,0.0,0.38,0.572,97.885,249293,4,hiphop
20XdEFyaUR9C7aDIdq2OAd,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,Summertime,64,DJ Jazzy Jeff & The Fresh Prince,Homebase,https://i.scdn.co/image/ab67616d0000b2738f8697f6ee69d4b8ea74c9d6,"['gangster rap', 'golden age hip hop', 'hip hop', 'old school hip hop', 'philly rap', 'rap']",53,0.677,0.539,7,-14.439,1,0.063,0.0455,1.84e-06,0.845,0.469,95.116,270973,4,hiphop
5bUVHuzQh5mkvMPjUU074i,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,"No Woman, No Cry",62,Fugees,The Score (Expanded Edition),https://i.scdn.co/image/ab67616d0000b2735b7865be7f7fcc05faec6137,"['east coast hip hop', 'gangster rap', 'hip hop', 'new jersey rap']",65,0.846,0.326,0,-13.909,1,0.152,0.0134,3.97e-05,0.28,0.367,88.988,273093,4,hiphop
48ZUwXrEOhaXLCxvmRYhZv,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,Don't Sweat The Technique,60,Eric B. & Rakim,Don't Sweat The Technique,https://i.scdn.co/image/ab67616d0000b273d552416cafb8792b442655b2,"['alternative hip hop', 'bboy', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'hip house', 'old school hip hop', 'rap']",52,0.737,0.89,4,-8.443,1,0.158,0.00556,0.00171,0.0801,0.809,105.848,262800,4,hiphop
26q6YTrXt9l8qshIveiTX9,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,Rebirth Of Slick (Cool Like Dat),59,Digable Planets,Reachin' (A New Refutation Of Time And Space),https://i.scdn.co/image/ab67616d0000b273c9f6a742f2337f938e89f599,"['afrofuturism', 'alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'psychedelic hip hop']",51,0.884,0.334,1,-18.943,0,0.228,0.0476,0.0588,0.107,0.571,98.315,261267,4,hiphop
4k9EkhkFZY8Bk41Qi0Ob7P,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,The Choice Is Yours (Revisited),58,Black Sheep,A Wolf In Sheep's Clothing,https://i.scdn.co/image/ab67616d0000b273a19467a0f512538bd5f25d89,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap', 'turntablism']",44,0.867,0.679,10,-12.028,0,0.207,0.0336,1.59e-06,0.0742,0.68,101.293,243200,4,hiphop
5l7icgnicl7JToRxPkSXyy,https://open.spotify.com/playlist/37i9dQZF1DX3YSNrkBY3IB?si=cf7de23c86cd4101,Raised on Hip Hop,The Truth,57,Handsome Boy Modeling School,So...How's Your Girl?,https://i.scdn.co/image/ab67616d0000b273952f4da94c8d41b100570f49,"['alternative hip hop', 'hip hop', 'turntablism']",44,0.703,0.393,2,-10.88,1,0.0455,0.6,6.09e-06,0.113,0.478,79.653,337200,4,hiphop
