,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
7vggqxNKwd6xdRoYS0pQtM,https://open.spotify.com/playlist/37i9dQZF1DX8f4tKhI2axk?si=3f9085976d044aa9,Raised on Reggae,Three Little Birds,66,Bob Marley & The Wailers,Legend - The Best Of Bob Marley And The Wailers,https://i.scdn.co/image/ab67616d0000b273413a6c2c7b296d98171e5e21,"['reggae', 'roots reggae']",78,0.825,0.494,9,-10.486,1,0.0698,0.00974,5.15e-06,0.0361,0.626,74.103,180440,4,reggae
1BkY0N8ChFk2mdLbAUu8ZK,https://open.spotify.com/playlist/37i9dQZF1DX8f4tKhI2axk?si=3f9085976d044aa9,Raised on Reggae,Pass The Dutchie,81,Musical Youth,Anthology,https://i.scdn.co/image/ab67616d0000b27392a9d95df51a8d84f90166a6,['uk reggae'],64,0.805,0.418,7,-14.374,1,0.0979,0.459,0.0,0.288,0.966,149.724,205427,4,reggae
4uOKFydzAejjSFqYbv1XPt,https://open.spotify.com/playlist/37i9dQZF1DX8f4tKhI2axk?si=3f9085976d044aa9,Raised on Reggae,Red Red Wine,74,UB40,The Very Best Of,https://i.scdn.co/image/ab67616d0000b273f1dd69d7399290cc25324706,"['reggae', 'reggae fusion', 'uk reggae']",68,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,183733,4,reggae
0qeKzbUsW0V4ZWRJrHNiD3,https://open.spotify.com/playlist/37i9dQZF1DX8f4tKhI2axk?si=3f9085976d044aa9,Raised on Reggae,Bad Boys (Theme from COPS),69,Inner Circle,Blazzin' Fire,https://i.scdn.co/image/ab67616d0000b273cd07cdbe4b041324103c0f08,"['reggae', 'reggae fusion', 'roots reggae']",59,0.781,0.722,7,-8.376,1,0.0667,0.236,0.000398,0.077,0.533,87.858,229375,4,reggae
2le9fblYnfoLr9dkZIsJUa,https://open.spotify.com/playlist/37i9dQZF1DX8f4tKhI2axk?si=3f9085976d044aa9,Raised on Reggae,"Baby, I Love Your Way",65,Big Mountain,Unity,https://i.scdn.co/image/ab67616d0000b27319ffd46baee165d6b42b7810,"['reggae', 'reggae fusion']",55,0.651,0.747,1,-7.269,0,0.0699,0.0528,0.0,0.207,0.776,147.518,249520,4,reggae
1Pao4DTLMB4gJPTnqmLgSQ,https://open.spotify.com/playlist/37i9dQZF1DX8f4tKhI2axk?si=3f9085976d044aa9,Raised on Reggae,You Can Get It If You Really Want,63,Jimmy Cliff,The Harder They Come (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2736033eb0ca150f7d26d897581,"['reggae', 'roots reggae']",60,0.895,0.571,1,-8.636,1,0.0501,0.208,0.0,0.0781,0.933,128.171,158893,4,reggae
5N0lcnJTtKj4wNDvurHige,https://open.spotify.com/playlist/37i9dQZF1DX8f4tKhI2axk?si=3f9085976d044aa9,Raised on Reggae,True To Myself,63,Ziggy Marley,Dragonfly,https://i.scdn.co/image/ab67616d0000b273ef7c3330b74a36f116ced398,"['reggae', 'roots reggae']",56,0.88,0.564,1,-6.431,1,0.0498,0.0786,0.0,0.0565,0.83,99.019,225600,4,reggae
0INtJm8gCJKtNaAYQNVlpZ,https://open.spotify.com/playlist/37i9dQZF1DX8f4tKhI2axk?si=3f9085976d044aa9,Raised on Reggae,"You Don't Love Me (No, No, No) - Extended Mix",62,Dawn Penn,"No, No, No",https://i.scdn.co/image/ab67616d0000b2733260aeb9dbc740c568a86017,"['lovers rock', 'reggae', 'rocksteady']",47,0.811,0.428,7,-10.728,1,0.221,0.0122,0.317,0.344,0.653,80.962,277893,4,reggae
5uPYEStMW3KsXnnLV7iCTw,https://open.spotify.com/playlist/37i9dQZF1DX8f4tKhI2axk?si=3f9085976d044aa9,Raised on Reggae,Johnny B. Goode - 2002 Remaster,61,Peter Tosh,Mama Africa,https://i.scdn.co/image/ab67616d0000b2739c33fc76509d3b3e89bd5ce2,"['dub', 'reggae', 'roots reggae']",55,0.749,0.849,4,-5.761,0,0.0544,0.0299,0.000168,0.115,0.959,145.169,244253,4,reggae
5kG1ARHk8dli0bKiMN2oE6,https://open.spotify.com/playlist/37i9dQZF1DX8f4tKhI2axk?si=3f9085976d044aa9,Raised on Reggae,Cupid - Deluxe Edition Version,59,Amy Winehouse,Back To Black (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27376ffb5b5ab045d22c81235c1,"['british soul', 'neo soul']",74,0.641,0.609,7,-4.596,1,0.0638,0.163,0.0,0.0811,0.696,87.181,228853,4,reggae
