,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
4DuOAJZhVrzH1mrIePb2tO,https://open.spotify.com/playlist/37i9dQZF1DX20S3TU4dlyR?si=d8a7bd5976494a56,Reggae Al Sur,El Próximo Viernes,49,Los Pericos,El Próximo Viernes,https://i.scdn.co/image/ab67616d0000b2732dc789317423fb2d747a4d0a,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",63,0.779,0.703,10,-5.766,1,0.0289,0.0055,1.93e-05,0.0667,0.967,114.997,259092,4,reggae
6yyrsrci6u2nreFlhXSy3J,https://open.spotify.com/playlist/37i9dQZF1DX20S3TU4dlyR?si=d8a7bd5976494a56,Reggae Al Sur,Tus Ojos,66,Los Cafres,Suena la Alarma,https://i.scdn.co/image/ab67616d0000b27346a888765544d2f977c5dc21,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']",61,0.853,0.48,8,-9.052,1,0.0512,0.0234,0.000618,0.0323,0.815,92.157,254865,4,reggae
6srdU7rKLC5DOuVBWDpmyD,https://open.spotify.com/playlist/37i9dQZF1DX20S3TU4dlyR?si=d8a7bd5976494a56,Reggae Al Sur,Vibra Positiva,64,Zona Ganjah,Con Rastafari Todo Concuerda,https://i.scdn.co/image/ab67616d0000b27306b072d42047dda16ca0c236,"['latin hip hop', 'mexican hip hop', 'reggae en espanol', 'rock en espanol']",59,0.877,0.86,2,-3.742,1,0.0614,0.354,0.0,0.572,0.961,146.972,259560,4,reggae
2x9kIjm8AejYJCunY9yKOA,https://open.spotify.com/playlist/37i9dQZF1DX20S3TU4dlyR?si=d8a7bd5976494a56,Reggae Al Sur,La Flor,59,Nonpalidece,Nonpalidesenchufado,https://i.scdn.co/image/ab67616d0000b273a4deabb873647aa2eedd29e2,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']",54,0.672,0.651,10,-7.573,1,0.0461,0.234,0.000515,0.936,0.532,149.062,314773,4,reggae
5iI2yN0RGxzFgdzlcQsTHi,https://open.spotify.com/playlist/37i9dQZF1DX20S3TU4dlyR?si=d8a7bd5976494a56,Reggae Al Sur,Você Me Encantou Demais - Ao Vivo,59,Natiruts,Natiruts Acústico no Rio de Janeiro (Ao Vivo),https://i.scdn.co/image/ab67616d0000b273f0b26efb4f60c433c7915d07,"['brazilian reggae', 'brazilian rock', 'reggae tuga']",66,0.727,0.56,6,-7.539,0,0.0428,0.0733,5.17e-05,0.734,0.441,87.973,211373,4,reggae
1OuRWuKhsxNdV2FCIkyCnV,https://open.spotify.com/playlist/37i9dQZF1DX20S3TU4dlyR?si=d8a7bd5976494a56,Reggae Al Sur,Decide Tú,58,Dread Mar I,Caminarás Caminos,https://i.scdn.co/image/ab67616d0000b2732fdd8e5ca27ddf16a4d2212a,"['argentine reggae', 'argentine rock', 'latin alternative', 'rock en espanol']",70,0.789,0.448,0,-7.514,1,0.0441,0.126,0.0,0.178,0.727,145.997,248467,4,reggae
3MbWaYdtpVVtpGQqWBmeMq,https://open.spotify.com/playlist/37i9dQZF1DX20S3TU4dlyR?si=d8a7bd5976494a56,Reggae Al Sur,Circunvalación,54,El Kuelgue,Ruli,https://i.scdn.co/image/ab67616d0000b2732698f5953de2212963ed21c7,"['argentine indie', 'argentine reggae', 'argentine rock', 'latin rock', 'rock en espanol']",55,0.604,0.637,9,-5.725,1,0.0332,0.237,0.0,0.113,0.616,154.889,234307,4,reggae
2FkXL4Apgf4gSUYsr8HVK5,https://open.spotify.com/playlist/37i9dQZF1DX20S3TU4dlyR?si=d8a7bd5976494a56,Reggae Al Sur,Trinchera,30,Moral Distraida,Trinchera,https://i.scdn.co/image/ab67616d0000b273935ee1f234c803e08d2e6b4c,"['chilean indie', 'chilean rock', 'cumbia chilena', 'latin alternative', 'pop chileno']",48,0.628,0.715,4,-6.477,0,0.079,0.0491,2.47e-06,0.639,0.694,144.056,264279,4,reggae
0Nj3EM5QMCIdTbWM3wzJGR,https://open.spotify.com/playlist/37i9dQZF1DX20S3TU4dlyR?si=d8a7bd5976494a56,Reggae Al Sur,Casi q' me pierdo,63,Los Cafres,El Paso Gigante,https://i.scdn.co/image/ab67616d0000b27303b62bb9269c5a547a97b048,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']",61,0.697,0.638,8,-5.246,1,0.091,0.0216,0.00286,0.103,0.598,165.929,265691,4,reggae
58KaBE2fnHA8R0iesCbe8o,https://open.spotify.com/playlist/37i9dQZF1DX20S3TU4dlyR?si=d8a7bd5976494a56,Reggae Al Sur,Tu Presencia,55,Nonpalidece,Hagan Correr la Voz,https://i.scdn.co/image/ab67616d0000b273e9133dc244a8fa4708dc5c1d,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']",54,0.711,0.569,10,-7.395,0,0.171,0.0711,7.17e-06,0.106,0.795,167.771,221040,4,reggae
