,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6dFOwtd9iBMERardJvsIxY,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,She's Royal,60,Tarrus Riley,Parables,https://i.scdn.co/image/ab67616d0000b273059ec4f752f85cc22f96cbd8,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",58,0.754,0.459,8,-5.947,1,0.11,0.00834,0.0,0.0742,0.829,78.079,251027,4,reggae
15cNH310CsIFtsO5bCjSNq,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,Night Nurse,50,Gregory Isaacs,Reggae Anthology: Gregory Isaacs - The Ruler [1972-1990],https://i.scdn.co/image/ab67616d0000b273783aafbff6daacaf6ebb73a4,"['dub', 'lovers rock', 'reggae', 'roots reggae']",55,0.832,0.383,7,-12.103,1,0.208,0.0201,0.0168,0.0432,0.902,74.575,239240,4,reggae
6AfX87cuEDIb71QFoRsBw8,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,Baby Blue,50,Tarrus Riley,Baby Blue,https://i.scdn.co/image/ab67616d0000b2738c92f4da32fbaf54f32f3bfd,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",58,0.724,0.757,11,-3.679,0,0.145,0.031,0.0,0.0972,0.805,148.04,174938,4,reggae
1yvC5dIIMvWiac9sI22vXM,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,Fresh Vegetable,49,Tony Rebel,Reggae Anthology: Penthouse Classics,https://i.scdn.co/image/ab67616d0000b273dd72451ba2077d735e7d226b,"['lovers rock', 'old school dancehall', 'reggae fusion']",38,0.823,0.737,0,-3.903,1,0.219,0.276,0.0,0.051,0.939,82.045,238320,4,reggae
516VMMIzOpduyv1ujBEwzN,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,Love Salute,50,Tarrus Riley,Love Salute,https://i.scdn.co/image/ab67616d0000b27353fc7a0a9f1802f1fc3e6bbd,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",58,0.477,0.822,7,-3.882,1,0.174,0.279,0.0,0.323,0.649,77.944,168675,4,reggae
76OE8BqNwRXQHgVgr6VRFs,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,Hills And Valleys,48,Buju Banton,Inna Heights 10th Anniversary Edition,https://i.scdn.co/image/ab67616d0000b2733ffd658015bd2f4420cf738b,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'reggae fusion', 'roots reggae']",58,0.673,0.64,3,-5.548,1,0.103,0.488,0.0,0.0985,0.754,72.109,270293,4,reggae
1PvRssCAC6PXnl9xpbcOBm,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,My Princess Gone,51,Jah Mason,Princess Gone-The Saga Bed,https://i.scdn.co/image/ab67616d0000b2739ca41944817080bc6a9fe589,"['french reggae', 'lovers rock', 'modern reggae']",38,0.571,0.574,0,-6.693,1,0.0632,0.119,0.0,0.111,0.637,166.25,245093,4,reggae
5Kd0kPHN2pmPykGwoVbT7i,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,Gimmie Likkle One Drop,47,Tarrus Riley,Reggae Gold 2013,https://i.scdn.co/image/ab67616d0000b273905003a0e848401bab1cba40,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",58,0.657,0.767,4,-3.515,1,0.11,0.222,0.0,0.171,0.742,87.093,172547,4,reggae
2KR1FKbtBscgImHlKdoVyj,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,Nice Up The Dance,51,Kabaka Pyramid,Nice Up The Dance,https://i.scdn.co/image/ab67616d0000b27374f505fc2850d381f8ce688b,"['modern reggae', 'reggae fusion']",51,0.693,0.756,0,-2.918,0,0.27,0.0798,0.0,0.121,0.745,81.986,212796,4,reggae
22y2DxdVoLfEHthWnZJE1V,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,Guess Who? (feat. Mykal Rose),47,Tarrus Riley,Guess Who? (feat. Mykal Rose),https://i.scdn.co/image/ab67616d0000b2733d017030e86c52f4c0502c91,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",58,0.83,0.744,1,-4.774,1,0.11,0.0309,0.00644,0.199,0.764,134.373,187327,4,reggae
14uaxEtvwwTR2WnnvAfaj9,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,Revolution,53,Dennis Brown,Love & Hate,https://i.scdn.co/image/ab67616d0000b27318ee36ae7e86c0f2fbe677a2,"['dub', 'lovers rock', 'reggae', 'roots reggae']",51,0.754,0.458,9,-10.558,0,0.163,0.157,5.86e-06,0.106,0.744,84.603,262000,4,reggae
0mo2JSYD3tnwEzStpREOHZ,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,Human Nature,50,Tarrus Riley,Contagious,https://i.scdn.co/image/ab67616d0000b273fe8f6f584c942c0f56206353,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",58,0.711,0.505,11,-7.317,0,0.108,0.00959,0.0,0.114,0.588,88.995,250973,4,reggae
2RlVyAjLnGJQYp7uzpfUta,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=3c5fe84d5a014208,Reggae Classics,Rock Away,55,Beres Hammond,Music Is Life,https://i.scdn.co/image/ab67616d0000b273ed2eadf06b123071f8a7af5a,"['lovers rock', 'roots reggae']",51,0.722,0.544,8,-5.924,1,0.075,0.0969,0.0,0.0836,0.805,83.789,239200,4,reggae
