,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
28GCbKgjlVD9eDmasGbe0T,https://open.spotify.com/playlist/37i9dQZF1DWVYs6zNzJ0ci?si=952ea8f51f6e4566,Reggae en espanol,Me Fui de Vacaciones,86,Bad Bunny,Un Verano Sin Ti,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,"['reggaeton', 'trap latino']",100,0.714,0.645,10,-5.493,1,0.0514,0.229,0.00083,0.0942,0.434,85.046,180930,4,reggae
6yyrsrci6u2nreFlhXSy3J,https://open.spotify.com/playlist/37i9dQZF1DWVYs6zNzJ0ci?si=952ea8f51f6e4566,Reggae en espanol,Tus Ojos,66,Los Cafres,Suena la Alarma,https://i.scdn.co/image/ab67616d0000b27346a888765544d2f977c5dc21,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']",61,0.853,0.48,8,-9.052,1,0.0512,0.0234,0.000618,0.0323,0.815,92.157,254865,4,reggae
1vmRfKejQWsWnE3arhhEit,https://open.spotify.com/playlist/37i9dQZF1DWVYs6zNzJ0ci?si=952ea8f51f6e4566,Reggae en espanol,"Cnv Sound, Vol. 14",74,Pure Negga,Cnv Sound Volums (Kion Studio One Shots),https://i.scdn.co/image/ab67616d0000b273e4b6fc6dfbfb900b5b50ff46,[],62,0.83,0.666,6,-4.281,0,0.443,0.4,0.000105,0.0922,0.938,173.364,194583,4,reggae
5hirK8wva1Nh38fVwWdLlc,https://open.spotify.com/playlist/37i9dQZF1DWVYs6zNzJ0ci?si=952ea8f51f6e4566,Reggae en espanol,Caminando,54,Ganja,Reggae Mexicano,https://i.scdn.co/image/ab67616d0000b273954db4c7c293787aa468f594,"['latin alternative', 'mexican rock', 'reggae en espanol', 'reggae mexicano']",39,0.877,0.366,0,-13.631,1,0.0976,0.163,3.16e-05,0.0763,0.921,141.259,261427,4,reggae
5Mnyex5ZKe30IiaHXJ1562,https://open.spotify.com/playlist/37i9dQZF1DWVYs6zNzJ0ci?si=952ea8f51f6e4566,Reggae en espanol,La Distancia,52,Los Pericos,La Distancia,https://i.scdn.co/image/ab67616d0000b27317e7ebcf98968f0c7bf9c144,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",63,0.68,0.681,0,-4.987,1,0.0352,0.077,4.13e-06,0.0865,0.945,159.964,227144,4,reggae
1mmaywWRQzNE5dt0eUISBd,https://open.spotify.com/playlist/37i9dQZF1DWVYs6zNzJ0ci?si=952ea8f51f6e4566,Reggae en espanol,Sin Ti,61,King Chango,The Return of El Santo,https://i.scdn.co/image/ab67616d0000b273b1f140edc1dbb48b91d39197,['latin alternative'],44,0.725,0.529,0,-5.565,1,0.0375,0.0908,0.0028,0.174,0.6,144.707,287013,4,reggae
1i1RYy42uVr7KBCpA5Gjym,https://open.spotify.com/playlist/37i9dQZF1DWVYs6zNzJ0ci?si=952ea8f51f6e4566,Reggae en espanol,Bff <3,67,DEKKO,Bff <3,https://i.scdn.co/image/ab67616d0000b273a7428940841eb72f26feea5e,"['reggaeton', 'reggaeton colombiano', 'trap latino']",68,0.725,0.664,11,-4.209,1,0.206,0.0476,0.00185,0.662,0.695,80.979,173467,4,reggae
79vW2qSifk3gEOuRe7TsId,https://open.spotify.com/playlist/37i9dQZF1DWVYs6zNzJ0ci?si=952ea8f51f6e4566,Reggae en espanol,France$ka,45,Temple Sour,France$ka,https://i.scdn.co/image/ab67616d0000b273496d2f3f7bed3cc0bdc2e6e5,"['peruvian rock', 'pop peruano', 'reggae peruano']",46,0.659,0.716,5,-6.363,0,0.0718,0.0231,0.0,0.0328,0.889,150.009,186095,4,reggae
2mMZAd3ol9wGI2WJl4XJCF,https://open.spotify.com/playlist/37i9dQZF1DWVYs6zNzJ0ci?si=952ea8f51f6e4566,Reggae en espanol,Verte,64,Nicki Nicole,Verte,https://i.scdn.co/image/ab67616d0000b27372b1d033c4df671870183589,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino']",78,0.773,0.668,4,-4.254,0,0.366,0.374,0.0,0.0763,0.741,150.043,157419,4,reggae
6srdU7rKLC5DOuVBWDpmyD,https://open.spotify.com/playlist/37i9dQZF1DWVYs6zNzJ0ci?si=952ea8f51f6e4566,Reggae en espanol,Vibra Positiva,64,Zona Ganjah,Con Rastafari Todo Concuerda,https://i.scdn.co/image/ab67616d0000b27306b072d42047dda16ca0c236,"['latin hip hop', 'mexican hip hop', 'reggae en espanol', 'rock en espanol']",59,0.877,0.86,2,-3.742,1,0.0614,0.354,0.0,0.572,0.961,146.972,259560,4,reggae
0Nj3EM5QMCIdTbWM3wzJGR,https://open.spotify.com/playlist/37i9dQZF1DWVYs6zNzJ0ci?si=952ea8f51f6e4566,Reggae en espanol,Casi q' me pierdo,63,Los Cafres,El Paso Gigante,https://i.scdn.co/image/ab67616d0000b27303b62bb9269c5a547a97b048,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']",61,0.697,0.638,8,-5.246,1,0.091,0.0216,0.00286,0.103,0.598,165.929,265691,4,reggae
0ZLakHzHWqUIlkeDa4i8aC,https://open.spotify.com/playlist/37i9dQZF1DWVYs6zNzJ0ci?si=952ea8f51f6e4566,Reggae en espanol,Runaway,62,Los Pericos,Pericos & Friends,https://i.scdn.co/image/ab67616d0000b273d9119f4cbf8a069d797f45aa,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",63,0.676,0.731,9,-5.253,1,0.0368,0.0438,1.26e-05,0.624,0.812,150.151,233268,4,reggae
