,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
7AMZspzuS0GTepZu4EBc9f,https://open.spotify.com/playlist/37i9dQZF1DWSkkUxEhrBdF?si=8ca334d9650b4320,Reggae Infusions,Make Me Feel,46,Skip Marley,Higher Place,https://i.scdn.co/image/ab67616d0000b2731e310ac72c0b4221ac8cc6b5,['modern reggae'],57,0.42,0.818,1,-4.447,0,0.336,0.0343,0.000182,0.186,0.64,95.048,190607,4,reggae
1AAkIj1NSdpaoOZYctGnrg,https://open.spotify.com/playlist/37i9dQZF1DWSkkUxEhrBdF?si=8ca334d9650b4320,Reggae Infusions,Lighter (with Tarrus Riley & Rvssian),56,Shenseea,Lighter (with Tarrus Riley & Rvssian),https://i.scdn.co/image/ab67616d0000b273ba5d5b2ed4d292dca65f0005,"['dancehall', 'dancehall queen']",66,0.521,0.682,1,-5.642,0,0.14,0.162,0.0,0.1,0.208,177.826,124516,4,reggae
3XdmxkGq16K3L1VcKChi57,https://open.spotify.com/playlist/37i9dQZF1DWSkkUxEhrBdF?si=8ca334d9650b4320,Reggae Infusions,Never Find,53,WSTRN,Never Find / Armagidion,https://i.scdn.co/image/ab67616d0000b273736fb92fb48ce1a673644c0c,"['afroswing', 'uk hip hop']",58,0.575,0.634,0,-6.026,0,0.127,0.00276,0.0054,0.219,0.475,126.444,205069,5,reggae
4ezz5XTWn8PPTuDagSM8pH,https://open.spotify.com/playlist/37i9dQZF1DWSkkUxEhrBdF?si=8ca334d9650b4320,Reggae Infusions,Like Royalty (feat. Popcaan),47,Protoje,Like Royalty (feat. Popcaan),https://i.scdn.co/image/ab67616d0000b27364605444808901431121ce39,"['dancehall', 'modern reggae']",57,0.699,0.742,4,-7.288,0,0.169,0.033,0.0,0.0508,0.54,79.981,245987,4,reggae
10J8eHB9Yajz8NODmjpjvt,https://open.spotify.com/playlist/37i9dQZF1DWSkkUxEhrBdF?si=8ca334d9650b4320,Reggae Infusions,Woii,38,Alicai Harley,The Red Room Intro (Yard Gyal Inna Britain),https://i.scdn.co/image/ab67616d0000b27370bff0f6f88271dfd96340ca,"['dancehall', 'modern reggae', 'uk contemporary r&b', 'uk dancehall']",43,0.701,0.749,1,-4.88,1,0.101,0.0011,4.35e-06,0.109,0.669,79.024,208860,4,reggae
68Hl1nI7Ico8cgwkBtA9Fg,https://open.spotify.com/playlist/37i9dQZF1DWSkkUxEhrBdF?si=8ca334d9650b4320,Reggae Infusions,COOL AS THE BREEZE/FRIDAY,46,Chronixx,COOL AS THE BREEZE/FRIDAY,https://i.scdn.co/image/ab67616d0000b2738bcd6771e7c6f8c8ae6e18af,"['dancehall', 'modern reggae']",60,0.475,0.815,2,-4.698,1,0.301,0.37,0.0,0.107,0.479,103.987,213222,4,reggae
7aoFX5COiBtWVtPrICoIPN,https://open.spotify.com/playlist/37i9dQZF1DWSkkUxEhrBdF?si=8ca334d9650b4320,Reggae Infusions,My Girl (with Jesse Royal),29,Through The Roots,My Girl (with Jesse Royal),https://i.scdn.co/image/ab67616d0000b273dfa6ee9bfdad1400504c79c9,"['jawaiian', 'modern reggae', 'reggae rock', 'west coast reggae']",43,0.608,0.636,9,-7.411,0,0.332,0.0132,0.0,0.235,0.508,201.96,167039,4,reggae
3FkhhQ3raWD4sMZBttYqzq,https://open.spotify.com/playlist/37i9dQZF1DWSkkUxEhrBdF?si=8ca334d9650b4320,Reggae Infusions,Revolution,39,Greentea Peng,Revolution,https://i.scdn.co/image/ab67616d0000b273865539edad54fad5247ce751,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",56,0.703,0.693,0,-6.85,1,0.168,0.117,0.000304,0.0871,0.789,79.999,154190,4,reggae
5lBbcqyb8yJ0XRYF6Dw8tb,https://open.spotify.com/playlist/37i9dQZF1DWSkkUxEhrBdF?si=8ca334d9650b4320,Reggae Infusions,Everybody Dead (feat. Demarco),32,Giggs,Now Or Never,https://i.scdn.co/image/ab67616d0000b2739921d79aa1ddba50388dba92,"['grime', 'london rap', 'uk alternative hip hop', 'uk hip hop']",61,0.606,0.595,0,-8.87,1,0.425,0.0747,6.67e-05,0.103,0.449,174.074,165489,4,reggae
4qeMtlPANjhEHKWm3VhmyK,https://open.spotify.com/playlist/37i9dQZF1DWSkkUxEhrBdF?si=8ca334d9650b4320,Reggae Infusions,Push Time,39,Salaam Remi,Push Time,https://i.scdn.co/image/ab67616d0000b2736443608516135b17002bc094,['hip hop'],61,0.748,0.915,7,-1.688,1,0.294,0.668,0.0,0.329,0.92,90.003,181333,4,reggae
