,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6vLZeNQlHhvJyiUBEzlUQB,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Sin Ti (feat. La Vida Bohème),61,Rawayana,Sin Ti (feat. La Vida Bohème),https://i.scdn.co/image/ab67616d0000b2732b6687d80225ffb1e09a47b7,"['reggae en espanol', 'venezuelan hip hop', 'venezuelan rock']",57,0.757,0.413,0,-9.107,1,0.0599,0.272,0.000263,0.243,0.618,144.933,287138,4,reggae
6yyrsrci6u2nreFlhXSy3J,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Tus Ojos,66,Los Cafres,Suena la Alarma,https://i.scdn.co/image/ab67616d0000b27346a888765544d2f977c5dc21,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']",61,0.853,0.48,8,-9.052,1,0.0512,0.0234,0.000618,0.0323,0.815,92.157,254865,4,reggae
1i1RYy42uVr7KBCpA5Gjym,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Bff <3,67,DEKKO,Bff <3,https://i.scdn.co/image/ab67616d0000b273a7428940841eb72f26feea5e,"['reggaeton', 'reggaeton colombiano', 'trap latino']",68,0.725,0.664,11,-4.209,1,0.206,0.0476,0.00185,0.662,0.695,80.979,173467,4,reggae
2hgzokI1dOZAxs5PUG0gBT,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Tengo Tu Love,63,Sie7e,Mucha Cosa Buena,https://i.scdn.co/image/ab67616d0000b2733561fb1fc5483c3e1d6790de,['reggae en espanol'],50,0.702,0.741,7,-8.111,1,0.0449,0.241,0.0,0.117,0.7,94.999,231573,4,reggae
55nSQ0bhYhnN9Gr6yKAF86,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Ilegal,65,Cultura Profética,La Dulzura,https://i.scdn.co/image/ab67616d0000b2736c4218db039fb7b08a16be1e,"['latin alternative', 'reggae en espanol', 'rock en espanol']",63,0.826,0.577,10,-4.707,0,0.0485,0.366,0.0,0.0923,0.772,116.916,306005,4,reggae
0VFp2NOB2gUYtD1raVIFir,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,La Playa,48,Alkilados,La Playa,https://i.scdn.co/image/ab67616d0000b273b1bea771517740235daa53b9,"['colombian pop', 'ecuadorian pop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano']",56,0.746,0.58,5,-4.884,1,0.0504,0.00415,1.1e-06,0.0459,0.589,91.998,196165,4,reggae
2mMZAd3ol9wGI2WJl4XJCF,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Verte,64,Nicki Nicole,Verte,https://i.scdn.co/image/ab67616d0000b27372b1d033c4df671870183589,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino']",78,0.773,0.668,4,-4.254,0,0.366,0.374,0.0,0.0763,0.741,150.043,157419,4,reggae
34Uygh7OsoZdlzzDbHgjgb,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Felicidad,48,Gondwana,RAS Portraits,https://i.scdn.co/image/ab67616d0000b273fa09d0681317cc5eca800a43,"['latin alternative', 'reggae en espanol', 'rock en espanol']",60,0.738,0.64,0,-8.258,1,0.0525,0.00134,0.0,0.134,0.793,143.588,340360,4,reggae
2lqFwTECuP5VNUvzzotxWo,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Runaway,63,Los Pericos,Pampas Reggae,https://i.scdn.co/image/ab67616d0000b273d0024b37fc951b4b05ed6863,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",63,0.827,0.523,9,-8.342,1,0.0512,0.0344,3.21e-06,0.0505,0.729,148.396,205333,4,reggae
0yAc7tMrxA3KwdVpVDe402,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,La Complicidad,62,Cultura Profética,La Dulzura,https://i.scdn.co/image/ab67616d0000b2736c4218db039fb7b08a16be1e,"['latin alternative', 'reggae en espanol', 'rock en espanol']",63,0.641,0.744,9,-5.636,1,0.0942,0.155,1.86e-05,0.148,0.669,129.01,364960,4,reggae
4Wbc65UGEKfToeo4w8rQO7,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Mas Alla De Tus Ojos,61,Dread Mar I,Vivi En Do,https://i.scdn.co/image/ab67616d0000b2738dede181c935e3f5cdd246c7,"['argentine reggae', 'argentine rock', 'latin alternative', 'rock en espanol']",70,0.784,0.368,4,-7.137,0,0.0463,0.347,0.00287,0.123,0.397,143.87,257882,4,reggae
1vV2FBKYvu6sJDqzSCNgbI,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Hablar de Ti,61,Gepe,Ciencia Exacta,https://i.scdn.co/image/ab67616d0000b2736286b8b0b9bfb5f91392692c,"['chilean indie', 'chilean rock', 'latin alternative', 'latin rock']",56,0.592,0.487,9,-9.052,1,0.251,0.485,0.0,0.0768,0.638,170.285,205569,4,reggae
05SZ279Bnz9Zst21BMoZWg,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Mi Balcon,59,Vicente Garcia,Melodrama,https://i.scdn.co/image/ab67616d0000b2730e6ebd54850d8ecffb2b2eaa,"['bachata', 'dominican pop', 'latin alternative', 'latin pop']",62,0.835,0.559,0,-8.09,1,0.0438,0.202,2.16e-06,0.0881,0.751,126.046,259063,4,reggae
3FUhe43n5NShAfvPWSyPxE,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Y mi corazón contento,58,Zona Ganjah,Sanazion,https://i.scdn.co/image/ab67616d0000b273e8d7927749e32d1f843b9d4a,"['latin hip hop', 'mexican hip hop', 'reggae en espanol', 'rock en espanol']",59,0.904,0.729,8,-6.158,1,0.0777,0.0668,0.0,0.401,0.962,141.926,208907,3,reggae
2HiEJnTMam9v7sybIZC5SL,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Bésame Morenita,57,Caloncho,Bésame Morenita,https://i.scdn.co/image/ab67616d0000b273f81de853ffa95ebf88cec2a1,"['guadalajara indie', 'latin rock']",64,0.694,0.517,9,-6.687,1,0.0492,0.516,3e-06,0.0819,0.931,184.14,165520,4,reggae
1G2ZDpnDiNoS2hLunRxsvL,https://open.spotify.com/playlist/37i9dQZF1DX3KVUA2wMxEf?si=763579eb26784e4d,Reggae Luv,Te Creí,57,Greeicy,Te Creí,https://i.scdn.co/image/ab67616d0000b27385fc75ea57ea65eb72777dd7,"['colombian pop', 'latin pop', 'r&b en espanol', 'reggaeton', 'reggaeton colombiano']",69,0.718,0.347,2,-12.85,1,0.117,0.178,0.0,0.147,0.533,130.054,242400,4,reggae
