,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6gfZEeGD51YaYbDKlZghq3,https://open.spotify.com/playlist/37i9dQZF1EQpjs4F0vUZ1x?si=79ff26f7678f4ea1,Reggae Mix,Saknade Vänner,22,Kapten Röd,Fläcken Som Aldrig Går Bort,https://i.scdn.co/image/ab67616d0000b27362f64fec16e7b9756cb62f7a,"['swedish dancehall', 'swedish hip hop', 'swedish pop', 'swedish reggae']",47,0.645,0.713,11,-8.543,1,0.165,0.148,0.0,0.0964,0.824,90.011,226031,4,reggae
6A9mKXlFRPMPem6ygQSt7z,https://open.spotify.com/playlist/37i9dQZF1EQpjs4F0vUZ1x?si=79ff26f7678f4ea1,Reggae Mix,Three Little Birds,51,Bob Marley & The Wailers,Exodus (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273420b2459f35e0fc98bcab288,"['reggae', 'roots reggae']",78,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180267,4,reggae
0kDL2MQeL800pf9LFQGzQv,https://open.spotify.com/playlist/37i9dQZF1EQpjs4F0vUZ1x?si=79ff26f7678f4ea1,Reggae Mix,Det strålar så om dig,44,Kaliffa,Kalibreraren,https://i.scdn.co/image/ab67616d0000b273ff09610a85193d6db3b4bcd5,"['swedish dancehall', 'swedish hip hop', 'swedish reggae', 'swedish trap pop']",43,0.744,0.69,11,-7.541,1,0.0571,0.524,3.15e-06,0.201,0.865,87.995,257400,4,reggae
30ELPvO4DH57Rq2kgj7a8e,https://open.spotify.com/playlist/37i9dQZF1EQpjs4F0vUZ1x?si=79ff26f7678f4ea1,Reggae Mix,Marcus Garvey,53,Burning Spear,Marcus Garvey,https://i.scdn.co/image/ab67616d0000b27300b80c40d25750a320d21263,"['dub', 'reggae', 'roots reggae', 'ska']",48,0.7,0.473,7,-9.893,0,0.0687,0.129,0.000891,0.0452,0.578,91.558,207000,4,reggae
41r3Hd6pRHg4YKA6cACcDQ,https://open.spotify.com/playlist/37i9dQZF1EQpjs4F0vUZ1x?si=79ff26f7678f4ea1,Reggae Mix,Why Am I A Rastaman?,46,Culture,Humble African,https://i.scdn.co/image/ab67616d0000b273234305971a0967afe6f95146,"['dub', 'lovers rock', 'reggae', 'roots reggae']",47,0.787,0.591,11,-4.075,1,0.0875,0.173,0.0,0.0236,0.707,81.025,253400,4,reggae
2KnpVIbSPdfFt1AKVPJ6nW,https://open.spotify.com/playlist/37i9dQZF1EQpjs4F0vUZ1x?si=79ff26f7678f4ea1,Reggae Mix,My Mind,46,Hugh Mundell,Africa Must Be Free By 1983,https://i.scdn.co/image/ab67616d0000b2732494d91462d61a4b056b2e90,"['dub', 'lovers rock', 'old school dancehall', 'reggae', 'roots reggae']",40,0.818,0.418,4,-9.336,0,0.2,0.0321,1.56e-05,0.0736,0.609,148.588,216280,4,reggae
0hebjXwdDFHS1kHDQ82HZr,https://open.spotify.com/playlist/37i9dQZF1EQpjs4F0vUZ1x?si=79ff26f7678f4ea1,Reggae Mix,Jah Give Us Life,55,Wailing Souls,The Very Best Of The Wailing Souls,https://i.scdn.co/image/ab67616d0000b273a3fef7e3508b7aacf9503049,"['dub', 'lovers rock', 'reggae', 'roots reggae', 'ska']",48,0.76,0.568,2,-12.166,0,0.0578,0.0521,0.000932,0.0666,0.962,144.678,232440,4,reggae
73lYI49LhfsscO33ohrGN0,https://open.spotify.com/playlist/37i9dQZF1EQpjs4F0vUZ1x?si=79ff26f7678f4ea1,Reggae Mix,Legalize It,57,Peter Tosh,Legalize It (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273995588ad272e39bfc75016a3,"['dub', 'reggae', 'roots reggae']",55,0.71,0.589,0,-11.933,1,0.167,0.068,4.38e-06,0.176,0.65,144.601,279360,4,reggae
4SNxXAQ8QMlxLhYVX7nuoE,https://open.spotify.com/playlist/37i9dQZF1EQpjs4F0vUZ1x?si=79ff26f7678f4ea1,Reggae Mix,Tenement Yard,56,Jacob Miller,Song Book: Chapter a Day,https://i.scdn.co/image/ab67616d0000b273554902198bd315dfe575fd58,"['dub', 'lovers rock', 'reggae', 'roots reggae', 'ska']",46,0.888,0.521,4,-6.845,1,0.306,0.229,0.0,0.0794,0.962,143.879,154333,4,reggae
6KGggJ08SRmMuJojRYM4Lv,https://open.spotify.com/playlist/37i9dQZF1EQpjs4F0vUZ1x?si=79ff26f7678f4ea1,Reggae Mix,Chase The Devil,61,Max Romeo,War Ina Babylon (Expanded Edition),https://i.scdn.co/image/ab67616d0000b27300a00a66166f127f716c52d1,"['dub', 'reggae', 'roots reggae']",52,0.825,0.62,2,-6.083,1,0.211,0.183,0.0,0.0822,0.744,150.243,206307,4,reggae
