,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0vVZelazSlsBIPRSz8ERgd,https://open.spotify.com/playlist/37i9dQZF1DX4iPyiZG8RHQ?si=a25cdb09bd53462e,Reggae Nation,Allons leur dire,37,Dub Inc,Allons leur dire,https://i.scdn.co/image/ab67616d0000b273db6ade4734543782c7070833,"['french reggae', 'reggae maghreb']",53,0.717,0.833,0,-3.558,1,0.131,0.19,0.0,0.133,0.538,179.787,313243,4,reggae
3dFefrFmTwuvAe2W9Lb9BL,https://open.spotify.com/playlist/37i9dQZF1DX4iPyiZG8RHQ?si=a25cdb09bd53462e,Reggae Nation,Over the Hills,42,Gentleman,Over the Hills,https://i.scdn.co/image/ab67616d0000b27373ae548715688ecef1e9128a,"['cologne hip hop', 'german hip hop', 'german reggae', 'reggae fusion']",59,0.698,0.668,6,-6.911,0,0.188,0.112,0.0,0.0531,0.699,170.025,149707,4,reggae
3IZVcI4XBomuSZTF6CBd28,https://open.spotify.com/playlist/37i9dQZF1DX4iPyiZG8RHQ?si=a25cdb09bd53462e,Reggae Nation,Old Sunrise,48,Stick Figure,Wisdom,https://i.scdn.co/image/ab67616d0000b273c8d2b1e472061becfb58605e,['reggae fusion'],66,0.761,0.567,7,-7.822,0,0.0313,0.323,0.0217,0.356,0.496,131.993,323068,4,reggae
6IlceRvRIvRsF2mYyA87Ac,https://open.spotify.com/playlist/37i9dQZF1DX4iPyiZG8RHQ?si=a25cdb09bd53462e,Reggae Nation,Rock Mi Nice,24,L'Entourloop,La clarté dans la confusion,https://i.scdn.co/image/ab67616d0000b273308cc3c335b070f3d997bcfa,['french reggae'],54,0.715,0.776,0,-6.971,1,0.424,0.0579,0.0,0.199,0.806,90.125,197358,4,reggae
3vxcMsE2kX37mSVv2jqhGO,https://open.spotify.com/playlist/37i9dQZF1DX4iPyiZG8RHQ?si=a25cdb09bd53462e,Reggae Nation,Not Today,30,Tanya Stephens,Some Kinda Madness,https://i.scdn.co/image/ab67616d0000b273959aa14b1443b098d26f60ab,"['dancehall', 'dancehall queen', 'lovers rock', 'modern reggae', 'old school dancehall', 'reggae fusion']",45,0.808,0.647,6,-5.67,0,0.0676,0.107,0.0,0.18,0.75,121.96,251827,4,reggae
15zl7Uawmnt6TYR8TYBj6n,https://open.spotify.com/playlist/37i9dQZF1DX4iPyiZG8RHQ?si=a25cdb09bd53462e,Reggae Nation,Champion Sound,42,Anthony B,Champion Sound,https://i.scdn.co/image/ab67616d0000b27347a03d8a4243e6f39eaab23a,"['dancehall', 'french reggae', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",50,0.883,0.517,8,-8.395,0,0.402,0.0106,0.0,0.103,0.462,85.969,214003,4,reggae
4EHZqxkgwhhJYkSHKrf5Eq,https://open.spotify.com/playlist/37i9dQZF1DX4iPyiZG8RHQ?si=a25cdb09bd53462e,Reggae Nation,Red Gold and Green,53,Kabaka Pyramid,Red Gold and Green,https://i.scdn.co/image/ab67616d0000b27327f8632bec11626f9a6b6b28,"['modern reggae', 'reggae fusion']",51,0.817,0.598,11,-6.588,1,0.161,0.016,0.0,0.0836,0.844,81.002,229057,4,reggae
5qa7XF9bOCoznvufpvRuGW,https://open.spotify.com/playlist/37i9dQZF1DX4iPyiZG8RHQ?si=a25cdb09bd53462e,Reggae Nation,Life Goes On - Remix,38,Danakil,Life Goes On (Remix),https://i.scdn.co/image/ab67616d0000b2734659b6d58f0d788f138a98d6,"['electro dub', 'french reggae']",47,0.652,0.634,11,-8.417,0,0.0713,0.21,0.0008,0.102,0.493,162.06,254423,4,reggae
4Xmyoc1UB1usSgXFhAL6Ip,https://open.spotify.com/playlist/37i9dQZF1DX4iPyiZG8RHQ?si=a25cdb09bd53462e,Reggae Nation,Chase Babylon Away (Ganjaville Riddim),44,Alborosie,Chase Babylon Away (Ganjaville Riddim),https://i.scdn.co/image/ab67616d0000b2738a0f701383b3f7bf730d6e0e,"['modern reggae', 'reggae', 'roots reggae']",57,0.722,0.571,0,-11.677,1,0.119,0.132,0.0,0.254,0.963,81.022,221196,4,reggae
7ax9OMgK8rDiloLbRZvNhN,https://open.spotify.com/playlist/37i9dQZF1DX4iPyiZG8RHQ?si=a25cdb09bd53462e,Reggae Nation,Religion,27,Tiken Jah Fakoly,Religion,https://i.scdn.co/image/ab67616d0000b2733896fcc811923cc7efa6511e,"['african reggae', 'afropop', 'french reggae', 'griot', 'reggae', 'roots reggae']",49,0.782,0.638,2,-7.443,0,0.0395,0.296,7.93e-05,0.108,0.88,145.01,260387,4,reggae
