,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6ztstiyZL6FXzh4aG46ZPD,https://open.spotify.com/playlist/37i9dQZF1DXcAiMO5AYxE8?si=20ad6e8ebc964501,Soulful Disco,Boogie Wonderland,76,"Earth, Wind & Fire",I Am,https://i.scdn.co/image/ab67616d0000b2735ccd022a69a4da9551efd988,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']",72,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,288293,4,disco
0qemIQjSxcKyf42VPfZnfa,https://open.spotify.com/playlist/37i9dQZF1DXcAiMO5AYxE8?si=20ad6e8ebc964501,Soulful Disco,"Night Fever - From ""Saturday Night Fever"" Soundtrack",72,Bee Gees,How Can You Mend A Broken Heart,https://i.scdn.co/image/ab67616d0000b273a1f748bf1c1e69b3e36a21ea,"['disco', 'mellow gold', 'soft rock']",75,0.726,0.779,1,-7.057,0,0.0251,0.0178,0.00178,0.104,0.841,109.133,212800,4,disco
28285KFbyCq8sJofn58qlD,https://open.spotify.com/playlist/37i9dQZF1DXcAiMO5AYxE8?si=20ad6e8ebc964501,Soulful Disco,Love Train,70,The O'Jays,Back Stabbers,https://i.scdn.co/image/ab67616d0000b2737bc09ea8d6c7db1993dfb77d,"['classic soul', 'disco', 'funk', 'philly soul', 'post-disco', 'quiet storm', 'soul', 'southern soul']",59,0.743,0.572,0,-9.627,1,0.0493,0.186,1.44e-05,0.163,0.675,122.658,178400,4,disco
17VWTx7LD7liGlpnlGhUbn,https://open.spotify.com/playlist/37i9dQZF1DXcAiMO5AYxE8?si=20ad6e8ebc964501,Soulful Disco,Lady Marmalade,58,LaBelle,Nightbirds,https://i.scdn.co/image/ab67616d0000b27331ae071f3db459be2501ea13,"['disco', 'quiet storm']",42,0.631,0.563,2,-12.135,0,0.0552,0.398,0.0,0.0733,0.947,117.963,237120,4,disco
4vYauy3ABO65vTXggGYaZg,https://open.spotify.com/playlist/37i9dQZF1DXcAiMO5AYxE8?si=20ad6e8ebc964501,Soulful Disco,Don't Leave Me This Way (feat. Teddy Pendergrass),61,Harold Melvin & The Blue Notes,Wake Up Everybody (feat. Teddy Pendergrass),https://i.scdn.co/image/ab67616d0000b27332140dac935b95f7e4628a7b,"['classic soul', 'disco', 'funk', 'philly soul', 'quiet storm', 'soul', 'southern soul']",54,0.472,0.71,0,-8.852,1,0.0599,0.278,1.36e-06,0.103,0.527,120.052,363973,4,disco
3qI94hINNNeb4S7xQi18lS,https://open.spotify.com/playlist/37i9dQZF1DXcAiMO5AYxE8?si=20ad6e8ebc964501,Soulful Disco,Blame It on the Boogie,71,The Jacksons,Destiny,https://i.scdn.co/image/ab67616d0000b27386e5468d84ed66f06d9a799e,"['disco', 'funk', 'motown', 'quiet storm', 'soul']",60,0.774,0.641,1,-10.193,1,0.0799,0.0765,0.0,0.0867,0.875,113.256,214200,4,disco
5uuJruktM9fMdN9Va0DUMl,https://open.spotify.com/playlist/37i9dQZF1DXcAiMO5AYxE8?si=20ad6e8ebc964501,Soulful Disco,Play That Funky Music,71,Wild Cherry,Wild Cherry,https://i.scdn.co/image/ab67616d0000b273d419ed4f1e89669ce14bd369,"['disco', 'funk rock']",55,0.814,0.672,9,-12.068,1,0.0619,0.0435,0.0,0.061,0.933,109.394,300000,4,disco
3nFJbZCHP4d9vduKjJLdBL,https://open.spotify.com/playlist/37i9dQZF1DXcAiMO5AYxE8?si=20ad6e8ebc964501,Soulful Disco,Never Too Much,71,Luther Vandross,Never Too Much,https://i.scdn.co/image/ab67616d0000b2734c614878cb234061701cac6c,"['contemporary r&b', 'funk', 'neo soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",62,0.734,0.586,2,-11.866,1,0.129,0.125,0.0,0.0367,0.762,109.933,230467,4,disco
7fu3Tv5rcoGD1PZV7s57WW,https://open.spotify.com/playlist/37i9dQZF1DXcAiMO5AYxE8?si=20ad6e8ebc964501,Soulful Disco,Rock the Boat,65,Hues Corporation,Freedom for the Stallion (Expanded Edition),https://i.scdn.co/image/ab67616d0000b27351c01eb5042122213ea6a85c,"['classic uk pop', 'disco']",49,0.596,0.58,3,-9.72,1,0.0446,0.256,0.0,0.1,0.884,107.182,202573,4,disco
7mimnm2QlSzW3J38FRMETP,https://open.spotify.com/playlist/37i9dQZF1DXcAiMO5AYxE8?si=20ad6e8ebc964501,Soulful Disco,Thinking of You - 1995 Remaster,62,Sister Sledge,We Are Family (1995 Remaster),https://i.scdn.co/image/ab67616d0000b2739c6d5c505e6197defb750428,"['dance pop', 'disco', 'funk', 'philly soul', 'post-disco', 'quiet storm', 'soul']",59,0.661,0.846,5,-8.869,1,0.0467,0.129,5.17e-06,0.0355,0.911,101.068,266827,4,disco
