,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
4NGwhkwJzROYFJKNFmFHus,https://open.spotify.com/playlist/37i9dQZF1DX6J5NfMJS675?si=d580a36da7a54d5c,Techno Bunker,The Captain,58,HIJCKD,The Captain,https://i.scdn.co/image/ab67616d0000b273bd62f611f2754208ea542f9d,[],40,0.691,0.873,7,-10.123,1,0.0484,0.173,0.872,0.118,0.183,135.017,192000,4,techno
3dwDBE5AMcHLxemIAEp2xb,https://open.spotify.com/playlist/37i9dQZF1DX6J5NfMJS675?si=d580a36da7a54d5c,Techno Bunker,Future Dust - Original Mix,60,Enrico Sangiuliano,Silence EP,https://i.scdn.co/image/ab67616d0000b273b5cf3db6f38ecfce0da155cd,"['dark techno', 'italian techno', 'minimal techno', 'tech house']",53,0.788,0.915,7,-4.904,1,0.0431,0.000695,0.839,0.0962,0.0934,132.005,509091,4,techno
3SyNfiVCa4GHpezUySluf3,https://open.spotify.com/playlist/37i9dQZF1DX6J5NfMJS675?si=d580a36da7a54d5c,Techno Bunker,Human,60,Jay Lumen,Human,https://i.scdn.co/image/ab67616d0000b273a787fb731864e85fe5289027,"['funky tech house', 'hungarian techno', 'tech house']",44,0.715,0.909,10,-7.94,0,0.0484,0.00405,0.919,0.258,0.287,130.006,430000,4,techno
3YR7XdHKPA21815NjqWZeB,https://open.spotify.com/playlist/37i9dQZF1DX6J5NfMJS675?si=d580a36da7a54d5c,Techno Bunker,Inside My Head,54,AKKI (DE),Inside My Head,https://i.scdn.co/image/ab67616d0000b273705061afb5cc61ccaa7ae6a7,['dark techno'],45,0.704,0.943,8,-6.758,1,0.0779,0.00422,0.881,0.119,0.0608,129.995,419165,4,techno
7dQWBRCRBhgbaRATAI6OqD,https://open.spotify.com/playlist/37i9dQZF1DX6J5NfMJS675?si=d580a36da7a54d5c,Techno Bunker,Affection - Radio Edit,55,Felix Kröcher,Affection,https://i.scdn.co/image/ab67616d0000b273acf44c9faa54a6394134af18,"['frankfurt electronic', 'schranz']",41,0.71,0.673,8,-10.015,1,0.043,0.0368,0.831,0.104,0.196,127.99,271730,4,techno
0VmJzhgE3LmfzJa1FdYHkl,https://open.spotify.com/playlist/37i9dQZF1DX6J5NfMJS675?si=d580a36da7a54d5c,Techno Bunker,Elysium,56,Clap Codex,Elysium,https://i.scdn.co/image/ab67616d0000b2733731a84095b255d642aaaf74,[],42,0.67,0.966,1,-9.557,1,0.0526,0.00257,0.741,0.119,0.144,127.985,253242,4,techno
25dFcH5EsCJLMSmFDDJLT3,https://open.spotify.com/playlist/37i9dQZF1DX6J5NfMJS675?si=d580a36da7a54d5c,Techno Bunker,Mercury,59,HI-LO,Mercury,https://i.scdn.co/image/ab67616d0000b27313818412e5b168e3c1ab8ce9,"['electro house', 'house']",53,0.78,0.986,7,-3.446,1,0.0594,0.0214,0.851,0.12,0.397,130.007,225346,4,techno
1kMObCQiYe5opqybH7ZNPD,https://open.spotify.com/playlist/37i9dQZF1DX6J5NfMJS675?si=d580a36da7a54d5c,Techno Bunker,Rave - Remix,62,Sam Paganini,Rave (Remix),https://i.scdn.co/image/ab67616d0000b273653191e1779bde752cc34901,"['deep minimal techno', 'italian techno', 'minimal techno', 'tech house']",49,0.732,0.627,11,-13.712,1,0.0524,0.000174,0.895,0.0981,0.266,131.007,239084,4,techno
2dOdWpX2Bipo5suEnchffo,https://open.spotify.com/playlist/37i9dQZF1DX6J5NfMJS675?si=d580a36da7a54d5c,Techno Bunker,Bring Me Up,40,BEC,Bring Me Up EP,https://i.scdn.co/image/ab67616d0000b2732d54ec5841965eeb58bcc8b9,['dark techno'],34,0.848,0.837,8,-9.31,1,0.155,0.0483,0.847,0.112,0.284,133.988,346850,4,techno
42BajmF7S541Gl8eUELqKl,https://open.spotify.com/playlist/37i9dQZF1DX6J5NfMJS675?si=d580a36da7a54d5c,Techno Bunker,Bring It On Down,38,Ramon Tapia,Bring It On Down,https://i.scdn.co/image/ab67616d0000b2732a9f14e7657050cd3050dc99,"['belgian techno', 'deep minimal techno', 'tech house']",37,0.783,0.988,6,-3.556,0,0.0718,0.000581,0.793,0.1,0.277,133.988,432657,4,techno
