,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6lgDvkxcWNnCefaT2qeJPf,https://open.spotify.com/playlist/6CIyPj34GTpAkNwoWToLNT?si=8e04e4a808dd400a,The Sound of Ambient,Angle of List,40,Loscil,Sea Island,https://i.scdn.co/image/ab67616d0000b2739cab63388173dde9fab985e1,"['ambient', 'art pop', 'compositional ambient', 'drift', 'drone', 'dub techno', 'electronica', 'fourth world', 'intelligent dance music', 'microhouse', 'minimal techno', 'neo-classical']",40,0.136,0.00215,2,-33.623,0,0.0455,0.925,0.817,0.095,0.0343,67.749,405573,4,ambient
0ALo5LHdF3hJiD8WFN770B,https://open.spotify.com/playlist/6CIyPj34GTpAkNwoWToLNT?si=8e04e4a808dd400a,The Sound of Ambient,Melancholia II,46,William Basinski,Melancholia,https://i.scdn.co/image/ab67616d0000b273fc176e11d9f245d850d2711d,"['ambient', 'art pop', 'compositional ambient', 'drift', 'drone', 'fourth world', 'hauntology', 'intelligent dance music', 'microhouse', 'new isolationism', 'post-rock', 'sound art']",41,0.164,0.0392,3,-32.652,1,0.0357,0.983,0.927,0.0774,0.0742,69.481,410987,5,ambient
4TrCvd1PrqI14lZb7tEtYo,https://open.spotify.com/playlist/6CIyPj34GTpAkNwoWToLNT?si=8e04e4a808dd400a,The Sound of Ambient,A Meaningful Moment Through a Meaning(less) Process,49,Stars Of The Lid,And Their Refinement of the Decline,https://i.scdn.co/image/ab67616d0000b273d6eb832295ddf386c825fdba,"['ambient', 'art pop', 'compositional ambient', 'drift', 'drone', 'fourth world', 'post-rock']",42,0.0629,0.0718,8,-24.789,0,0.0432,0.955,0.907,0.0906,0.0324,67.25,272787,5,ambient
1i8MaQec4fQXj1enX8ZWF4,https://open.spotify.com/playlist/6CIyPj34GTpAkNwoWToLNT?si=8e04e4a808dd400a,The Sound of Ambient,Boreal Kiss Pt. 1,45,Tim Hecker,Haunt Me,https://i.scdn.co/image/ab67616d0000b273881b27cb9444c898d6a19004,"['ambient', 'art pop', 'canadian experimental', 'compositional ambient', 'drift', 'drone', 'electronica', 'experimental', 'experimental rock', 'fourth world', 'intelligent dance music', 'microhouse', 'new isolationism', 'warm drone']",42,0.196,0.0236,5,-25.493,0,0.0429,0.528,0.0845,0.289,0.0894,134.596,208040,4,ambient
61kOQYIvim1ZUEA66P51br,https://open.spotify.com/playlist/6CIyPj34GTpAkNwoWToLNT?si=8e04e4a808dd400a,The Sound of Ambient,Forgotten Hill,45,Chihei Hatakeyama,Forgotten Hill,https://i.scdn.co/image/ab67616d0000b2737f7fcb5c410a93affc433e0a,"['ambient', 'art pop', 'compositional ambient', 'drift', 'drone', 'experimental ambient', 'fourth world', 'j-ambient']",43,0.203,0.0578,1,-29.526,1,0.0477,0.994,0.874,0.155,0.113,135.084,241399,4,ambient
5I8k4cn0nsOgjgVmifumRd,https://open.spotify.com/playlist/6CIyPj34GTpAkNwoWToLNT?si=8e04e4a808dd400a,The Sound of Ambient,Ilira,35,Thomas Köner,Teimo,https://i.scdn.co/image/ab67616d0000b273667e8bb89fca36900ab6802b,"['ambient', 'ambient industrial', 'dark ambient', 'dark jazz', 'drift', 'drone', 'fourth world', 'new isolationism', 'sound art']",27,0.172,0.0135,8,-44.723,1,0.0562,0.914,0.973,0.113,0.0633,119.664,231930,4,ambient
7JcGySsJWYeAxESN63zowD,https://open.spotify.com/playlist/6CIyPj34GTpAkNwoWToLNT?si=8e04e4a808dd400a,The Sound of Ambient,Lights On Water,32,Pan-American,Quiet City,https://i.scdn.co/image/ab67616d0000b27385f904e8f62e30c6ea435962,"['ambient', 'art pop', 'compositional ambient', 'dark jazz', 'drift', 'drone', 'dub techno', 'fourth world', 'microhouse', 'new isolationism', 'nu age', 'sound art']",29,0.156,0.0945,8,-22.386,1,0.0435,0.832,0.902,0.0974,0.0657,65.687,230213,4,ambient
4cmGoOiC6y7kUenRgG1j4u,https://open.spotify.com/playlist/6CIyPj34GTpAkNwoWToLNT?si=8e04e4a808dd400a,The Sound of Ambient,Towards the Blue - 2021 Remastered,34,Steve Roach,Quiet Music (35th Anniversary Remastered 3-Hour Collection),https://i.scdn.co/image/ab67616d0000b2739c5d19e35a76a13176af739d,"['ambient', 'drone', 'fourth world', 'moog']",36,0.108,0.0703,0,-23.166,1,0.0415,0.887,0.923,0.109,0.0324,92.562,200613,3,ambient
2iHvSdltCRLlCVYAjRxLNj,https://open.spotify.com/playlist/6CIyPj34GTpAkNwoWToLNT?si=8e04e4a808dd400a,The Sound of Ambient,Tom,38,Fennesz,Modeselektion Vol. 03 Pt. 1,https://i.scdn.co/image/ab67616d0000b273eb4bccc7ca3b4c0359259934,"['ambient', 'ambient guitar', 'art pop', 'compositional ambient', 'drone', 'electroacoustic improvisation', 'experimental', 'experimental guitar', 'fourth world', 'glitch', 'intelligent dance music', 'mandible', 'microhouse', 'new isolationism']",33,0.171,0.185,11,-14.034,1,0.0334,0.405,0.906,0.118,0.0364,114.339,184032,4,ambient
3i1Krv8CpPqG3o4sSzZrTK,https://open.spotify.com/playlist/6CIyPj34GTpAkNwoWToLNT?si=8e04e4a808dd400a,The Sound of Ambient,Indistinguishable from Magic,33,Celer,Landmarks,https://i.scdn.co/image/ab67616d0000b27359b7b44f89498a5baeacd026,"['ambient', 'art pop', 'drift', 'drone', 'fourth world', 'new isolationism', 'nu age', 'sound art', 'warm drone']",32,0.0669,0.045,0,-38.444,0,0.0353,0.968,0.917,0.13,0.224,73.924,348202,4,ambient
