,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
5bu9A6uphPWg39RC3ZKeku,https://open.spotify.com/playlist/3HYK6ri0GkvRcM6GkKh0hJ?si=54166817fd4c4601,The Sound of Classical,"Goldberg Variations, BWV 988: Aria",64,Johann Sebastian Bach,"Bach: The Goldberg Variations, BWV 988 (1981 Gould Remaster)",https://i.scdn.co/image/ab67616d0000b273c7ed978a7fd1498ce8c031f7,"['baroque', 'classical', 'early music', 'german baroque']",75,0.454,0.0139,4,-29.966,0,0.0514,0.995,0.943,0.0736,0.244,130.253,184853,4,classical
1upQiytDIEZfl9ItruoXuC,https://open.spotify.com/playlist/3HYK6ri0GkvRcM6GkKh0hJ?si=54166817fd4c4601,The Sound of Classical,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",64,George Frideric Handel,Handel Sarabande,https://i.scdn.co/image/ab67616d0000b2733bf6b8e862d572064e3c1e0b,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']",63,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,207267,3,classical
1Oo7XEqkrwifJn17aA0ocF,https://open.spotify.com/playlist/3HYK6ri0GkvRcM6GkKh0hJ?si=54166817fd4c4601,The Sound of Classical,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",63,Johannes Brahms,Volodos Plays Brahms,https://i.scdn.co/image/ab67616d0000b273ce67b9a7547bce54f986a6b0,"['classical', 'german romanticism', 'late romantic era']",64,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,378733,4,classical
3cc1BpGtocKOEnROApTv8M,https://open.spotify.com/playlist/3HYK6ri0GkvRcM6GkKh0hJ?si=54166817fd4c4601,The Sound of Classical,"Cello Concerto No. 1 in C Major, Hob. VIIb:1: II. Adagio",50,Joseph Haydn,Haydn: Cello Concertos (Remastered),https://i.scdn.co/image/ab67616d0000b2736e05b6026d7f6a87a5e01322,"['classical', 'classical era']",55,0.0859,0.0653,5,-24.541,1,0.0572,0.972,0.889,0.0876,0.068,61.538,493800,4,classical
1VNvsvEsUpuUCbHpVop1vo,https://open.spotify.com/playlist/3HYK6ri0GkvRcM6GkKh0hJ?si=54166817fd4c4601,The Sound of Classical,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",65,Frédéric Chopin,Chopin: Nocturnes,https://i.scdn.co/image/ab67616d0000b27355c82855070525581e2c6fee,"['classical', 'early romantic era', 'polish classical']",72,0.442,0.00919,3,-32.452,1,0.047,0.984,0.936,0.0873,0.0929,79.314,273667,4,classical
3DNRdudZ2SstnDCVKFdXxG,https://open.spotify.com/playlist/3HYK6ri0GkvRcM6GkKh0hJ?si=54166817fd4c4601,The Sound of Classical,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",68,Ludwig van Beethoven,"Beethoven: Piano Sonatas, Vol.3",https://i.scdn.co/image/ab67616d0000b2735fbde95caaf1018f9af50f71,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427,3,classical
0BHfePcMkm1adhUeO3PLrI,https://open.spotify.com/playlist/3HYK6ri0GkvRcM6GkKh0hJ?si=54166817fd4c4601,The Sound of Classical,"2 Pieces, Op. posth., B. 188: No. 1. Lullaby in G Major",51,Antonín Dvořák,"Dvorak: Suite in A Major, Op. 98 / Scottish Dances, Op. 41",https://i.scdn.co/image/ab67616d0000b273ee5261b9b8062b9eaec19629,"['classical', 'czech classical', 'late romantic era']",58,0.331,0.0118,7,-29.056,1,0.037,0.994,0.905,0.0762,0.0577,65.591,191760,4,classical
3xt4M4CIIyXs4qDrDPVVAQ,https://open.spotify.com/playlist/3HYK6ri0GkvRcM6GkKh0hJ?si=54166817fd4c4601,The Sound of Classical,"Bach - 3 chorales, P. 167: No. 3. Andante (after J.S. Bach's Wachet auf ruft uns die Stimme, BWV 645)",52,Ottorino Respighi,Bach: Orchestral transcriptions by Respighi & Elgar,https://i.scdn.co/image/ab67616d0000b273dac7aec44f97ddfc1968d1af,"['classical', 'impressionism', 'italian romanticism', 'neoclassicism', 'post-romantic era']",52,0.162,0.012,3,-31.823,1,0.0427,0.924,0.835,0.0905,0.0923,110.305,308440,4,classical
3MRQn2RYo2VLYMoStnLRxu,https://open.spotify.com/playlist/3HYK6ri0GkvRcM6GkKh0hJ?si=54166817fd4c4601,The Sound of Classical,"Ravel: Pavane pour une infante défunte, M. 19",60,Maurice Ravel,Ravel: Complete Works for Solo Piano,https://i.scdn.co/image/ab67616d0000b273717e9f36e9548b4e112a0860,"['classical', 'early modern classical', 'impressionism', 'neoclassicism', 'post-romantic era']",58,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,346587,3,classical
1cmigB9I6IRpFqjIbzvSQB,https://open.spotify.com/playlist/3HYK6ri0GkvRcM6GkKh0hJ?si=54166817fd4c4601,The Sound of Classical,"Suite bergamasque, L. 75: III. Clair de lune",66,Claude Debussy,"Debussy: Suite bergamasque, L. 75, 3. Clair de lune",https://i.scdn.co/image/ab67616d0000b2731277085743389aa91af6f39b,"['classical', 'impressionism', 'post-romantic era']",68,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,294960,3,classical
