,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6qc34bnVOyqGDPni8H5W0U,https://open.spotify.com/playlist/4mijVkpSXJziPiOrK7YX4M?si=be9b7a0c71b6481c,The Sound of Country,Amazed,70,Lonestar,Lonely Grill,https://i.scdn.co/image/ab67616d0000b27341d35bfbac1ba0af6180206f,"['contemporary country', 'country', 'country road']",59,0.561,0.543,1,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803,240867,4,country
2ulBBx6YQ3qY3ci34RadtN,https://open.spotify.com/playlist/4mijVkpSXJziPiOrK7YX4M?si=be9b7a0c71b6481c,The Sound of Country,She's In Love With The Boy - Single Version,69,Trisha Yearwood,Trisha Yearwood,https://i.scdn.co/image/ab67616d0000b273a8635c8965518a6fb5eb160a,"['contemporary country', 'country', 'country dawn', 'country road', 'country rock']",60,0.783,0.698,3,-8.268,1,0.0323,0.522,2.52e-06,0.0754,0.758,124.996,248200,4,country
2TIEeLrOQrGnO2D2OeDDJu,https://open.spotify.com/playlist/4mijVkpSXJziPiOrK7YX4M?si=be9b7a0c71b6481c,The Sound of Country,Time Marches On,66,Tracy Lawrence,Time Marches On,https://i.scdn.co/image/ab67616d0000b2733eac04f4db8c45984d4edb0c,"['arkansas country', 'contemporary country', 'country', 'country road', 'country rock']",58,0.856,0.517,6,-9.232,0,0.0293,0.563,0.000164,0.144,0.479,118.399,185360,4,country
3oW6SWwGqiZSPTiAp7ZQoH,https://open.spotify.com/playlist/4mijVkpSXJziPiOrK7YX4M?si=be9b7a0c71b6481c,The Sound of Country,It's A Great Day To Be Alive,72,Travis Tritt,Down The Road I Go,https://i.scdn.co/image/ab67616d0000b2739fd857fb9120e851eb0c68ea,"['contemporary country', 'country', 'country road', 'country rock', 'outlaw country']",63,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93,241533,4,country
7lUE02KHkZM44BZgjCaWRO,https://open.spotify.com/playlist/4mijVkpSXJziPiOrK7YX4M?si=be9b7a0c71b6481c,The Sound of Country,Meet In the Middle,67,Diamond Rio,Diamond Rio,https://i.scdn.co/image/ab67616d0000b2736f1682e2efad986299c00154,"['contemporary country', 'country', 'country road', 'country rock']",56,0.746,0.443,4,-11.305,1,0.0359,0.663,0.0,0.223,0.554,91.11,198333,4,country
1ipcb9qXpSHWhSUvdxJhsx,https://open.spotify.com/playlist/4mijVkpSXJziPiOrK7YX4M?si=be9b7a0c71b6481c,The Sound of Country,"Forever and Ever, Amen",70,Randy Travis,Always & Forever,https://i.scdn.co/image/ab67616d0000b273723376f081b369b02795a7fb,"['country', 'country gospel', 'country road', 'country rock']",63,0.677,0.724,2,-8.992,1,0.0245,0.143,0.000101,0.158,0.697,90.392,212640,4,country
0NLBwQBYJhEM9t3KAMPFVR,https://open.spotify.com/playlist/4mijVkpSXJziPiOrK7YX4M?si=be9b7a0c71b6481c,The Sound of Country,Sold (The Grundy County Auction Incident),69,John Michael Montgomery,John Michael Montgomery,https://i.scdn.co/image/ab67616d0000b273c3fe0ccfeacabfd43e586de3,"['contemporary country', 'country', 'country road', 'country rock']",59,0.771,0.848,2,-7.365,1,0.035,0.108,0.0,0.35,0.803,115.642,152187,4,country
0158TMiGmHyibaDeaUKayX,https://open.spotify.com/playlist/4mijVkpSXJziPiOrK7YX4M?si=be9b7a0c71b6481c,The Sound of Country,She Won't Be Lonely Long,63,Clay Walker,She Won't Be Lonely Long,https://i.scdn.co/image/ab67616d0000b273e34ae5ca0c0c1f0db05e1436,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']",57,0.635,0.758,7,-5.772,1,0.0243,0.00643,0.0,0.229,0.322,113.002,209253,4,country
3EUl8M6SzxZl03NPkB8mUd,https://open.spotify.com/playlist/4mijVkpSXJziPiOrK7YX4M?si=be9b7a0c71b6481c,The Sound of Country,Neon Moon,71,Brooks & Dunn,#1s ... and then some,https://i.scdn.co/image/ab67616d0000b273941001e5ce6bc1272466de29,"['contemporary country', 'country', 'country road', 'country rock']",69,0.698,0.632,9,-6.508,1,0.0247,0.554,0.0,0.118,0.458,102.408,263760,4,country
60w5eL1G4Or7LlTSrR5r8a,https://open.spotify.com/playlist/4mijVkpSXJziPiOrK7YX4M?si=be9b7a0c71b6481c,The Sound of Country,Pickup Man,59,Joe Diffie,Third Rock From The Sun,https://i.scdn.co/image/ab67616d0000b2736066a4456dc39273b2c9698a,"['contemporary country', 'country', 'country road', 'country rock', 'oklahoma country']",57,0.713,0.692,7,-8.554,1,0.0365,0.432,0.0,0.271,0.884,140.561,216200,4,country
