,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
5IKLwqBQG6KU6MP2zP80Nu,https://open.spotify.com/playlist/0ZVSWcJIf7cvycEn9HUvps?si=085ee3e4f8384d8e,The Sound of Disco,We Are Family - 1995 Remaster,71,Sister Sledge,We Are Family (1995 Remaster),https://i.scdn.co/image/ab67616d0000b2739c6d5c505e6197defb750428,"['dance pop', 'disco', 'funk', 'philly soul', 'post-disco', 'quiet storm', 'soul']",59,0.784,0.893,7,-5.153,0,0.0923,0.3,1.57e-05,0.272,0.819,118.738,216733,4,disco
0G3fbPbE1vGeABDEZF0jeG,https://open.spotify.com/playlist/0ZVSWcJIf7cvycEn9HUvps?si=085ee3e4f8384d8e,The Sound of Disco,Good Times,64,CHIC,Risqué,https://i.scdn.co/image/ab67616d0000b273d237a27633d01d25fdaa1c33,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul']",60,0.87,0.657,2,-7.32,1,0.0522,0.149,0.0102,0.053,0.893,110.596,495400,4,disco
7bET0DUAs59D6BsbdTqXuw,https://open.spotify.com/playlist/0ZVSWcJIf7cvycEn9HUvps?si=085ee3e4f8384d8e,The Sound of Disco,Disco Inferno,55,The Trammps,The Trammps,https://i.scdn.co/image/ab67616d0000b2730f75621bcf28925537d62d28,"['disco', 'philly soul', 'post-disco']",52,0.802,0.85,5,-6.342,1,0.0413,0.126,0.00104,0.113,0.923,128.007,218027,4,disco
7BDW57CKVzbjvwRT2xuv01,https://open.spotify.com/playlist/0ZVSWcJIf7cvycEn9HUvps?si=085ee3e4f8384d8e,The Sound of Disco,Heaven Must Be Missing An Angel - Pt. 1,56,Tavares,Sky High,https://i.scdn.co/image/ab67616d0000b273ae5eb8eada8f054965babfc8,"['adult standards', 'classic soul', 'disco', 'quiet storm', 'soft rock', 'soul']",52,0.603,0.728,9,-11.892,0,0.0423,0.144,3.61e-05,0.653,0.95,117.046,393013,4,disco
0RnCUYXa7jhgTXtiMXF2PQ,https://open.spotify.com/playlist/0ZVSWcJIf7cvycEn9HUvps?si=085ee3e4f8384d8e,The Sound of Disco,You Make Me Feel (Mighty Real),61,Sylvester,Step II,https://i.scdn.co/image/ab67616d0000b273c6619148196a323b2e41d6d4,"['disco', 'hi-nrg', 'post-disco']",49,0.629,0.851,5,-11.182,0,0.0294,0.0309,0.303,0.0947,0.961,130.7,400116,4,disco
2pbWkjtGtjkzBdZ95GFINm,https://open.spotify.com/playlist/0ZVSWcJIf7cvycEn9HUvps?si=085ee3e4f8384d8e,The Sound of Disco,Car Wash - Long Version,56,Rose Royce,Car Wash,https://i.scdn.co/image/ab67616d0000b2737e40943c3f4ce9c25ec7b098,"['classic soul', 'disco', 'funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",51,0.667,0.521,9,-13.212,0,0.115,0.202,6.55e-05,0.0723,0.856,117.917,307573,4,disco
7rIovIsXE6kMn629b7kDig,https://open.spotify.com/playlist/0ZVSWcJIf7cvycEn9HUvps?si=085ee3e4f8384d8e,The Sound of Disco,I Will Survive,69,Gloria Gaynor,Love Tracks,https://i.scdn.co/image/ab67616d0000b2732a1049b6d0d2b4c3c0abe7a8,['disco'],62,0.77,0.775,9,-9.571,0,0.0495,0.0227,0.00262,0.297,0.802,116.935,296107,4,disco
2ce4RsJ38JH1iroQhoph3J,https://open.spotify.com/playlist/0ZVSWcJIf7cvycEn9HUvps?si=085ee3e4f8384d8e,The Sound of Disco,Going Back to My Roots - Single Version,52,Odyssey,I Got the Melody (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273010ecd0b1a0141ed97f908ee,"['classic uk pop', 'disco', 'hammond organ', 'post-disco', 'quiet storm']",47,0.698,0.853,1,-9.667,1,0.0353,0.0551,0.00196,0.0388,0.879,107.347,205507,4,disco
02srSkeu2pzybuVr2B9TJm,https://open.spotify.com/playlist/0ZVSWcJIf7cvycEn9HUvps?si=085ee3e4f8384d8e,The Sound of Disco,When Will I See You Again,62,The Three Degrees,The Three Degrees,https://i.scdn.co/image/ab67616d0000b2738f2a0ed2e991f7c16ac8cd41,"['adult standards', 'classic girl group', 'disco', 'philly soul', 'quiet storm']",49,0.564,0.593,9,-9.245,1,0.0328,0.732,0.00366,0.343,0.766,120.753,178747,4,disco
2M2WJ7gBlcKNxdhyfPp9zY,https://open.spotify.com/playlist/0ZVSWcJIf7cvycEn9HUvps?si=085ee3e4f8384d8e,The Sound of Disco,Best of My Love,70,The Emotions,Rejoice,https://i.scdn.co/image/ab67616d0000b273c5a010463c2b450902e57599,"['chicago soul', 'classic soul', 'disco', 'funk', 'girl group', 'motown', 'post-disco', 'quiet storm', 'soul', 'southern soul', 'urban contemporary']",61,0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443,220560,4,disco
