,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
5PuJ00qKGWqbGeeWbt8WJb,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,Heartbeat Loud,53,Andy C,Heartbeat Loud,https://i.scdn.co/image/ab67616d0000b27342a5b90b9fb00127419ed102,"['drum and bass', 'jump up', 'jungle', 'uk dnb']",47,0.421,0.961,3,-1.059,1,0.0428,0.00174,0.000887,0.115,0.5,174.046,179650,4,dnb
11IS9sbmnAqSdLQaEvZGbb,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,Just One Second - Apex Remix,46,London Elektricity,Sick Music,https://i.scdn.co/image/ab67616d0000b273470d2676353f68bb5f9c8009,"['drum and bass', 'liquid funk', 'uk dnb']",38,0.427,0.838,1,-7.443,0,0.0451,0.000464,0.00171,0.114,0.157,172.951,377840,4,dnb
2QUVsQu7ESIXqOuLTE4r0A,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,If We Ever - Unglued Remix,56,High Contrast,If We Ever (Unglued Remix),https://i.scdn.co/image/ab67616d0000b273798538a0b12ada7371850cd4,"['drum and bass', 'uk dance', 'uk dnb']",54,0.665,0.864,7,-3.451,1,0.147,0.0533,0.0295,0.389,0.278,173.007,317974,4,dnb
1TjRddOQEjuUs8YyPKQzY3,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,Through The Night,40,Drumsound & Bassline Smith,Wall of Sound,https://i.scdn.co/image/ab67616d0000b273de47fe78a249fbfbe09b85de,"['bassline', 'drum and bass', 'jump up', 'jungle', 'neurofunk']",39,0.36,0.877,10,-5.136,0,0.0311,0.000464,0.00298,0.593,0.342,174.862,172307,4,dnb
5zZXU9ZONdNqaEzLErsrTz,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,Numbers - Camo & Krooked Remix,35,John B,Light Speed (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273f9efec2e44e74b5aa192b171,"['drum and bass', 'jump up']",30,0.294,0.812,0,-5.565,1,0.0412,0.000102,0.476,0.117,0.359,173.999,363831,4,dnb
6VwCLysPMXP0be04UI2WvK,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,Last Goodbye,40,Break,Another Way,https://i.scdn.co/image/ab67616d0000b273a0428064658ce1805e7e8df9,"['drum and bass', 'drumfunk', 'jump up', 'jungle', 'liquid funk', 'neurofunk', 'uk dnb']",40,0.705,0.918,2,-3.47,1,0.0735,0.0354,0.00378,0.0726,0.71,85.999,319299,4,dnb
21DTlIUmuCSw2x4yFXaFsB,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,Twist Em Out (ft. Skibadee),35,Dillinja,Twist Em Out,https://i.scdn.co/image/ab67616d0000b2731416311875084d433097ecf7,"['drum and bass', 'drumfunk', 'jump up', 'jungle']",32,0.332,0.828,4,-3.718,0,0.0449,0.00036,0.0188,0.22,0.2,139.295,176200,3,dnb
7Jd26bbcPQI3D6B3BKgKtD,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,Pacman - Ram Trilogy Remix,34,Ed Rush,Pacman / Vessel,https://i.scdn.co/image/ab67616d0000b27382778b8bf408b5e137912c40,"['drum and bass', 'drumfunk', 'jump up', 'jungle', 'neurofunk']",30,0.628,0.768,0,-11.907,1,0.0525,0.133,0.774,0.919,0.176,87.368,439867,4,dnb
7DJkK9rY3HG96yGgRBv172,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,Waveforms,45,Logistics,Waveforms,https://i.scdn.co/image/ab67616d0000b27340d2a3d08cc639a5b980d5a5,"['drum and bass', 'jump up', 'liquid funk', 'uk dnb']",43,0.479,0.934,10,-5.195,0,0.0516,0.0038,0.705,0.0856,0.266,173.97,242229,4,dnb
0mFf9f9u0qjXq7eJDZCWDF,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,Selecta,52,Danny Byrd,Selecta,https://i.scdn.co/image/ab67616d0000b2733538e4406aa3bd45c5d20516,"['drum and bass', 'jump up', 'jungle', 'liquid funk', 'uk dnb']",42,0.649,0.941,7,-2.466,1,0.0605,0.0905,0.000881,0.102,0.908,174.029,169009,4,dnb
2EiazSYyCSlBEKED2EvysD,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,LK Feat. Stamina MC (Carol Carolina Bela),52,DJ Marky,In Rotation,https://i.scdn.co/image/ab67616d0000b273f9b1b466f3f6f5c25e852dd5,"['brazilian dnb', 'drum and bass', 'jazzy dnb', 'jump up', 'jungle', 'liquid funk', 'sambass']",42,0.651,0.932,8,-6.459,0,0.0686,0.0125,0.426,0.212,0.966,174.008,329747,4,dnb
5UanRSNw6tqDNqczV7SDqT,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,One Day At A Time,50,Nu:Tone,Little Spaces,https://i.scdn.co/image/ab67616d0000b27384c7c218b54fddc1c80f41d5,"['drum and bass', 'drumfunk', 'jump up', 'liquid funk', 'uk dnb']",40,0.671,0.799,6,-4.433,1,0.0626,0.0221,0.657,0.0742,0.727,173.996,233095,4,dnb
6L2XPKdhnKAtyNeMbginY4,https://open.spotify.com/playlist/18b0DBiqVtRuj34OKPCgj6?si=6ac578d4aaf64d86,The Sound of Drum and Bass,Back to Your Roots - Friction & K-Tee Remix,38,Jonny L,Back to Your Roots,https://i.scdn.co/image/ab67616d0000b273a8f7bac3f425f51cb1e0278e,"['drum and bass', 'drumfunk', 'hardcore techno', 'jump up', 'jungle']",32,0.643,0.873,6,-6.829,0,0.04,0.00418,0.0545,0.0855,0.836,91.494,304293,4,dnb
