Unnamed: 0,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
7grzdNt3eQRiBC70GksRp1,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Worlds On Fire (with R3HAB & Au/Ra),72,Afrojack,Worlds On Fire (with R3HAB & Au/Ra),https://i.scdn.co/image/ab67616d0000b273c377ebb471cecdb7e018e067,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance', 'pop rap', 'progressive house', 'tropical house']",72,0.621,0.756,5,-5.623,1,0.114,0.0752,1.17e-06,0.65,0.265,124.039,174194,4,edm
251aCFbFK1f4Jkil96E5g1,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA),69,Dillon Francis,Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA),https://i.scdn.co/image/ab67616d0000b2732dfcdd679c42aa58588e6bda,"['brostep', 'dance pop', 'edm', 'electro house', 'electronic trap', 'electropop', 'house', 'moombahton', 'pop', 'pop dance', 'slap house', 'tropical house']",65,0.488,0.715,9,-4.656,1,0.0562,0.0367,0.0,0.122,0.397,145.979,205479,4,edm
2Q8fFORnsDE6I3RNvSLXSf,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Gotta Be You,62,NERVO,Gotta Be You,https://i.scdn.co/image/ab67616d0000b27329204e387d2575124fbb2811,"['australian dance', 'dance pop', 'edm', 'electra', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",57,0.642,0.869,6,-5.271,0,0.0452,0.252,0.0288,0.0708,0.376,123.91,149032,4,edm
5aMOyzlybtTICvD6XRGctm,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Tsunami - Original Mix,46,DVBBS,Tsunami,https://i.scdn.co/image/ab67616d0000b27334bf61aaf8cba5f27755423d,"['canadian electronic', 'dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'progressive electro house', 'slap house', 'tropical house']",63,0.699,0.839,4,-5.353,0,0.0481,0.0483,0.655,0.0897,0.264,128.026,236707,4,edm
1muUz481pBOMzJ9De3NS6e,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Okay,33,Nicky Romero,Nicky Romero JAPAN COLLECTION 2021,https://i.scdn.co/image/ab67616d0000b2737dd8c56fe0c5c6a5050c0df0,"['big room', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",64,0.513,0.836,2,-3.781,1,0.0579,0.0463,0.0,0.128,0.304,124.964,151312,4,edm
3D37T7euWvVJ45evRmriIh,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Better With You,58,3LAU,Better With You,https://i.scdn.co/image/ab67616d0000b2732ce1add2b44ddd0a09399d3d,"['edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",55,0.571,0.752,3,-4.872,1,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,192941,4,edm
6hEJvWfNOvTUhLuV1Or1of,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Whistle (feat. Bertie Scott),66,Laidback Luke,Whistle (feat. Bertie Scott),https://i.scdn.co/image/ab67616d0000b27393af95aa2aee7c636737ddab,"['big room', 'dance pop', 'dutch edm', 'dutch house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",61,0.832,0.922,0,-3.866,1,0.0712,0.0361,0.0274,0.109,0.716,127.999,140156,4,edm
3wLPRjw2XQpmowqXUXb3UF,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,69,Bingo Players,Get Up (Rattle) [feat. Far East Movement],https://i.scdn.co/image/ab67616d0000b27356aa362afd37024d8ba7d98f,"['big room', 'dance pop', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",59,0.801,0.985,7,-2.69,1,0.0647,0.0205,6.86e-06,0.297,0.72,127.99,166933,4,edm
6sgU0FdR0FroEzK1rTdJzi,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,No More,58,DubVision,No More,https://i.scdn.co/image/ab67616d0000b273d763d53078e3510083ae7bae,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",61,0.67,0.952,0,-4.067,0,0.0586,0.0054,0.744,0.12,0.15,127.943,165938,4,edm
31oMgUpAn5VNb3mXshUM8m,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,This Time (Never Be Alone Again),58,Dada Life,"Blood, Sweat & Smiles",https://i.scdn.co/image/ab67616d0000b273c57e927c1f3b47a7bc2d1b77,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",52,0.624,0.871,7,-6.307,0,0.0632,0.0479,0.00445,0.461,0.219,128.046,166774,4,edm
