,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2ZIaH69kaz55RM4Pjx6KXl,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx?si=c3bca6d028584e10,The Sound of Electronica,Two Thousand and Seventeen,56,Four Tet,New Energy,https://i.scdn.co/image/ab67616d0000b2733f31769b727102837cb32a63,"['electronica', 'folktronica', 'intelligent dance music']",58,0.551,0.469,2,-8.393,1,0.0296,0.327,0.161,0.0939,0.498,75.495,252256,4,electronica
1fmoCZ6mtMiqA5GHWPcZz9,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx?si=c3bca6d028584e10,The Sound of Electronica,A New Error,61,Moderat,Moderat,https://i.scdn.co/image/ab67616d0000b27327ce0e73b9cf23e8e22ebfe4,"['electronica', 'microhouse', 'minimal techno']",57,0.717,0.46,11,-11.326,0,0.0372,0.0287,0.785,0.0661,0.0961,110.993,367307,4,electronica
0pg2VKzTsBdbxPzcOkReY2,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx?si=c3bca6d028584e10,The Sound of Electronica,A grand love theme,54,Kid Loco,A Grand Love Story,https://i.scdn.co/image/ab67616d0000b2735fceab5f345f3b75548b3880,"['big beat', 'electronica', 'ninja', 'nu jazz', 'trip hop']",44,0.553,0.659,9,-9.281,1,0.0613,0.502,0.859,0.184,0.46,183.815,242800,4,electronica
66KXSLfCiAoZkcjyF3Uujm,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx?si=c3bca6d028584e10,The Sound of Electronica,Tacken,49,Modeselektor,Extended,https://i.scdn.co/image/ab67616d0000b273c583ca7609c0c8985e40c8e2,"['alternative dance', 'electronica', 'microhouse', 'minimal techno']",47,0.651,0.564,10,-8.691,0,0.0385,0.102,0.133,0.612,0.165,103.025,200389,4,electronica
0uKrhHBDUQ4w5fv4qwOubP,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx?si=c3bca6d028584e10,The Sound of Electronica,Breathe,63,Télépopmusik,Genetic World,https://i.scdn.co/image/ab67616d0000b273c65b1f9d6ca322de8b85c505,"['downtempo', 'electronica', 'nu jazz', 'trip hop']",48,0.684,0.684,1,-13.337,1,0.0418,0.385,0.29,0.106,0.616,113.988,282240,4,electronica
23HK5PldqTIdTt5A9cN2k5,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx?si=c3bca6d028584e10,The Sound of Electronica,Here She Comes Again,46,Röyksopp,The Inevitable End,https://i.scdn.co/image/ab67616d0000b273a59ae6662bb7610e99d7fdb4,"['alternative dance', 'downtempo', 'electronica', 'electropop', 'trip hop']",62,0.892,0.388,9,-10.843,0,0.0543,0.386,0.795,0.101,0.356,128.071,302227,4,electronica
2gm5bQVt7gyoqo8jLlOIse,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx?si=c3bca6d028584e10,The Sound of Electronica,Moan - Trentemøller Dub Remix,49,trentemøller,Early Worx,https://i.scdn.co/image/ab67616d0000b273a9fd6888230f64843161228c,"['danish electronic', 'danish electropop', 'electronica', 'microhouse', 'minimal techno']",47,0.746,0.46,1,-13.506,1,0.0659,0.197,0.869,0.182,0.351,120.015,442189,4,electronica
6dfDcCymuavZngy46rSGMC,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx?si=c3bca6d028584e10,The Sound of Electronica,Sofa Rockers - Richard Dorfmeister Remix,50,Sofa Surfers,Constructions,https://i.scdn.co/image/ab67616d0000b2736c911b46ee47bf9772c1c172,"['big beat', 'electronica', 'ninja', 'nu jazz', 'trip hop']",44,0.716,0.33,4,-12.724,0,0.11,0.535,0.877,0.642,0.39,95.907,308613,4,electronica
2HHC3GxRY2SxqRn6v6TvXX,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx?si=c3bca6d028584e10,The Sound of Electronica,Lonely Soul,52,UNKLE,Psyence Fiction,https://i.scdn.co/image/ab67616d0000b2734f1a91e8d19ff7e39b671b25,"['alternative dance', 'big beat', 'electronica', 'ninja', 'trip hop']",50,0.475,0.591,9,-7.854,0,0.0374,0.0776,0.0549,0.109,0.123,91.609,533013,4,electronica
2f14cB0pXqhgQDeNmQDkXf,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx?si=c3bca6d028584e10,The Sound of Electronica,Can't Do Without You,57,Caribou,Our Love,https://i.scdn.co/image/ab67616d0000b2738cbb0dcb407620fe35b2e6b0,"['alternative dance', 'electronica', 'electropop', 'folktronica', 'indie rock', 'indietronica', 'intelligent dance music', 'modern rock', 'new rave']",56,0.457,0.404,0,-9.1,1,0.0598,0.772,0.782,0.78,0.479,128.01,236400,4,electronica
2MddqD0MryxIAKS03raHsz,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx?si=c3bca6d028584e10,The Sound of Electronica,You Wish,64,Nightmares On Wax,In A Space Outta Sound,https://i.scdn.co/image/ab67616d0000b2735bd16afeadaf06b423326c31,"['bleep techno', 'downtempo', 'electronica', 'nu jazz', 'trip hop']",55,0.774,0.244,9,-9.748,0,0.0299,0.72,0.915,0.379,0.421,103.464,210467,4,electronica
2sjmitOYix0e0FXAR5Cvvc,https://open.spotify.com/playlist/6I0NsYzfoj7yHXyvkZYoRx?si=c3bca6d028584e10,The Sound of Electronica,The Staunton Lick,52,Lemon Jelly,LemonJelly.ky,https://i.scdn.co/image/ab67616d0000b273699c6d0199bad947d149164c,"['downtempo', 'electronica', 'ninja', 'nu jazz', 'trip hop']",47,0.64,0.867,7,-7.93,1,0.0577,0.323,0.614,0.0688,0.414,174.711,322133,4,electronica
