,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
3bVYgzFGeFpgX3kMeGjIEc,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,TMY,46,Scabtik,TMY,https://i.scdn.co/image/ab67616d0000b273fb7d8465acd8caed00ba0dd7,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",34,0.194,0.655,11,-4.905,0,0.0382,0.00885,0.0,0.122,0.242,146.523,159999,4,hardstyle
0kZLs9gb3tWP8ljQVLz5eY,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Control Your Mind,39,Damian Ray,Control Your Mind (feat. Mark Vayne),https://i.scdn.co/image/ab67616d0000b273093bc23abea3ea96c0ff2152,"['euphoric hardstyle', 'hardstyle']",27,0.253,0.855,6,-3.634,1,0.0622,0.0021,0.000395,0.203,0.142,154.826,227613,4,hardstyle
4YMYrjLvLQX80fawply7LD,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Together We Grow,26,Retrospect,Together We Grow,https://i.scdn.co/image/ab67616d0000b273d6d025893ccd37041cfdf03b,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",29,0.478,0.876,6,-4.707,0,0.0758,0.00105,0.009,0.0941,0.221,153.06,216471,4,hardstyle
5Si1bHQywjAiskWIVKm0Ea,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Deep Within - Radio Edit,26,Art Frequency,Deep Within (Radio Edit),https://i.scdn.co/image/ab67616d0000b2739700a84f747f7510b9dcb423,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",23,0.475,0.904,5,-5.787,1,0.0425,0.000492,0.0324,0.0739,0.374,149.987,168162,4,hardstyle
0wBVGpCXOVVVgu882NyA1f,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Chasing Stars,33,Valido,Chasing Stars,https://i.scdn.co/image/ab67616d0000b27304e18abbab1b1643df56d378,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",26,0.504,0.857,10,-4.444,0,0.131,0.0122,0.0,0.0726,0.352,154.949,199839,4,hardstyle
0uxEgvjOFAn0bjQSOBOr98,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Stay,37,Xense,Stay (feat. TNYA),https://i.scdn.co/image/ab67616d0000b2736c6ff278ba241fe2ea6cbb28,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",27,0.323,0.875,0,-4.623,1,0.065,0.000188,0.00505,0.236,0.111,154.998,204387,4,hardstyle
39HkBf0RTORrbzUAxMZoUc,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Your Voice,37,Nexone,Your Voice,https://i.scdn.co/image/ab67616d0000b273140bac02a15c1292dd215b87,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",25,0.526,0.931,0,-4.596,1,0.0465,0.00242,0.00253,0.214,0.275,154.985,191976,4,hardstyle
3UzPphFplwF1AS1tjyrbtp,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Insomnia,41,Hypnose,Insomnia,https://i.scdn.co/image/ab67616d0000b273581607341b27981754d899c3,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",43,0.526,0.959,10,-4.507,0,0.0793,0.0381,0.0,0.127,0.256,150.011,152008,4,hardstyle
6CZNQoJa2URMPOlq7vItO1,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Rave Until the Grave - Hardcore Edit,29,Concept Art,Rave Until the Grave,https://i.scdn.co/image/ab67616d0000b2735454c393d56dfaaba162764d,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",36,0.51,0.987,6,-3.239,1,0.237,0.0251,0.000639,0.208,0.107,169.984,232245,4,hardstyle
62CXU7C0Bs8Ym2eQoqex1D,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Feel Alive,32,Phyric,Feel Alive,https://i.scdn.co/image/ab67616d0000b27350271f0d088e000fd19503eb,"['euphoric hardstyle', 'hardstyle']",26,0.537,0.98,2,-4.002,0,0.122,0.0011,0.0105,0.377,0.318,154.987,243097,4,hardstyle
6LNBcFCn78lIsdRDRLGU1Q,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Unreal,34,Udex,Unreal,https://i.scdn.co/image/ab67616d0000b2732c19b38129e122dc901be2e3,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",30,0.379,0.925,7,-4.324,1,0.0482,0.0678,0.847,0.238,0.322,155.093,157935,4,hardstyle
7ASaQ0UTRaYPU94Ysvgm9B,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Fall No More,32,Bright Visions,Fall No More,https://i.scdn.co/image/ab67616d0000b27336f7a497380e81712e219de7,"['euphoric hardstyle', 'hardstyle', 'rawstyle', 'xtra raw']",29,0.368,0.831,1,-5.325,0,0.0582,0.000115,2.41e-06,0.595,0.135,160.006,196500,4,hardstyle
0XWQtIOEmws7pNwODEH6hW,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Burn,41,Firelite,Burn,https://i.scdn.co/image/ab67616d0000b2737c534db7091e80139067e6be,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",53,0.598,0.924,8,-0.1,0,0.114,0.0206,8.96e-06,0.114,0.492,159.961,225449,4,hardstyle
1dOkTcdaD64sB4jJ9Pkisy,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Stay Alive,38,D-Attack,Stay Alive,https://i.scdn.co/image/ab67616d0000b2730fb11062aca3e2920a79b7a5,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",32,0.411,0.92,1,-4.633,1,0.271,0.0108,0.000118,0.117,0.499,153.84,146899,4,hardstyle
0jAAlGmDyoxeUpRpTyC4m6,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Memories We Made,29,Rewildz,Memories We Made,https://i.scdn.co/image/ab67616d0000b273fa14d5c252096fac88a9a783,"['euphoric hardstyle', 'hardstyle']",26,0.486,0.871,8,-2.87,1,0.0747,0.00347,0.0,0.462,0.188,149.902,169600,4,hardstyle
71PN7HjZgWIFKp116CNKUx,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Lies,23,Griever,Follow the Path E.P.,https://i.scdn.co/image/ab67616d0000b273fd185a7b971ee2f537c44e1a,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",28,0.514,0.993,7,-2.688,1,0.135,0.000301,0.0378,0.356,0.342,154.968,200252,4,hardstyle
449rLlYuFLsLDBwQRZsVGU,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Stardust,38,Radianze,Stardust,https://i.scdn.co/image/ab67616d0000b273248203e358e721a17e063cb9,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",34,0.537,0.948,6,-2.592,0,0.363,0.00675,0.0,0.328,0.279,154.902,218323,4,hardstyle
3uNtbOycWL5zqTVVd3pcyv,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,I Want You,31,Ephoric,I Want You,https://i.scdn.co/image/ab67616d0000b2738558ab0971239b5f80ead705,"['euphoric hardstyle', 'hardstyle']",26,0.439,0.875,5,-6.28,1,0.0466,0.000376,0.876,0.0835,0.0744,150.108,144004,4,hardstyle
308NaxO08vapA4Gv0QD740,https://open.spotify.com/playlist/49gROGYXXsoGl3DQxGcmdb?si=66c7e7af6e274321,The Sound of Hardstyle,Demons (Way We Love),33,Pherato,Demons (Way We Love),https://i.scdn.co/image/ab67616d0000b273636c3bf842de59f0f4204b8b,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",32,0.466,0.89,9,-5.36,0,0.0593,0.00256,8.25e-06,0.229,0.482,160.049,171375,4,hardstyle
