,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1SyQ6t9RdRBK0QUCS6a797,https://open.spotify.com/playlist/6MXkE0uYF4XwU4VTtyrpfP?si=93cec6adbdf645dc,The Sound of Hip Hop,Hip Hop Hooray,65,Naughty By Nature,19 Naughty III,https://i.scdn.co/image/ab67616d0000b273afbd83843edfe8e64089cac2,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'new jersey rap', 'pop rap', 'rap']",57,0.862,0.642,6,-13.652,0,0.101,0.102,0.0,0.272,0.765,99.2,267267,4,hiphop
3Ti0GdlrotgwsAVBBugv0I,https://open.spotify.com/playlist/6MXkE0uYF4XwU4VTtyrpfP?si=93cec6adbdf645dc,The Sound of Hip Hop,Can I Kick It?,70,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),https://i.scdn.co/image/ab67616d0000b2734ba1fe238a517021ebcc2ace,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",65,0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,251573,4,hiphop
0IVAlb0cFCH1cQ974iR1TU,https://open.spotify.com/playlist/6MXkE0uYF4XwU4VTtyrpfP?si=93cec6adbdf645dc,The Sound of Hip Hop,Ms. Fat Booty,71,Mos Def,Black On Both Sides,https://i.scdn.co/image/ab67616d0000b27389b56f56323925d57b38944d,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']",64,0.782,0.589,1,-4.827,1,0.189,0.148,0.0,0.164,0.869,90.438,223547,4,hiphop
4G3dZN9o3o2X4VKwt4CLts,https://open.spotify.com/playlist/6MXkE0uYF4XwU4VTtyrpfP?si=93cec6adbdf645dc,The Sound of Hip Hop,Passin' Me By,68,The Pharcyde,Bizarre Ride II The Pharcyde,https://i.scdn.co/image/ab67616d0000b2739ec4abd35652fafe34ee7dfb,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'rap', 'west coast rap']",58,0.759,0.756,4,-8.145,0,0.266,0.0903,2.36e-06,0.265,0.613,87.059,303493,4,hiphop
48ZUwXrEOhaXLCxvmRYhZv,https://open.spotify.com/playlist/6MXkE0uYF4XwU4VTtyrpfP?si=93cec6adbdf645dc,The Sound of Hip Hop,Don't Sweat The Technique,60,Eric B. & Rakim,Don't Sweat The Technique,https://i.scdn.co/image/ab67616d0000b273d552416cafb8792b442655b2,"['alternative hip hop', 'bboy', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'hip house', 'old school hip hop', 'rap']",52,0.737,0.89,4,-8.443,1,0.158,0.00556,0.00171,0.0801,0.809,105.848,262800,4,hiphop
1EiLrPd8JMTcQUr1aLEUKi,https://open.spotify.com/playlist/6MXkE0uYF4XwU4VTtyrpfP?si=93cec6adbdf645dc,The Sound of Hip Hop,Work,64,Gang Starr,Moment Of Truth,https://i.scdn.co/image/ab67616d0000b2733a76edacefe2e7a589222787,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",61,0.787,0.832,10,-4.671,1,0.301,0.0347,0.0,0.0593,0.814,92.606,177667,4,hiphop
4TGHOWSNAwUXn5onDQr0P1,https://open.spotify.com/playlist/6MXkE0uYF4XwU4VTtyrpfP?si=93cec6adbdf645dc,The Sound of Hip Hop,Street Talkin',61,Slick Rick,The Art Of Storytelling,https://i.scdn.co/image/ab67616d0000b273e9a2bb369e73812ebcf30b56,"['alternative hip hop', 'bronx hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap']",55,0.934,0.495,5,-7.483,0,0.346,0.0544,0.0,0.0934,0.836,101.781,221200,4,hiphop
6YYd5MLpu45J0uLrMdivF7,https://open.spotify.com/playlist/6MXkE0uYF4XwU4VTtyrpfP?si=93cec6adbdf645dc,The Sound of Hip Hop,Got Your Money (feat. Kelis),67,Ol' Dirty Bastard,Nigga Please,https://i.scdn.co/image/ab67616d0000b273282eb5b255691e46a5bf5aad,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",64,0.934,0.459,1,-7.654,1,0.189,0.0516,0.0,0.222,0.697,103.04,239547,4,hiphop
67mtN6BlsJR0LVyzvNZnGt,https://open.spotify.com/playlist/6MXkE0uYF4XwU4VTtyrpfP?si=93cec6adbdf645dc,The Sound of Hip Hop,Tonight's Da Night,63,Redman,Whut? The Album,https://i.scdn.co/image/ab67616d0000b2733397cc60078359cce2ed2874,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'new jersey rap', 'rap', 'southern hip hop', 'wu fam']",64,0.697,0.687,6,-11.111,1,0.379,0.26,4.8e-05,0.403,0.866,90.247,201373,4,hiphop
3Y6XWs8xMlCngyIxNOFnsp,https://open.spotify.com/playlist/6MXkE0uYF4XwU4VTtyrpfP?si=93cec6adbdf645dc,The Sound of Hip Hop,Sound of da Police,64,KRS-One,Return of the Boom Bap,https://i.scdn.co/image/ab67616d0000b273db6b0860c8fc65d67c76775f,"['alternative hip hop', 'bronx hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'political hip hop', 'rap', 'turntablism']",54,0.794,0.95,1,-8.78,1,0.294,0.124,7.71e-05,0.133,0.324,94.984,258507,4,hiphop
