,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
7nionv2ijjqUlg9m5iWPTc,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,Feel My Needs,60,WEISS,Feel My Needs,https://i.scdn.co/image/ab67616d0000b27357c3c61f3173dee907e7b410,"['deep groove house', 'deep house', 'disco house', 'house', 'pop dance', 'tropical house', 'uk dance', 'uk house', 'vocal house']",55,0.789,0.692,3,-5.966,0,0.0475,0.001,0.861,0.0505,0.774,121.998,208525,4,house
6eSWdCAvzD4danVK3OlqYU,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,By My Side (feat. Anthony Valadez),55,Ferreck Dawn,By My Side (feat. Anthony Valadez),https://i.scdn.co/image/ab67616d0000b2731cf6292375547e5e6c35cdec,"['deep groove house', 'deep house', 'disco house', 'funky tech house', 'house', 'pop dance', 'tropical house', 'vocal house']",56,0.795,0.749,4,-8.058,0,0.0789,0.0371,0.00195,0.0575,0.72,123.054,157950,4,house
5Xc74Dn1ZKH6H8XaVGOHXG,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,On My Mind,59,Disciples,On My Mind,https://i.scdn.co/image/ab67616d0000b273c3647b02a2dba464fa7a739b,"['deep groove house', 'disco house', 'house', 'pop dance', 'tropical house', 'uk dance']",62,0.741,0.893,0,-2.549,0,0.0384,0.0435,3.19e-05,0.0371,0.733,122.056,185846,4,house
5pWPw4q8b9fMxnAii10mpQ,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,Runnin',56,Low Steppa,Boiling Point,https://i.scdn.co/image/ab67616d0000b273abc3cbd35804f8765885f045,"['dance pop', 'deep groove house', 'deep house', 'house', 'pop dance', 'tropical house', 'uk dance']",52,0.551,0.935,0,-4.101,1,0.0368,0.000653,0.0022,0.298,0.324,123.035,138537,4,house
397W12CqjA788iknS81yMB,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,Touch,60,Kideko,Touch,https://i.scdn.co/image/ab67616d0000b27307e3bafe81fc8728db47c2e4,"['deep groove house', 'disco house', 'edm', 'house', 'pop dance', 'uk dance']",53,0.723,0.767,6,-7.324,0,0.0389,0.00364,0.0782,0.279,0.275,124.016,167056,4,house
5jOhS3S7vTj9yQ4UmEk8qj,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,The Music Began To Play,56,Mark Knight,The Music Began To Play,https://i.scdn.co/image/ab67616d0000b2731722df4343143f7252588c69,"['deep groove house', 'deep house', 'disco house', 'edm', 'electro house', 'funky tech house', 'house', 'progressive house', 'tech house', 'uk house', 'vocal house']",56,0.738,0.936,4,-3.451,0,0.219,0.00151,0.707,0.617,0.27,127.022,145984,4,house
6j9mqb35Nx0KEsxmEk2uhb,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,I Wanna Feel,46,Secondcity,I Wanna Feel,https://i.scdn.co/image/ab67616d0000b2731ad2120fee3054735ba76fb2,"['deep groove house', 'disco house', 'house', 'pop dance', 'uk dance', 'uk house', 'vocal house']",53,0.692,0.896,10,-6.298,0,0.0637,0.0764,0.00194,0.157,0.804,121.999,185934,4,house
2zME1tNgLyHCJ29E2uSeJM,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,Adidas & Pearls,60,Solardo,Adidas & Pearls,https://i.scdn.co/image/ab67616d0000b273bf182a9370aff7cc3504f5e6,"['deep groove house', 'house', 'pop dance', 'uk dance']",55,0.589,0.893,7,-8.24,0,0.0428,0.000875,0.00822,0.0917,0.433,125.0,209280,4,house
7BQRqhJtJoXB1pNCvf7VmZ,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,Trouble,54,OFFAIAH,Trouble,https://i.scdn.co/image/ab67616d0000b273c5edd0d578751fca8a2b0ee5,"['deep groove house', 'deep house', 'disco house', 'edm', 'house']",45,0.602,0.97,1,-3.492,0,0.0441,0.0133,0.0386,0.138,0.965,124.034,173807,4,house
77VqW84V88aKD8Bi8CzEsP,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,You've Done Enough,61,Gorgon City,Olympia,https://i.scdn.co/image/ab67616d0000b273bafa195f89e8bea7b7846589,"['deep groove house', 'edm', 'future garage', 'house', 'pop dance', 'tropical house', 'uk dance']",63,0.676,0.782,0,-6.639,1,0.0344,0.0147,0.165,0.704,0.519,125.057,212893,4,house
3cIjfIqsLjCkuO31ycSBxP,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,Feel Your Body,63,Shift K3Y,Feel Your Body,https://i.scdn.co/image/ab67616d0000b273f3a1d43e910ae29e0b0a9c43,"['deep groove house', 'house', 'pop dance', 'tropical house', 'uk dance']",58,0.712,0.765,1,-5.137,0,0.0799,0.0363,0.129,0.344,0.693,123.999,176000,4,house
412luShbmlgqqgYFStIB1s,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,Wish You Were Mine - Radio Edit,67,Philip George,Wish You Were Mine,https://i.scdn.co/image/ab67616d0000b27325f92c1a22808b250fc1b1cb,"['deep groove house', 'house', 'pop dance', 'tropical house', 'uk dance']",53,0.654,0.832,7,-4.164,0,0.0293,0.0126,0.0901,0.102,0.407,123.002,177561,4,house
0m39QFJPnMbaouXbeqau1Y,https://open.spotify.com/playlist/6AzCASXpbvX5o3F8yaj1y0?si=fd08fafab6a54a3d,The Sound of House,Change My Mind,51,Just Kiddin,Change My Mind,https://i.scdn.co/image/ab67616d0000b2737a8961252f2fb48748bb9220,"['deep groove house', 'edm', 'house', 'nu disco', 'pop dance', 'pop edm', 'tropical house', 'uk dance']",56,0.678,0.859,11,-5.778,1,0.0507,0.0078,0.0,0.0915,0.541,120.98,161901,4,house
