,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0IffIW3eyCx9aZ36IqOu5o,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Infant Eyes - Remastered1998/Rudy Van Gelder Edition,49,Wayne Shorter,Speak No Evil,https://i.scdn.co/image/ab67616d0000b273bdd696feff94e70314535022,"['contemporary jazz', 'contemporary post-bop', 'free jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone']",46,0.34,0.0837,3,-12.072,1,0.042,0.985,0.761,0.0945,0.119,138.689,414240,3,jazz
6qqK0oeBRapZn8f9hJJENw,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Blue Bossa - Remastered,51,Joe Henderson,Page One,https://i.scdn.co/image/ab67616d0000b2738162476a3924e27ce23cf04b,"['avant-garde jazz', 'bebop', 'big band', 'contemporary jazz', 'contemporary post-bop', 'free jazz', 'hard bop', 'japanese jazz', 'jazz', 'jazz funk', 'jazz fusion', 'jazz saxophone', 'soul jazz']",43,0.531,0.366,5,-11.697,0,0.0496,0.911,0.88,0.0916,0.785,81.867,482440,4,jazz
7Codqj9B5oMniYPUhfv26I,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Dedicated To You,47,Freddie Hubbard,The Body & The Soul,https://i.scdn.co/image/ab67616d0000b27385b5449cfc7df0e04ef3ebbb,"['bebop', 'big band', 'contemporary jazz', 'contemporary post-bop', 'free jazz', 'hard bop', 'japanese jazz', 'jazz', 'jazz funk', 'jazz fusion', 'jazz trumpet', 'soul jazz']",43,0.422,0.148,10,-15.38,1,0.0429,0.985,0.964,0.116,0.0857,125.334,202773,3,jazz
0zQE77yszbyv61M4NboU2u,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,St. Thomas,47,Sonny Rollins,Saxophone Colossus,https://i.scdn.co/image/ab67616d0000b273eebd4101dd4860179ad48200,"['bebop', 'big band', 'contemporary post-bop', 'free jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone']",49,0.541,0.607,0,-8.435,1,0.0438,0.727,0.442,0.0997,0.754,104.96,406267,4,jazz
1J9iVCaEriyoMXpj2XszhU,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,When Sunny Gets Blue,57,McCoy Tyner,Today And Tomorrow,https://i.scdn.co/image/ab67616d0000b273e2ad553a9862224408dedf0b,"['avant-garde jazz', 'contemporary post-bop', 'free jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz piano', 'stride']",45,0.427,0.114,2,-22.546,0,0.0509,0.843,0.863,0.0966,0.114,60.484,282320,4,jazz
4EaNQXQIuiBlQe5fe5fae6,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,I'm A Fool To Want You,40,Dexter Gordon,Clubhouse,https://i.scdn.co/image/ab67616d0000b2736d5755072aaf2dad1868b182,"['bebop', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone']",47,0.471,0.0973,5,-15.674,0,0.044,0.98,0.882,0.138,0.292,91.239,402573,3,jazz
7iOTBeLm5qR9N23fjQy8Kl,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Sandu,51,Clifford Brown,Study In Brown,https://i.scdn.co/image/ab67616d0000b273593f51311045ab28b58095d2,"['bebop', 'big band', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet']",48,0.562,0.447,8,-9.363,1,0.0636,0.633,0.125,0.0884,0.471,68.957,297040,4,jazz
3Wadbk42UtsJOT5mCx9Bb0,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Polka Dots And Moonbeams - 1994 Remaster,45,Bud Powell,The Amazing Bud Powell,https://i.scdn.co/image/ab67616d0000b2738e449c1e27481a8155cedc0c,"['bebop', 'free jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz piano', 'stride']",40,0.558,0.0891,2,-17.633,0,0.0643,0.946,0.924,0.0966,0.13,100.523,243773,4,jazz
1sce5VJvCOYYDAR9rp9KdG,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Stolen Moments,53,Oliver Nelson,The Blues And The Abstract Truth,https://i.scdn.co/image/ab67616d0000b273d18306ca965621082c1bca78,"['bebop', 'big band', 'contemporary post-bop', 'free jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'soul jazz', 'stride']",41,0.575,0.187,0,-13.081,0,0.0512,0.927,0.877,0.166,0.342,107.469,525613,4,jazz
6QlkHjQmo2YncQN5MQXgPZ,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,It Never Entered My Mind,55,Miles Davis Quintet,Workin',https://i.scdn.co/image/ab67616d0000b273e2e871611c36d490252a2e9f,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion']",48,0.476,0.217,8,-10.75,1,0.0308,0.892,6.09e-05,0.0966,0.121,116.079,323187,4,jazz
1n5EMtOURoBwUV4l4bJN0d,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,"Mercy, Mercy, Mercy",29,Cannonball Adderley,Jazz Masters,https://i.scdn.co/image/ab67616d0000b27366e694df2378063cc18abf94,"['bebop', 'big band', 'cool jazz', 'hard bop', 'jazz', 'jazz blues', 'jazz fusion', 'vocal jazz']",56,0.568,0.261,10,-16.72,1,0.0292,0.73,0.182,0.977,0.405,84.463,308307,4,jazz
4UkPxXIECTNDLAawA5zdsR,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Have You Met Miss Jones,47,McCoy Tyner Trio,Reaching Fourth,https://i.scdn.co/image/ab67616d0000b273d850f3aaa1d7016b7cdfaaba,"['contemporary jazz', 'contemporary post-bop', 'hard bop', 'japanese jazz', 'jazz', 'jazz fusion', 'jazz trio', 'stride']",35,0.575,0.487,8,-14.243,1,0.0681,0.461,0.27,0.0896,0.744,145.769,226733,4,jazz
4vWMrM0AwlhRlkAdQtC2zn,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Softly As In A Morning Sunrise,52,The Modern Jazz Quartet,Elegance: The Birth Of The Modern Jazz Quartet,https://i.scdn.co/image/ab67616d0000b273eb3ad8502031bc27561e6977,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz quartet', 'stride', 'swing']",44,0.634,0.327,0,-9.703,0,0.0551,0.709,0.0131,0.158,0.498,80.825,209400,4,jazz
6LPqphk2rbt2i63bR2o247,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,All The Things You Are,51,Dizzy Gillespie,Odyssey: 1945-1952,https://i.scdn.co/image/ab67616d0000b273d5578146fd6cb97040f7d8bc,"['bebop', 'big band', 'jazz', 'jazz fusion', 'jazz trumpet', 'swing']",48,0.564,0.0822,8,-17.658,1,0.0453,0.962,0.583,0.11,0.483,127.422,169507,4,jazz
6KawDsALZTY6FA8CE1NLZK,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,I Remember Clifford - Rudy Van Gelder Edition; 2007 Digital Remaster,48,Lee Morgan,Volume 3,https://i.scdn.co/image/ab67616d0000b273b7f77662bc78477ef5be9c6d,"['bebop', 'big band', 'free jazz', 'hard bop', 'jazz', 'jazz trumpet', 'soul jazz']",45,0.376,0.278,0,-8.597,0,0.0416,0.912,0.886,0.0728,0.199,62.055,429040,4,jazz
20iVJu5WfnEKda2uFhLP7d,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,My Ideal,51,Kenny Dorham,Quiet Kenny,https://i.scdn.co/image/ab67616d0000b273028ede8b512bcdad84b887e1,"['bebop', 'big band', 'free jazz', 'hard bop', 'jazz', 'jazz trumpet', 'stride']",43,0.353,0.0699,4,-24.559,0,0.0404,0.99,0.903,0.111,0.269,64.505,305707,3,jazz
6yKkA8HzwWTZ5taIMaG4Nm,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,My Foolish Heart,58,Bill Evans Trio,Waltz For Debby [Original Jazz Classics Remasters] (OJC Remaster),https://i.scdn.co/image/ab67616d0000b273aa2fcbd15b6724b4719469af,"['bebop', 'jazz', 'jazz fusion', 'jazz trio']",53,0.395,0.121,9,-23.427,1,0.0327,0.935,0.397,0.697,0.139,114.521,297320,4,jazz
10kVwPSRjUYja0EtdqmXHe,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,50,Hank Mobley,Soul Station,https://i.scdn.co/image/ab67616d0000b2738d277396016ea9ea46d55ce0,"['bebop', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz']",47,0.599,0.444,5,-8.648,0,0.044,0.82,0.000474,0.122,0.508,142.81,369387,4,jazz
62VWmsNoDmqT0Mj9oHHFVh,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Strasbourg / St. Denis,50,Roy Hargrove,Earfood,https://i.scdn.co/image/ab67616d0000b273e5fb416c8afaa471d5bc9220,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'jazz', 'jazz fusion', 'jazz trumpet']",44,0.701,0.445,1,-10.583,1,0.0834,0.149,0.59,0.0963,0.405,103.004,278627,4,jazz
0j8zTTCtNBf3BZkHOH5xIV,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Moanin' - Remastered,26,Art Blakey & The Jazz Messengers,Moanin' (Remastered),https://i.scdn.co/image/ab67616d0000b273115df6e11a190ee3da689f40,"['bebop', 'free jazz', 'hard bop', 'jazz', 'jazz drums', 'jazz fusion']",43,0.602,0.283,5,-16.768,0,0.0505,0.79,0.148,0.136,0.462,130.667,572204,4,jazz
1CDBaGlisZlOJzvx88lL8A,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Song For My Father,53,Horace Silver,Song For My Father,https://i.scdn.co/image/ab67616d0000b2739453839d1e3569bdebc9ffab,"['bebop', 'hard bop', 'jazz', 'jazz fusion', 'jazz piano', 'soul jazz']",45,0.742,0.671,5,-8.142,0,0.0407,0.794,0.00441,0.122,0.591,127.359,438280,4,jazz
0oVWNxNOoezPVN2g8Jcml4,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Easy To Love,52,Ahmad Jamal,Happy Moods,https://i.scdn.co/image/ab67616d0000b273caf597f84d7454d52225407b,"['bebop', 'cool jazz', 'jazz', 'jazz piano', 'stride']",45,0.724,0.203,10,-13.794,1,0.039,0.838,0.784,0.123,0.405,135.144,200987,4,jazz
3ONFcrwlLYLUZBPh0WSD6q,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,"Right Back Round Again (feat. Brad Mehldau, Christian McBride & Brian Blade)",45,Joshua Redman,"RoundAgain (feat. Brad Mehldau, Christian McBride, Brian Blade)",https://i.scdn.co/image/ab67616d0000b273b44fe454270e7e8e3702c149,"['contemporary jazz', 'contemporary post-bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'straight-ahead jazz', 'uk contemporary jazz']",41,0.576,0.542,6,-10.167,1,0.0344,0.683,0.827,0.0513,0.565,124.019,360680,4,jazz
3Gcpi1CwKoQtc8B3H2ZOIX,https://open.spotify.com/playlist/5EyFMotmvSfDAZ4hSdKrbx?si=2e7fc4ded0224986,The Sound of Jazz,Someone To Watch Over Me,52,Lee Konitz,Lee Konitz Meets Jimmy Giuffre,https://i.scdn.co/image/ab67616d0000b273f13e832e7bb6125c03174c60,"['bebop', 'cool jazz', 'free jazz', 'jazz', 'jazz saxophone', 'stride', 'vocal jazz']",44,0.419,0.0284,0,-24.09,1,0.0357,0.987,0.586,0.105,0.121,71.502,216360,4,jazz
