,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
5gflgO9EPbIBf16n5TKnQS,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Yo Voy (feat. Daddy Yankee),85,Zion & Lennox,Motivando a la Yal,https://i.scdn.co/image/ab67616d0000b27387d3146807ad53b05a7daaac,"['latin hip hop', 'reggaeton', 'trap latino']",79,0.808,0.697,10,-5.899,1,0.241,0.041,0.0,0.0546,0.554,95.06,232020,4,latin
2vmfvSoZBFAt9hhRoEByLi,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Volví,83,Aventura,Volví,https://i.scdn.co/image/ab67616d0000b27312bcec4f18ee130369ce170c,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'trap latino', 'tropical']",77,0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,230125,4,latin
0vHfVsEe6Ps0d8cZ9PGzSw,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Loco Por Perrearte - Remix,82,De La Ghetto,Loco Por Perrearte (Remix),https://i.scdn.co/image/ab67616d0000b2734baa286b027f4a7275c32d54,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",81,0.848,0.673,11,-4.034,0,0.058,0.0147,0.00652,0.102,0.39,93.987,199149,4,latin
2Jz1X6ZB0gkkCVgmeVGVGp,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Na De Na,75,Angel Y Khriz,Showtime,https://i.scdn.co/image/ab67616d0000b27398cc17c2d48595067de30578,"['latin hip hop', 'latin pop', 'reggaeton', 'trap latino']",64,0.878,0.894,6,-5.834,1,0.123,0.184,0.0,0.105,0.682,119.927,202867,4,latin
23WI5V2eD4EyGKxSl7Pyeq,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Andas En Mi Cabeza,73,Chino & Nacho,Andas En Mi Cabeza,https://i.scdn.co/image/ab67616d0000b2736df5cc472d61a635abab06cf,"['electro latino', 'latin hip hop', 'latin pop', 'trap latino', 'tropical']",64,0.671,0.954,9,-1.87,1,0.13,0.0244,0.0,0.111,0.556,104.114,247493,4,latin
79NdVoSxUC2XC48eg0ifMy,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Buenos Días,66,Wisin,"Multimillo, Vol. 1",https://i.scdn.co/image/ab67616d0000b273c8144539e4e221291a2f6710,"['latin hip hop', 'reggaeton', 'trap latino']",76,0.681,0.809,8,-4.191,1,0.0514,0.0707,0.0,0.0715,0.966,171.942,199827,4,latin
0X5jHsNHshuHNfAWs1sxQ5,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Permitame,71,Tony Dize,Permitame,https://i.scdn.co/image/ab67616d0000b273d43d9417ff284b7555221c46,"['latin hip hop', 'reggaeton', 'trap latino']",75,0.629,0.668,8,-6.974,1,0.15,0.0287,0.0,0.159,0.904,214.025,185013,4,latin
5G9apJpojORVj2gwLgmSrD,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,¿Por Qué Les Mientes? (feat. Marc Anthony),70,"Tito ""El Bambino""",Invicto (El Patrón),https://i.scdn.co/image/ab67616d0000b2735eec3b25eb2b147ccb5da5b7,"['latin hip hop', 'reggaeton', 'trap latino']",69,0.689,0.787,11,-5.097,1,0.217,0.175,0.0,0.0559,0.831,109.956,213307,4,latin
4tPL9PeVZY4c0jUPtSD5nx,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Picky,67,Joey Montana,Picky Back To The Roots,https://i.scdn.co/image/ab67616d0000b2739e30a33d6d1456c8b978942b,"['latin hip hop', 'latin pop', 'panamanian pop', 'pop peruano', 'reggaeton', 'trap latino']",63,0.783,0.748,8,-4.683,1,0.0892,0.147,0.0,0.173,0.806,93.222,182747,4,latin
1EyH5BK5Cx5XzQyEDks0fT,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Quiero Bailar,62,Ivy Queen,Diva Platinum Edition,https://i.scdn.co/image/ab67616d0000b2738666a2cf0aa216872f3bdd90,"['latin hip hop', 'rap latina', 'reggaeton', 'trap latino', 'tropical']",64,0.853,0.846,5,-5.261,1,0.0951,0.3,0.0,0.294,0.737,95.027,184507,4,latin
2G74yhtIMW8tJY5I83dS4Z,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Amor del Bueno,74,Reyli Barba,Reyli En La Luna,https://i.scdn.co/image/ab67616d0000b27351b341dbfd3dbe6747e53112,"['latin pop', 'mexican pop', 'ranchera', 'rock en espanol', 'tropical']",63,0.77,0.373,1,-6.931,1,0.0328,0.317,0.0,0.217,0.293,131.975,242027,4,latin
1Z4IqxukC6Yuer0nK7rC2R,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Te Quiero,65,Flex,Te Quiero,https://i.scdn.co/image/ab67616d0000b2734caffbc3fb9663e2ec0ea1de,"['latin hip hop', 'reggaeton', 'trap latino', 'tropical']",62,0.536,0.598,1,-9.608,1,0.0424,0.00314,0.0,0.319,0.465,83.954,199110,4,latin
4IsO1J5LSrVwkQOIEdZ417,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Sin Novia,77,Nicky Jam,Sin Novia,https://i.scdn.co/image/ab67616d0000b2734978c12cf10030de4d0816ed,"['latin hip hop', 'reggaeton', 'trap latino']",82,0.747,0.752,11,-5.324,1,0.0417,0.116,0.0,0.128,0.512,106.97,188411,4,latin
6habFhsOp2NvshLv26DqMb,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Despacito,80,Luis Fonsi,VIDA,https://i.scdn.co/image/ab67616d0000b273ef0d4234e1a645740f77d59c,"['latin pop', 'puerto rican pop']",75,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,229360,4,latin
0tDSgSmZsbxCkdkfUPjg59,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,5 Letras,67,Alexis y Fido,Sobrenatural,https://i.scdn.co/image/ab67616d0000b27329d73e11d466d6dd8917173f,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",64,0.82,0.788,6,-5.478,0,0.191,0.272,1.65e-06,0.0404,0.648,93.961,195573,4,latin
3b1IQflSLrgzYQPGFzI9cl,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Es Por Ti,74,Juanes,Un Día Normal,https://i.scdn.co/image/ab67616d0000b27323a1613112c1ecf946f51177,"['colombian pop', 'latin pop', 'mexican pop', 'rock en espanol', 'tropical']",75,0.696,0.758,4,-6.076,1,0.0264,0.17,3.33e-05,0.189,0.859,129.943,250693,4,latin
0AAl3LtvIhEilWXZmYHeh5,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,More,69,Zion,La Fórmula,https://i.scdn.co/image/ab67616d0000b27375f95942c2a9d2f2aace6efa,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",74,0.687,0.778,1,-6.623,0,0.101,0.209,0.0,0.117,0.865,172.047,240733,4,latin
1LszjjoVwDDZcWUQbzeDLG,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Explícale (feat. Bad Bunny),69,Yandel,#Update,https://i.scdn.co/image/ab67616d0000b273b54d1c695daae20467312eb3,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",74,0.808,0.69,1,-4.151,1,0.148,0.0583,0.0,0.103,0.64,125.086,223147,4,latin
2B4GHvToeLTOBB4QLzW3Ni,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Pepas,75,Farruko,La 167,https://i.scdn.co/image/ab67616d0000b273f1bd89fe6542ac73b8555f73,"['latin hip hop', 'reggaeton', 'trap latino']",84,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4,latin
7DhYjNLksXZhbRQeheAums,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Caraluna,77,Bacilos,Caraluna,https://i.scdn.co/image/ab67616d0000b273e1f4c211ce1ef95454bbbcc4,"['colombian pop', 'latin pop', 'rock en espanol', 'tropical']",66,0.76,0.773,9,-5.314,1,0.0675,0.176,0.0,0.1,0.895,102.789,266160,4,latin
3df4fSoW5zsdNi5Wf3K5RP,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Tú No Eres Para Mi,68,Fanny Lu,Dos,https://i.scdn.co/image/ab67616d0000b2737cd896965a4d7fbd23396939,"['colombian pop', 'latin pop', 'latin viral pop', 'tropical']",57,0.859,0.905,5,-5.02,1,0.0336,0.0474,0.0,0.214,0.914,124.983,205667,4,latin
44kI7aJvJAYJkREVk0Rmei,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,Confieso,71,Kany García,Soy Yo,https://i.scdn.co/image/ab67616d0000b2739f153d21037597f695cb770b,"['latin pop', 'puerto rican pop']",69,0.476,0.244,9,-8.361,1,0.0997,0.915,0.0,0.0975,0.36,177.688,224227,4,latin
2awKQgW88iq9jFM54VaCAp,https://open.spotify.com/playlist/1IGB0Uz7x2VY28qMagUC24?si=952287be86a242bb,The Sound of Latin,El Sol No Regresa,74,La Quinta Estacion,Flores De Alquiler,https://i.scdn.co/image/ab67616d0000b2731daaff00746344ca90245833,"['latin arena pop', 'latin pop', 'rock en espanol', 'spanish pop', 'spanish pop rock']",64,0.615,0.878,3,-4.056,1,0.035,0.052,1.16e-06,0.326,0.72,127.906,228560,4,latin
