,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
27jgTMFbx4HZhwVVpK0tOC,https://open.spotify.com/playlist/3pBfUFu8MkyiCYyZe849Ks?si=de1f9d265d794f58,The Sound of Metal,Abigail - Reissue,26,King Diamond,Abigail,https://i.scdn.co/image/ab67616d0000b273f247cab2be00aa0560842d2e,"['danish metal', 'death metal', 'hard rock', 'metal', 'power metal', 'thrash metal']",45,0.317,0.937,9,-5.244,1,0.0651,0.00174,0.723,0.352,0.559,146.584,290733,4,metal
5pH1BecbNktYDbYw0XCEWn,https://open.spotify.com/playlist/3pBfUFu8MkyiCYyZe849Ks?si=de1f9d265d794f58,The Sound of Metal,Evil,53,Mercyful Fate,Melissa,https://i.scdn.co/image/ab67616d0000b2732047927ddb02a89e8ec1dd30,"['album rock', 'danish metal', 'death metal', 'hard rock', 'metal', 'thrash metal']",46,0.288,0.904,0,-9.455,1,0.114,0.000273,0.382,0.0894,0.556,133.838,284960,4,metal
6lWFQo5NuR3y8Q6CHIRatA,https://open.spotify.com/playlist/3pBfUFu8MkyiCYyZe849Ks?si=de1f9d265d794f58,The Sound of Metal,Elimination,47,Overkill,The Years of Decay,https://i.scdn.co/image/ab67616d0000b273c2114d3ba605083392f8f878,"['death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'speed metal', 'thrash metal']",44,0.302,0.805,6,-11.395,0,0.0967,0.000849,4.19e-06,0.151,0.578,112.766,275387,4,metal
07thLbY0eGli2xWWIPdrN2,https://open.spotify.com/playlist/3pBfUFu8MkyiCYyZe849Ks?si=de1f9d265d794f58,The Sound of Metal,Watching over Me - Remixed & Remastered,48,Iced Earth,Something Wicked This Way Comes,https://i.scdn.co/image/ab67616d0000b2739a503aa4501112959d3a5e15,"['hard rock', 'melodic metal', 'metal', 'neo classical metal', 'old school thrash', 'power metal', 'power thrash', 'speed metal', 'us power metal']",47,0.508,0.852,6,-7.842,1,0.0718,0.00134,0.0,0.363,0.184,129.174,268907,4,metal
2RaA6kIcvomt77qlIgGhCT,https://open.spotify.com/playlist/3pBfUFu8MkyiCYyZe849Ks?si=de1f9d265d794f58,The Sound of Metal,Breaking the Law,71,Judas Priest,British Steel,https://i.scdn.co/image/ab67616d0000b273be0e5ebab8c61469b1ff9f62,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'power metal', 'rock']",66,0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840,4,metal
153SwL1d9SfCLWhqIs08we,https://open.spotify.com/playlist/3pBfUFu8MkyiCYyZe849Ks?si=de1f9d265d794f58,The Sound of Metal,Alison Hell,49,Annihilator,Alice In Hell,https://i.scdn.co/image/ab67616d0000b273505091cebd764c3a13590265,"['canadian metal', 'death metal', 'hard rock', 'metal', 'neo classical metal', 'old school thrash', 'power metal', 'speed metal', 'technical groove metal', 'thrash metal']",44,0.365,0.978,9,-6.314,1,0.0698,0.00016,0.00241,0.206,0.108,101.886,301053,4,metal
3yNoEJifUJdly8ucYoWRwl,https://open.spotify.com/playlist/3pBfUFu8MkyiCYyZe849Ks?si=de1f9d265d794f58,The Sound of Metal,Black Metal,50,Venom,Black Metal,https://i.scdn.co/image/ab67616d0000b27361383fe42756b74fb81ed769,"['black metal', 'black thrash', 'british black metal', 'death metal', 'hard rock', 'metal', 'nwobhm', 'old school thrash', 'speed metal', 'thrash metal']",44,0.291,0.758,1,-12.103,1,0.0556,0.000918,6.84e-06,0.291,0.446,80.601,221693,4,metal
3pKsUMqpVr4ZJ13Mm91Xig,https://open.spotify.com/playlist/3pBfUFu8MkyiCYyZe849Ks?si=de1f9d265d794f58,The Sound of Metal,Down for Life,60,Testament,The Gathering,https://i.scdn.co/image/ab67616d0000b273f1897a3debc7d085fcaa901c,"['alternative metal', 'death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",55,0.344,0.955,1,-10.614,1,0.0444,5.4e-06,0.111,0.0665,0.352,111.671,203680,4,metal
14M68PdZSSMRzTBuJNuxO6,https://open.spotify.com/playlist/3pBfUFu8MkyiCYyZe849Ks?si=de1f9d265d794f58,The Sound of Metal,Satan Is Real,51,Kreator,Gods of Violence,https://i.scdn.co/image/ab67616d0000b2736f5a8ce06b3a6f193a25fbd6,"['death metal', 'german metal', 'german thrash metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'power metal', 'speed metal', 'thrash metal']",52,0.43,0.96,7,-4.32,1,0.0778,5.64e-05,0.0909,0.126,0.252,101.608,278200,4,metal
34LXW73avo8xz0NLiVuiow,https://open.spotify.com/playlist/3pBfUFu8MkyiCYyZe849Ks?si=de1f9d265d794f58,The Sound of Metal,Metal Church,46,Metal Church,Metal Church,https://i.scdn.co/image/ab67616d0000b273946386c124aefa1e49b24442,"['hard rock', 'melodic thrash', 'metal', 'old school thrash', 'speed metal', 'thrash metal', 'us power metal']",41,0.428,0.947,10,-8.516,0,0.0751,0.000679,0.0563,0.262,0.223,102.335,302360,4,metal
