,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2DB4DdfCFMw1iaR6JaR03a,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Bam Bam (feat. Ed Sheeran),83,Camila Cabello,Familia,https://i.scdn.co/image/ab67616d0000b273370ed6a9ced20874385fb147,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",82,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,206071,4,pop
5WtfUKzXircvW8l5aaVZWT,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,What A Time (feat. Niall Horan),82,Julia Michaels,Inner Monologue Part 1,https://i.scdn.co/image/ab67616d0000b2737e706949994bcef39b09da4e,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",74,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,173307,4,pop
0wI7QkCcs8FUQE1OkXUIqd,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Scars To Your Beautiful,78,Alessia Cara,Know-It-All,https://i.scdn.co/image/ab67616d0000b273d7ef1ffbd2a5821152f35ce1,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'post-teen pop', 'uk pop']",74,0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085,230240,4,pop
3e7sxremeOE3wTySiOhGiP,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Dusk Till Dawn (feat. Sia) - Radio Edit,78,ZAYN,Icarus Falls,https://i.scdn.co/image/ab67616d0000b2732bdcb339402ebd78651f09c8,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",76,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,239000,4,pop
4l0Mvzj72xxOpRrp6h8nHi,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Lose You To Love Me,80,Selena Gomez,Rare,https://i.scdn.co/image/ab67616d0000b2732abcc266597eb46f897a8666,"['dance pop', 'pop', 'post-teen pop']",81,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,206459,4,pop
1l4iQsOZ5sOXZPMQLvouaB,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Coast (feat. Anderson .Paak),80,Hailee Steinfeld,Coast,https://i.scdn.co/image/ab67616d0000b27324ff24bb43b01a2a26b7d501,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",72,0.701,0.875,11,-4.1,1,0.0757,0.0262,7.32e-06,0.137,0.84,111.976,166720,4,pop
3uwnnTQcHM1rDqSfA4gQNz,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Cool for the Summer,81,Demi Lovato,Confident,https://i.scdn.co/image/ab67616d0000b273ed164cf1c10f028e8f528784,"['dance pop', 'pop', 'post-teen pop']",81,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,214740,4,pop
76hfruVvmfQbw0eYn1nmeC,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Cake By The Ocean,82,DNCE,DNCE,https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",71,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,219147,4,pop
3zHq9ouUJQFQRf3cm1rRLu,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,"Love Me Like You Do - From ""Fifty Shades Of Grey""",79,Ellie Goulding,Delirium (Deluxe),https://i.scdn.co/image/ab67616d0000b2736bdee14242f244d9d6ddf2fd,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",78,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,252534,4,pop
6FZDfxM3a3UCqtzo5pxSLZ,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Without Me,77,Halsey,Manic,https://i.scdn.co/image/ab67616d0000b2737636e1c9e67eaafc9f49aefd,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']",83,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4,pop
1rIKgCH4H52lrvDcz50hS8,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Lush Life,77,Zara Larsson,So Good,https://i.scdn.co/image/ab67616d0000b2739e1683774b22648f4f178ed3,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house', 'uk pop']",76,0.694,0.712,7,-3.923,0,0.046,0.132,0.0,0.211,0.799,98.023,201122,4,pop
5ajjAnNRh8bxFvaVHzpPjh,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Reckless,79,Madison Beer,Reckless,https://i.scdn.co/image/ab67616d0000b273fe32f37b07c7894097aafd52,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",72,0.386,0.426,3,-6.642,1,0.0363,0.807,0.0,0.14,0.261,180.104,203385,3,pop
4tCtwWceOPWzenK2HAIJSb,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Work from Home (feat. Ty Dolla $ign),75,Fifth Harmony,7/27 (Deluxe),https://i.scdn.co/image/ab67616d0000b273d03fa6f4e758282b7920b5c8,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",68,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,214480,4,pop
4e4fqjx0Izh4svvTef1z7e,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Meant to Be (feat. Florida Georgia Line),72,Bebe Rexha,Expectations,https://i.scdn.co/image/ab67616d0000b27361fe6d3a50c0beaa3cfe33e9,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",80,0.642,0.772,10,-6.61,1,0.0848,0.0476,0.0,0.0646,0.589,153.995,164205,4,pop
14OxJlLdcHNpgsm4DRwDOB,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,Habits (Stay High),73,Tove Lo,Queen Of The Clouds,https://i.scdn.co/image/ab67616d0000b273edbdf62135e9112a98bffa0c,"['dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop', 'uk pop']",75,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,209160,4,pop
0qvzXomUDJVaUboy2wMfiS,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,This Town,79,Niall Horan,Flicker (Deluxe),https://i.scdn.co/image/ab67616d0000b2735bac234d5511248b248caf36,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'uk pop']",75,0.677,0.401,9,-8.467,1,0.0308,0.712,0.0,0.116,0.195,111.825,232852,4,pop
09IStsImFySgyp0pIQdqAc,https://open.spotify.com/playlist/6gS3HhOiI17QNojjPuPzqc?si=e8730ae9a05046b8,The Sound of Pop,The Middle,79,Zedd,The Middle,https://i.scdn.co/image/ab67616d0000b273fbe22d168a743b782a5e856a,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",75,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,184732,4,pop
