,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0hebjXwdDFHS1kHDQ82HZr,https://open.spotify.com/playlist/0TcXdt4sbITbwCwwFbKYyd?si=f0ed1d67e673464a,The Sound of Reggae,Jah Give Us Life,55,Wailing Souls,The Very Best Of The Wailing Souls,https://i.scdn.co/image/ab67616d0000b273a3fef7e3508b7aacf9503049,"['dub', 'lovers rock', 'reggae', 'roots reggae', 'ska']",48,0.76,0.568,2,-12.166,0,0.0578,0.0521,0.000932,0.0666,0.962,144.678,232440,4,reggae
0rY1FvyyqOYSdxnKfBGjj3,https://open.spotify.com/playlist/0TcXdt4sbITbwCwwFbKYyd?si=f0ed1d67e673464a,The Sound of Reggae,Pass The Kutchie,48,Mighty Diamonds,Reggae Anthology: Mighty Diamonds - Pass The Knowledge,https://i.scdn.co/image/ab67616d0000b273322a72bc3f8ba50a61dc26da,"['dub', 'lovers rock', 'reggae', 'roots reggae', 'ska']",45,0.7,0.476,0,-9.771,1,0.0703,4.48e-05,0.00158,0.0946,0.652,143.413,215667,4,reggae
4PKri4OX2AB2RXj95Y9ZgB,https://open.spotify.com/playlist/0TcXdt4sbITbwCwwFbKYyd?si=f0ed1d67e673464a,The Sound of Reggae,Book Of Rules,53,The Heptones,Night Food,https://i.scdn.co/image/ab67616d0000b27384b3e8b3833feb5f34332f71,"['dub', 'lovers rock', 'reggae', 'rocksteady', 'roots reggae', 'ska']",44,0.779,0.533,6,-14.152,1,0.0535,0.272,0.159,0.13,0.944,142.495,211467,4,reggae
4qgjTShkgEYwyfxfHWpFLO,https://open.spotify.com/playlist/0TcXdt4sbITbwCwwFbKYyd?si=f0ed1d67e673464a,The Sound of Reggae,Meditation - Remastered 2002,52,The Abyssinians,Arise,https://i.scdn.co/image/ab67616d0000b273816a649c99175739d3954b98,"['dub', 'lovers rock', 'reggae', 'roots reggae', 'ska']",44,0.73,0.442,0,-9.811,1,0.15,0.0932,0.0,0.0804,0.481,129.298,175560,4,reggae
34pB4FSvt545dwYbpbRkgd,https://open.spotify.com/playlist/0TcXdt4sbITbwCwwFbKYyd?si=f0ed1d67e673464a,The Sound of Reggae,Back Staba,57,Israel Vibration,Stamina,https://i.scdn.co/image/ab67616d0000b2730ea3fdc65f1c7a97a73a94de,"['dub', 'reggae', 'roots reggae']",52,0.755,0.537,9,-6.651,1,0.29,0.062,0.0,0.106,0.885,73.618,231187,4,reggae
0GGPUysb8GpCG76dQH63te,https://open.spotify.com/playlist/0TcXdt4sbITbwCwwFbKYyd?si=f0ed1d67e673464a,The Sound of Reggae,The International Herb,50,Culture,Too Long In Slavery,https://i.scdn.co/image/ab67616d0000b2738591953a41d06772e625dc29,"['dub', 'lovers rock', 'reggae', 'roots reggae']",47,0.825,0.433,5,-13.085,0,0.337,0.0585,0.0,0.0618,0.687,127.686,200960,4,reggae
7ERRjAcL8i6vdKkaRGDdQc,https://open.spotify.com/playlist/0TcXdt4sbITbwCwwFbKYyd?si=f0ed1d67e673464a,The Sound of Reggae,Sinsemilla,48,Black Uhuru,Sinsemilla,https://i.scdn.co/image/ab67616d0000b273ceaba56d647ae724072b9ea5,"['dub', 'reggae', 'roots reggae']",46,0.846,0.564,4,-10.915,0,0.0981,0.0176,0.026,0.0713,0.708,131.25,309880,4,reggae
30ELPvO4DH57Rq2kgj7a8e,https://open.spotify.com/playlist/0TcXdt4sbITbwCwwFbKYyd?si=f0ed1d67e673464a,The Sound of Reggae,Marcus Garvey,53,Burning Spear,Marcus Garvey,https://i.scdn.co/image/ab67616d0000b27300b80c40d25750a320d21263,"['dub', 'reggae', 'roots reggae', 'ska']",48,0.7,0.473,7,-9.893,0,0.0687,0.129,0.000891,0.0452,0.578,91.558,207000,4,reggae
4SNxXAQ8QMlxLhYVX7nuoE,https://open.spotify.com/playlist/0TcXdt4sbITbwCwwFbKYyd?si=f0ed1d67e673464a,The Sound of Reggae,Tenement Yard,56,Jacob Miller,Song Book: Chapter a Day,https://i.scdn.co/image/ab67616d0000b273554902198bd315dfe575fd58,"['dub', 'lovers rock', 'reggae', 'roots reggae', 'ska']",46,0.888,0.521,4,-6.845,1,0.306,0.229,0.0,0.0794,0.962,143.879,154333,4,reggae
7vp89zcbYncoBCbX5HA3tZ,https://open.spotify.com/playlist/0TcXdt4sbITbwCwwFbKYyd?si=f0ed1d67e673464a,The Sound of Reggae,Dream Land,58,Bunny Wailer,Blackheart Man,https://i.scdn.co/image/ab67616d0000b273347ff5e8111a9f922840daf4,"['dub', 'lovers rock', 'reggae', 'roots reggae']",50,0.782,0.43,1,-14.285,1,0.363,0.175,0.000294,0.0603,0.89,72.339,166773,4,reggae
