,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
3qiyyUfYe7CRYLucrPmulD,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Baba O'Riley,76,The Who,Who's Next (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273fe24dcd263c08c6dd84b6e8c,"['album rock', 'art rock', 'blues rock', 'british invasion', 'classic rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock']",68,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,300400,4,rock
7N3PAbqfTjSEU1edb2tY8j,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Jump - 2015 Remaster,78,Van Halen,1984 (Remastered),https://i.scdn.co/image/ab67616d0000b273b414c63fb435b622238c15ed,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",71,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,241600,4,rock
1QEEqeFIZktqIpPI4jSVSF,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,More Than a Feeling,79,Boston,Boston,https://i.scdn.co/image/ab67616d0000b27390ef9760e57fafd8f966d17a,"['album rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",65,0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133,4,rock
5CQ30WqJwcep0pYcV4AMNc,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Stairway to Heaven - Remaster,79,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69,"['album rock', 'classic rock', 'hard rock', 'rock']",76,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,4,rock
3dmqIB2Qxe2XZobw9gXxJ6,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Mary Jane's Last Dance,74,Tom Petty and the Heartbreakers,Greatest Hits,https://i.scdn.co/image/ab67616d0000b2730c3a1b46b6b846dfdfbc6a7d,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'pop rock', 'psychedelic rock', 'rock', 'soft rock']",67,0.464,0.655,7,-9.058,0,0.0608,0.0272,1.34e-06,0.328,0.531,169.515,273600,4,rock
43DeSV93pJPT4lCZaWZ6b1,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,The Boys Are Back In Town,75,Thin Lizzy,Jailbreak (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273e8f69ab903901064b1f19249,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'irish rock', 'metal', 'rock']",63,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,266720,4,rock
05NYcsjJwOYq4jIiKPVj9p,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Hard To Handle,73,The Black Crowes,Shake Your Money Maker,https://i.scdn.co/image/ab67616d0000b273a4d2cb95d3ea17f773db23ee,"['album rock', 'alternative rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'jam band', 'pop rock', 'rock', 'southern rock']",61,0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,188067,4,rock
5QTxFnGygVM4jFQiBovmRo,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,(Don't Fear) The Reaper,75,Blue Öyster Cult,Agents Of Fortune,https://i.scdn.co/image/ab67616d0000b2733ac318439ae56ce048d7bf5d,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock']",62,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466,308120,4,rock
2lFFiNm0XtgJ6wkdncTB4k,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Drive - 2017 Remaster,69,The Cars,Heartbeat City (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273f607580794ed5b352884fd47,"['album rock', 'art rock', 'classic rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'power pop', 'rock', 'soft rock']",65,0.261,0.703,6,-7.871,1,0.0414,0.115,0.00078,0.102,0.405,83.495,234332,4,rock
7e89621JPkKaeDSTQ3avtg,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Sweet Home Alabama,81,Lynyrd Skynyrd,Second Helping (Expanded Edition),https://i.scdn.co/image/ab67616d0000b27317e1907923e91181f38290ac,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']",72,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4,rock
2K2M0TcglCRLLpFOzKeFZA,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Sunshine Of Your Love,70,Cream,Disraeli Gears (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273db1fb2dede292908e86d94d7,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'roots rock', 'supergroup']",61,0.683,0.594,2,-8.289,1,0.0347,0.385,8.61e-05,0.121,0.734,115.099,250400,4,rock
1bp2IO61zbQrbWNmKKxg3f,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,The Joker,74,Steve Miller Band,The Joker,https://i.scdn.co/image/ab67616d0000b273375445cc7a2aedff11361b51,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock']",66,0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293,264504,4,rock
2ccUQnjjNWT0rsNnsBpsCA,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Surrender,69,Cheap Trick,Heaven Tonight,https://i.scdn.co/image/ab67616d0000b27361e605b2786f724b37f0176d,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'power pop', 'rock', 'soft rock']",62,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77e-06,0.659,0.869,133.849,253733,4,rock
3dPQuX8Gs42Y7b454ybpMR,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Seven Nation Army,83,The White Stripes,Elephant,https://i.scdn.co/image/ab67616d0000b273a69f71a8794e2d867a52f98f,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",70,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,232107,4,rock
5XcZRgJv3zMhTqCyESjQrF,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Poison,73,Alice Cooper,Trash,https://i.scdn.co/image/ab67616d0000b2735d149c05419231f335e35bb7,"['album rock', 'classic rock', 'detroit rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']",63,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698,270080,4,rock
70YvYr2hGlS01bKRIho1HM,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,La Grange - 2005 Remaster,76,ZZ Top,Tres Hombres (Expanded 2006 Remaster),https://i.scdn.co/image/ab67616d0000b2730fe2ec86a0ec561ef2e2aae1,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'rock']",68,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,230480,4,rock
7fURZRPkB2S70sYR1naKTK,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Black Hole Sun,50,Soundgarden,Superunknown,https://i.scdn.co/image/ab67616d0000b273a54d51e8578d020ef3dd7113,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']",66,0.361,0.728,6,-8.519,1,0.0368,0.000291,0.000112,0.0701,0.155,105.768,318000,4,rock
3QZ7uX97s82HFYSmQUAN1D,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Tom Sawyer,73,Rush,Moving Pictures (2011 Remaster),https://i.scdn.co/image/ab67616d0000b27372833c1ae3343cbfb4617073,"['album rock', 'art rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'rock']",66,0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,276880,4,rock
1jzDzZWeSDBg5fhNc3tczV,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Paranoid,79,Black Sabbath,Paranoid (2009 Remastered Version),https://i.scdn.co/image/ab67616d0000b2739683e5d7361bb80bfb00f46d,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",72,0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,168440,4,rock
5tVA6TkbaAH9QMITTQRrNv,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Free Fallin',77,Tom Petty,Full Moon Fever,https://i.scdn.co/image/ab67616d0000b27336572e6726714544f5bed456,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock']",68,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,256000,4,rock
3qLZ866ZfaK0B0R5FIqXLG,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,She Sells Sanctuary,71,The Cult,Love,https://i.scdn.co/image/ab67616d0000b273bafa4476c5adb4741beb80fb,"['album rock', 'alternative rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",60,0.55,0.765,7,-8.684,1,0.0287,4.76e-06,0.873,0.132,0.419,139.46,252533,4,rock
7ACxUo21jtTHzy7ZEV56vU,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Crazy Train,78,Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Edition),https://i.scdn.co/image/ab67616d0000b273475ca6e5c1ce0ef70740c3c6,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'rock']",71,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,293183,4,rock
2aoo2jlRnM3A0NyLQqMN2f,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,All Along the Watchtower,76,Jimi Hendrix,Electric Ladyland,https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",70,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800,4,rock
0HOrDVS349XFcpCYsO2hAP,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,You Ain't Seen Nothing Yet,72,Bachman-Turner Overdrive,Not Fragile,https://i.scdn.co/image/ab67616d0000b273d109a35f286685993cf03050,"['album rock', 'art rock', 'blues rock', 'classic canadian rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",60,0.475,0.439,11,-15.039,0,0.0427,0.000146,0.000277,0.223,0.76,118.392,234867,4,rock
5MMnwYs0hIxkENRsbkWJ2G,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Smoke On The Water - Remastered 2012,73,Deep Purple,Machine Head (Remastered),https://i.scdn.co/image/ab67616d0000b273a729c9c3dec04b99d889c66f,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock']",66,0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,340742,4,rock
4KfSdst7rW39C0sfhArdrz,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Barracuda,73,Heart,Little Queen,https://i.scdn.co/image/ab67616d0000b2739cef5b2e4c9104c678973f44,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock']",66,0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,261933,4,rock
3KPwt1LBpt1jVSHz8GXERo,https://open.spotify.com/playlist/7dowgSWOmvdpwNkGFMUs6e?si=58a461b023504732,The Sound of Rock,Feel like Makin' Love - 2015 Remaster,67,Bad Company,Straight Shooter,https://i.scdn.co/image/ab67616d0000b2739baa3a2390773faeca065aa8,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",59,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,313840,4,rock
