,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
41QTliytEPoX2vkuMT0fKd,https://open.spotify.com/playlist/2qlBFnzL6CPxqRwenjrX53?si=2035d4cb12294f30,The Sound of Synthwave,Light Years,45,Droid Bishop,Light Years,https://i.scdn.co/image/ab67616d0000b2736d0c152e509aefdeb624457c,"['chillsynth', 'spacewave', 'synthwave']",39,0.502,0.922,11,-5.072,0,0.047,0.0884,0.866,0.141,0.357,128.025,256406,4,synthwave
5oAAZFOGGUxNPibtnWu7Ta,https://open.spotify.com/playlist/2qlBFnzL6CPxqRwenjrX53?si=2035d4cb12294f30,The Sound of Synthwave,Anywhere,31,Jordan F,Memory Collision,https://i.scdn.co/image/ab67616d0000b27398fd5b75c57d568f54ea89c0,"['chillsynth', 'synthwave']",30,0.556,0.737,2,-7.976,1,0.0359,0.353,0.0717,0.103,0.475,102.017,215424,4,synthwave
2r4DcuJm0rAe5VCbvhsts0,https://open.spotify.com/playlist/2qlBFnzL6CPxqRwenjrX53?si=2035d4cb12294f30,The Sound of Synthwave,A Dystopian Fixation,38,SelloRekt / LA Dreams,Into the Light,https://i.scdn.co/image/ab67616d0000b27342a9dd6c6b5331ed90c069dd,"['chillsynth', 'synthwave']",33,0.423,0.741,1,-11.119,1,0.0373,0.00154,0.854,0.108,0.123,194.021,299381,4,synthwave
5839pJyWGLJ2Z9vzTDKG0L,https://open.spotify.com/playlist/2qlBFnzL6CPxqRwenjrX53?si=2035d4cb12294f30,The Sound of Synthwave,West Side Lane,40,Lost Years,Black Waves,https://i.scdn.co/image/ab67616d0000b27316dbdcff2f671b606cdf48d3,['synthwave'],34,0.683,0.919,9,-4.951,0,0.0467,0.0109,0.915,0.0526,0.187,120.008,229216,4,synthwave
2rVsrqkjAdxGNXCyhBqUYR,https://open.spotify.com/playlist/2qlBFnzL6CPxqRwenjrX53?si=2035d4cb12294f30,The Sound of Synthwave,Italian gigolo,39,Vincenzo Salvia,B-side,https://i.scdn.co/image/ab67616d0000b27318d0fe74e872f9a3f69d7fc7,"['nightrun', 'synthwave']",29,0.582,0.717,11,-6.536,0,0.0348,0.654,0.896,0.106,0.923,171.968,186070,4,synthwave
7a9J8mvVcq1ZnqKkLbFZLN,https://open.spotify.com/playlist/2qlBFnzL6CPxqRwenjrX53?si=2035d4cb12294f30,The Sound of Synthwave,Them or Us,37,Highway Superstar,Take My Time,https://i.scdn.co/image/ab67616d0000b2737af148489aaffcacb3ea0a34,['synthwave'],29,0.657,0.822,10,-8.603,0,0.0453,0.0444,0.67,0.42,0.388,114.027,174342,4,synthwave
3bVCyM5RtJ2MSDB6XHdWOF,https://open.spotify.com/playlist/2qlBFnzL6CPxqRwenjrX53?si=2035d4cb12294f30,The Sound of Synthwave,Sex in a Dream,39,Android Automatic,Mojave,https://i.scdn.co/image/ab67616d0000b273bc5eff57fbfde7ebb56ab1c6,"['chillsynth', 'synthwave']",27,0.629,0.572,11,-9.018,0,0.0298,0.131,0.927,0.168,0.119,98.009,230807,4,synthwave
29J0OTJNBsJlbLGjVagx6I,https://open.spotify.com/playlist/2qlBFnzL6CPxqRwenjrX53?si=2035d4cb12294f30,The Sound of Synthwave,Fahrenheit,41,Neon Nox,Syndicate Shadow,https://i.scdn.co/image/ab67616d0000b2739af5cd88b83c668bf307201b,"['chillsynth', 'swedish synth', 'synthwave']",34,0.546,0.85,10,-6.88,0,0.0373,0.0853,0.711,0.0964,0.199,104.996,323000,4,synthwave
02fSxVKwfRglhkXt03wVJg,https://open.spotify.com/playlist/2qlBFnzL6CPxqRwenjrX53?si=2035d4cb12294f30,The Sound of Synthwave,Outrun This!,44,Arcade High,Pixel Passion,https://i.scdn.co/image/ab67616d0000b273a732c6e88e7f42d867f0ec61,['synthwave'],34,0.395,0.817,9,-8.446,0,0.0392,0.000159,0.835,0.392,0.279,122.012,249836,3,synthwave
14aGkYqaFAlNvff53p4Sn5,https://open.spotify.com/playlist/2qlBFnzL6CPxqRwenjrX53?si=2035d4cb12294f30,The Sound of Synthwave,City of Ghosts,36,Crockett,City of Ghosts,https://i.scdn.co/image/ab67616d0000b2739eae563949de3ef34cb85db1,"['chillsynth', 'synthwave']",27,0.578,0.582,10,-12.1,0,0.0314,0.0569,0.885,0.138,0.237,104.984,297143,4,synthwave
