,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0s2Zkseo3fQldECdroC5wt,https://open.spotify.com/playlist/50kZecUV5pY2SuJv3Ie0vy?si=4fbcc77c31cc4b21,The Sound of Techno,Onslaught - FJAAK Remix,39,Robert Hood,FJAAK 002,https://i.scdn.co/image/ab67616d0000b273da10e3dcab274bd689638433,"['acid house', 'chicago house', 'dark disco', 'deep house', 'detroit techno', 'dub techno', 'electro', 'float house', 'microhouse', 'minimal dub', 'minimal techno', 'outsider house', 'tech house', 'techno']",34,0.703,0.949,11,-8.06,1,0.0533,0.00294,0.895,0.109,0.262,132.0,455419,4,techno
46ddej1ibGIgs58H0wakoK,https://open.spotify.com/playlist/50kZecUV5pY2SuJv3Ie0vy?si=4fbcc77c31cc4b21,The Sound of Techno,Energy Flash,42,Joey Beltram,Classics,https://i.scdn.co/image/ab67616d0000b27385443420d191eae4382ecd79,"['acid house', 'classic house', 'hardcore techno', 'techno']",30,0.72,0.583,8,-8.333,1,0.0409,0.000766,0.649,0.354,0.403,122.825,350813,4,techno
0ISxyAhfop0MoMeAUw72RN,https://open.spotify.com/playlist/50kZecUV5pY2SuJv3Ie0vy?si=4fbcc77c31cc4b21,The Sound of Techno,The Bells,44,Jeff Mills,SIGHT SOUND AND SPACE,https://i.scdn.co/image/ab67616d0000b2736cfa6ee1d1b15dcf2d021855,"['afrofuturism', 'detroit techno', 'minimal techno', 'techno']",32,0.616,0.995,7,-3.647,1,0.114,0.000372,0.952,0.112,0.772,137.514,285413,4,techno
06fru2HSlNlVwTeL9kzat0,https://open.spotify.com/playlist/50kZecUV5pY2SuJv3Ie0vy?si=4fbcc77c31cc4b21,The Sound of Techno,Desert Races,30,Planetary Assault Systems,Deep Heet Vol. 4,https://i.scdn.co/image/ab67616d0000b273a3b770679d2f6c1f979154ae,"['acid house', 'float house', 'minimal dub', 'minimal techno', 'outsider house', 'tech house', 'techno']",27,0.72,0.96,2,-11.021,1,0.0422,0.456,0.862,0.612,0.0648,130.005,457950,5,techno
6Au8dwqW17E3rykzOtXzqn,https://open.spotify.com/playlist/50kZecUV5pY2SuJv3Ie0vy?si=4fbcc77c31cc4b21,The Sound of Techno,Tedra,31,Kenny Larkin,Azimuth,https://i.scdn.co/image/ab67616d0000b273d4e36df6c9a77f7efde76e64,"['acid house', 'detroit techno', 'electro', 'intelligent dance music', 'microhouse', 'minimal techno', 'techno']",24,0.466,0.558,6,-15.972,1,0.0464,0.00765,0.728,0.101,0.0357,109.986,341107,4,techno
2TUSbKRL9amtnbH5bwYnt0,https://open.spotify.com/playlist/50kZecUV5pY2SuJv3Ie0vy?si=4fbcc77c31cc4b21,The Sound of Techno,Track Ten,36,Juan Atkins,Back To Basics (Part 1),https://i.scdn.co/image/ab67616d0000b2730c9e43519f9faf863542f18a,"['detroit techno', 'dub techno', 'electro', 'microhouse', 'minimal techno', 'techno']",26,0.552,0.767,0,-14.412,0,0.0343,0.00909,0.82,0.118,0.617,131.242,361400,4,techno
6e0EKOW3cTsa7Wd100N43s,https://open.spotify.com/playlist/50kZecUV5pY2SuJv3Ie0vy?si=4fbcc77c31cc4b21,The Sound of Techno,Timeline,28,Underground Resistance,Straight Up Detroit Shit 2013,https://i.scdn.co/image/ab67616d0000b2730b0742675a215073e23873f0,"['detroit house', 'detroit techno', 'electro', 'minimal techno', 'techno']",24,0.607,0.947,10,-5.233,0,0.12,0.000721,0.937,0.0659,0.923,151.259,145853,4,techno
2T6rMXWYc934IWMudx1H1X,https://open.spotify.com/playlist/50kZecUV5pY2SuJv3Ie0vy?si=4fbcc77c31cc4b21,The Sound of Techno,Jupiter Jazz,39,Galaxy 2 Galaxy,Galaxy 2 Galaxy: A High Tech Jazz Compilation,https://i.scdn.co/image/ab67616d0000b273bfb572c775f90a8c96eda02c,"['acid house', 'chicago house', 'classic house', 'detroit house', 'detroit techno', 'electro', 'livetronica', 'techno']",27,0.645,0.877,7,-10.616,1,0.0456,0.00657,0.858,0.127,0.473,124.697,270747,4,techno
5vcCF1Q328JhaZj4MS6XqO,https://open.spotify.com/playlist/50kZecUV5pY2SuJv3Ie0vy?si=4fbcc77c31cc4b21,The Sound of Techno,Andreaen Sand Dunes,40,Drexciya,Neptune's Lair,https://i.scdn.co/image/ab67616d0000b27303cf0db4e8ce737b6c98d5eb,"['afrofuturism', 'detroit techno', 'drill and bass', 'electro', 'float house', 'intelligent dance music', 'microhouse', 'minimal techno', 'outsider house', 'techno']",32,0.649,0.616,6,-8.965,0,0.0626,0.00218,0.747,0.116,0.495,132.829,376680,4,techno
3829oHimRwuUHePcD2Jj7S,https://open.spotify.com/playlist/50kZecUV5pY2SuJv3Ie0vy?si=4fbcc77c31cc4b21,The Sound of Techno,Blackwater - 128 full strings vocal mix,52,Octave One,One Black Water (feat. Ann Saunderson) [Full Strings Vocal Mix],https://i.scdn.co/image/ab67616d0000b273e9bb9fc33ae090607d913f95,"['detroit house', 'detroit techno', 'techno']",40,0.763,0.81,5,-8.943,0,0.0545,0.264,0.000563,0.0823,0.496,128.24,518946,4,techno
