,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6eYjUe4LXsV5u76ymGObqS,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Synaesthesia - En-Motion Remix,43,The Thrillseekers,Synaesthesia,https://i.scdn.co/image/ab67616d0000b273a48d351ee18524cea54d5086,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",44,0.562,0.968,7,-3.999,0,0.0308,0.00292,0.908,0.0876,0.463,139.999,241520,4,trance
1Tz10EYl3RFRItgJU8bJWu,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Seven Cities - Solarstone's Atlantis Mix,45,Solarstone,Seven Cities,https://i.scdn.co/image/ab67616d0000b273ddfed6abf0d09c1a394cc013,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",45,0.477,0.931,0,-7.821,1,0.0363,0.0084,0.959,0.245,0.333,135.129,211333,4,trance
294bZQoJEueD2ys3wrNDmI,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Airwave - Radio Vocal Edit,52,Rank 1,Airwave,https://i.scdn.co/image/ab67616d0000b273a0c4566415f2bcf0828e8736,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance']",47,0.511,0.793,2,-11.87,0,0.0285,0.000563,0.826,0.123,0.233,136.067,179800,4,trance
6N2pJ8VdWc3DyoahZ2GoBW,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Find Yourself,50,John O'Callaghan,Armada Collected: John O'Callaghan,https://i.scdn.co/image/ab67616d0000b27340cd4f34906c7e0f5c0be806,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",45,0.567,0.599,7,-5.616,1,0.0305,0.000704,0.000315,0.168,0.366,134.98,151621,4,trance
0sYtfrqzkX7H75NoykUOUt,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Hidden Sun of Serenity,44,Alex M.O.R.P.H.,Hidden Sun of Serenity,https://i.scdn.co/image/ab67616d0000b2737d9e577932a19128bcd54fe3,"['german techno', 'german trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",45,0.372,0.974,3,-7.0,0,0.0418,0.00103,0.297,0.414,0.285,136.01,202941,4,trance
5uxfBJfTKFbwYI7Mx7YwnF,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Follow Me - Radio Edit,34,Lange,Lost In Trance,https://i.scdn.co/image/ab67616d0000b273e5b2eddd6ae4edcacb6d4921,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",44,0.458,0.989,0,-4.337,1,0.0704,0.0605,0.271,0.0673,0.36,139.814,223420,4,trance
64AwAe6HpIEGFjy0KoGsmH,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,The Whiteroom,46,Andy Moor,The Whiteroom,https://i.scdn.co/image/ab67616d0000b27344e388820ce160705b6277cb,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",44,0.467,0.941,1,-6.992,1,0.0359,0.00276,0.886,0.453,0.172,134.968,233849,4,trance
5zVvXq9yXpRFPv1yPvUItO,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Return from the Sand Sea,42,Markus Schulz,Return from the Sand Sea,https://i.scdn.co/image/ab67616d0000b2730e83fb6cfe2a611f90db1cae,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",49,0.567,0.96,1,-9.777,1,0.0573,0.0269,0.854,0.114,0.0562,127.997,213750,4,trance
0HkYWF3O2mW56RU67gEqyG,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Made of Stone,46,Richard Durand,Made of Stone,https://i.scdn.co/image/ab67616d0000b27397b9282cab4d4cdc7dbc2b42,"['dutch trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",46,0.525,0.937,8,-5.651,1,0.0367,0.0259,0.447,0.415,0.094,135.006,219556,4,trance
0cCj6YMtWvCPi3IrVexrIT,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Beautiful Things (Radio Edit),29,Andain,Mixed For Feet Vol. 1,https://i.scdn.co/image/ab67616d0000b273577c5e7b7839cd930f4c4d14,"['progressive house', 'progressive trance', 'trance', 'uplifting trance', 'vocal trance']",43,0.698,0.638,4,-8.918,0,0.0261,0.00675,0.352,0.256,0.616,130.976,199373,4,trance
72NPZCVQyyNUOizSs9JxmZ,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Lost,40,Sunlounger,Armada Collected: Roger Shah presents Sunlounger (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273ad75ee1177f33947af4fbd9c,"['progressive house', 'trance', 'uplifting trance']",45,0.635,0.532,6,-9.02,0,0.0834,0.128,8.15e-05,0.341,0.436,129.946,206760,4,trance
3NQ2JBHK5OAzblu8z5KUVj,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Wounded,57,Ferry Corsten,Wounded,https://i.scdn.co/image/ab67616d0000b2736b331f54a37a48f1344e852f,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",53,0.702,0.731,10,-5.193,0,0.0556,0.0148,0.00022,0.249,0.541,125.034,191719,4,trance
5U5arwh2DQE9tviiUGFaDX,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Fall For You,37,Simon Patterson,Fall For You,https://i.scdn.co/image/ab67616d0000b273e106d2f1cfb26ab9c6b59461,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']",37,0.604,0.934,6,-5.489,1,0.0377,0.0175,0.221,0.255,0.247,134.017,206845,4,trance
1dVcjaRpRVWHdomhO3Rc2p,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,See The Sun - Aurosonic Remix,46,Matt Darey,Matt Darey Mini Mix 1,https://i.scdn.co/image/ab67616d0000b2730e4fdc8852b0d01c48978c10,"['deep uplifting trance', 'progressive house', 'trance', 'uplifting trance']",41,0.491,0.866,10,-6.541,1,0.0636,0.122,0.00068,0.937,0.616,127.98,207502,3,trance
