,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
03tqyYWC9Um2ZqU0ZN849H,https://open.spotify.com/playlist/60SHtDyagDjPnUpC7x1UD9?si=a3e0be00e5854c8a,The Sound of Trap,No Hands (feat. Roscoe Dash & Wale),76,Waka Flocka Flame,Flockaveli,https://i.scdn.co/image/fade577145599daff924bb7b28386a84f67bd1db,"['atl hip hop', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",65,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,263773,4,trap
4knL4iPxPOZjQzTUlELGSY,https://open.spotify.com/playlist/60SHtDyagDjPnUpC7x1UD9?si=a3e0be00e5854c8a,The Sound of Trap,Rake It Up (feat. Nicki Minaj),67,Yo Gotti,I Still Am,https://i.scdn.co/image/ab67616d0000b2732cc72b6f465812679b803638,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",68,0.91,0.444,1,-8.126,0,0.344,0.022,0.0,0.137,0.53,149.953,276333,4,trap
4T0ScSPdQKmGvruK7pavNP,https://open.spotify.com/playlist/60SHtDyagDjPnUpC7x1UD9?si=a3e0be00e5854c8a,The Sound of Trap,"Flex (Ooh, Ooh, Ooh)",64,Rich Homie Quan,"Flex (Ooh, Ooh, Ooh) - Single",https://i.scdn.co/image/ab67616d0000b273c62a27893c8a67923c852ab1,"['atl hip hop', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",64,0.726,0.607,2,-7.68,1,0.0498,0.0389,0.0,0.19,0.891,81.997,176744,4,trap
7zBQRGpYImAdIZc97FNj3V,https://open.spotify.com/playlist/60SHtDyagDjPnUpC7x1UD9?si=a3e0be00e5854c8a,The Sound of Trap,"Shell Shocked (feat. Kill the Noise & Madsonik) - From ""Teenage Mutant Ninja Turtles""",65,Juicy J,"Shell Shocked (feat. Kill the Noise & Madsonik) [From ""Teenage Mutant Ninja Turtles""]",https://i.scdn.co/image/ab67616d0000b273abe98b7f16e9daf02961a180,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",73,0.596,0.815,6,-5.668,0,0.0755,0.0111,0.0,0.174,0.459,165.015,206567,4,trap
5yJzkdwbrQCwua2dIC3K6A,https://open.spotify.com/playlist/60SHtDyagDjPnUpC7x1UD9?si=a3e0be00e5854c8a,The Sound of Trap,White Girl,68,Shy Glizzy,Young Jefe,https://i.scdn.co/image/ab67616d0000b273b567db041ee1a619ebe1ff04,"['dmv rap', 'drill', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']",61,0.698,0.793,1,-5.332,0,0.105,0.123,0.0,0.0805,0.454,129.948,236760,4,trap
2jCQXY0zjBdSpp12egn0Wo,https://open.spotify.com/playlist/60SHtDyagDjPnUpC7x1UD9?si=a3e0be00e5854c8a,The Sound of Trap,I Ain’t Gon Hold Ya,61,DJ Drama,I Ain’t Gon Hold Ya,https://i.scdn.co/image/ab67616d0000b2732af3d3e80cd86b0b352a74bf,"['dirty south rap', 'gangster rap', 'hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",58,0.857,0.839,1,-3.585,1,0.284,0.0275,0.0,0.179,0.637,110.008,139370,4,trap
2G1tXoGBaEMJ7FKGnkf6ud,https://open.spotify.com/playlist/60SHtDyagDjPnUpC7x1UD9?si=a3e0be00e5854c8a,The Sound of Trap,Wake Up in the Sky,70,Gucci Mane,Evil Genius,https://i.scdn.co/image/ab67616d0000b2736e4366b5308fd1c5462eb3ab,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",77,0.8,0.578,4,-5.144,0,0.0485,0.00381,0.0,0.367,0.367,143.01,203161,4,trap
2H6kzHTBTvLp2eHw9DMjYm,https://open.spotify.com/playlist/60SHtDyagDjPnUpC7x1UD9?si=a3e0be00e5854c8a,The Sound of Trap,"Chase Down (feat. Lil Bean, Zaybang, Lil Yee & KxNG LLAMA)",58,Zaytoven,Zaytoven Presents: Fo15,https://i.scdn.co/image/ab67616d0000b273b30a170b9f46f01ba3b3b06d,"['atl hip hop', 'atl trap', 'dirty south rap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']",54,0.933,0.577,2,-7.495,1,0.347,0.0249,0.0,0.123,0.355,97.983,159175,4,trap
6H0AwSQ20mo62jGlPGB8S6,https://open.spotify.com/playlist/60SHtDyagDjPnUpC7x1UD9?si=a3e0be00e5854c8a,The Sound of Trap,It's A Vibe,69,2 Chainz,Pretty Girls Like Trap Music,https://i.scdn.co/image/ab67616d0000b273c0c05243a846dda6c84607f9,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76,0.822,0.502,7,-7.38,1,0.148,0.0312,0.000887,0.114,0.525,73.003,210200,4,trap
0HFrCOmhCYXlv4NdEwRAuj,https://open.spotify.com/playlist/60SHtDyagDjPnUpC7x1UD9?si=a3e0be00e5854c8a,The Sound of Trap,"U.O.E.N.O. (feat. Rick Ross, Future)",59,Rocko,Gift Of Gab 2 (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2738d63ee9c869c64607624d1a3,"['atl hip hop', 'atl trap', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",48,0.422,0.641,10,-4.947,0,0.323,0.422,0.0,0.317,0.654,187.027,260276,3,trap
