,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6ZWoN5lDoFcTHJAMsmd9iv,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4p5Ekx?si=aab0930653354213,This Is Disco,Levottomat tuulet,39,DISCO,Musta sydän,https://i.scdn.co/image/ab67616d0000b27380fd59af973bfbc0f6c92cb8,[],30,0.686,0.536,6,-7.592,0,0.0295,0.198,0.00315,0.0859,0.561,143.96,235253,4,disco
3cOf3rYY2dxtbWrlLJZdWH,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4p5Ekx?si=aab0930653354213,This Is Disco,Kauniimpi ilman sua (feat. Irina),37,DISCO,Kauniimpi ilman sua (feat. Irina),https://i.scdn.co/image/ab67616d0000b273af4682cb6989dbe04eb06b82,[],30,0.633,0.797,11,-7.003,0,0.0307,0.00519,0.000241,0.22,0.509,99.962,218679,4,disco
2kCff2K2oL8UPDs9SfUjok,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4p5Ekx?si=aab0930653354213,This Is Disco,Ilkeitä asioita,27,DISCO,Ilkeitä asioita,https://i.scdn.co/image/ab67616d0000b27389104802c5d5961525730f8f,[],30,0.475,0.9,1,-6.306,0,0.0355,0.0159,1.1e-05,0.086,0.684,198.002,225360,4,disco
64cSexKj5V7EqahJ2HzByv,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4p5Ekx?si=aab0930653354213,This Is Disco,Jos tänään kuolen (feat. DISCO),27,Katri Ylander,Jos tänään kuolen (feat. DISCO),https://i.scdn.co/image/ab67616d0000b273596ad87161f0e1d083d9b357,"['finnish dance pop', 'finnish pop', 'iskelma', 'suomi rock']",35,0.643,0.697,0,-7.036,1,0.0242,0.00143,5.66e-05,0.114,0.706,103.988,189557,4,disco
2aH4fMB0qYezyRTvATanee,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4p5Ekx?si=aab0930653354213,This Is Disco,Ketä sinä odotat,26,DISCO,Musta sydän,https://i.scdn.co/image/ab67616d0000b27380fd59af973bfbc0f6c92cb8,[],30,0.752,0.707,0,-5.499,1,0.0394,0.0212,5e-05,0.348,0.881,115.999,256040,4,disco
0WMbJ9qBFHkakr4IcBt7FX,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4p5Ekx?si=aab0930653354213,This Is Disco,Aurinko laski,23,DISCO,"Vihaa, rakkautta vai jotain muuta",https://i.scdn.co/image/ab67616d0000b2734c491a43bbb5f055c0fa6ffe,[],30,0.525,0.911,9,-4.256,0,0.0334,9.61e-05,0.111,0.413,0.759,139.012,220173,4,disco
3QHQpYXZkhDlHUcg4rdJdr,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4p5Ekx?si=aab0930653354213,This Is Disco,Hei älä luule,19,DISCO,Ilkeitä asioita,https://i.scdn.co/image/ab67616d0000b27389104802c5d5961525730f8f,[],30,0.625,0.877,8,-9.242,1,0.0294,0.0433,1.96e-05,0.138,0.719,102.136,242760,4,disco
27nitHQZXtr5Y7gRtp2jmE,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4p5Ekx?si=aab0930653354213,This Is Disco,Muualla palaa,27,DISCO,Muualla palaa,https://i.scdn.co/image/ab67616d0000b273971fecdf91a42c17e7f0d1e3,[],30,0.617,0.781,10,-7.051,0,0.0465,0.00116,0.000494,0.0929,0.479,90.485,206653,4,disco
53Vp2N2nlnYm4kvVaOIPlP,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4p5Ekx?si=aab0930653354213,This Is Disco,I Glove Thy Flob (feat. Disco),23,C418,One,https://i.scdn.co/image/ab67616d0000b273b71f70ce691e21b806b9edd6,"['dream smp', 'minecraft']",68,0.651,0.44,6,-11.38,1,0.27,0.925,0.909,0.0857,0.317,74.968,107989,4,disco
4ODxyBkZU62N5hmoqwvYNb,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4p5Ekx?si=aab0930653354213,This Is Disco,Mr. Weedman,20,Los Marijuanos,The Smoke Out,https://i.scdn.co/image/ab67616d0000b273a916f459a38132c70eca91d9,['mexican hip hop'],14,0.954,0.543,1,-9.438,1,0.107,0.42,0.0,0.659,0.846,107.597,70720,4,disco
2DSJk6yqIhXuo1SbTcrwbR,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4p5Ekx?si=aab0930653354213,This Is Disco,Tiedän että me palataan,13,DISCO,Musta sydän,https://i.scdn.co/image/ab67616d0000b27380fd59af973bfbc0f6c92cb8,[],30,0.655,0.706,1,-5.37,0,0.0229,0.00185,0.000166,0.0627,0.749,96.009,241200,4,disco
