,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1ckJ9dcd6zI0dGzS3lzJ6f,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0aZrVf?si=dd8e69aa00484c7b,This is Positive Reggae Vibrations,White Sand,6,Positive Reggae Vibrations,Reggea Smoke Jazz: Reach for New Music Sensations,https://i.scdn.co/image/ab67616d0000b273b925badfb43c8cc24bb11bc3,[],10,0.596,0.466,9,-9.902,0,0.0293,0.0784,0.0112,0.586,0.353,95.933,208966,4,reggae
1TtzIPDLSu5BqX4eJuJJCc,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0aZrVf?si=dd8e69aa00484c7b,This is Positive Reggae Vibrations,Stay Here & Now,3,Positive Reggae Vibrations,Positive Day with Reggae Jazz,https://i.scdn.co/image/ab67616d0000b273671551ad1f8ac1b2d059d64a,[],10,0.667,0.423,5,-12.815,0,0.0281,0.0766,0.906,0.369,0.869,102.405,244517,4,reggae
7G2EkICdBvXIfgoeIwIqIH,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0aZrVf?si=dd8e69aa00484c7b,This is Positive Reggae Vibrations,Smile on Face,5,Positive Reggae Vibrations,Reggae Vibrations - Best 2018 Hits (Positive Jamaican Instrumental Music),https://i.scdn.co/image/ab67616d0000b273be37dce5e1031946dbe25970,[],10,0.805,0.376,11,-16.613,1,0.0877,0.231,0.809,0.112,0.915,97.461,179231,4,reggae
0PdIUdBZULczcgQ9uOKk90,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0aZrVf?si=dd8e69aa00484c7b,This is Positive Reggae Vibrations,Reason to Smily,3,Positive Reggae Vibrations,"Ragtime Freestyle Beats: Positive Vibes, Reggae Instrumentals",https://i.scdn.co/image/ab67616d0000b273d313c3a6980d7391b268db4c,[],10,0.677,0.613,8,-10.157,0,0.0269,0.025,0.391,0.093,0.58,96.807,207180,4,reggae
5MWw8O94urwcg0dKvXLqF2,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0aZrVf?si=dd8e69aa00484c7b,This is Positive Reggae Vibrations,Restless Nights,3,Positive Reggae Vibrations,Reggea Smoke Jazz: Reach for New Music Sensations,https://i.scdn.co/image/ab67616d0000b273b925badfb43c8cc24bb11bc3,[],10,0.673,0.434,7,-8.511,0,0.0256,0.288,0.643,0.205,0.386,75.489,217198,4,reggae
0lVtnWqkMaXkRS3IuAI4S5,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0aZrVf?si=dd8e69aa00484c7b,This is Positive Reggae Vibrations,Good Reggae,2,Positive Reggae Vibrations,Positive Day with Reggae Jazz,https://i.scdn.co/image/ab67616d0000b273671551ad1f8ac1b2d059d64a,[],10,0.655,0.608,1,-11.271,1,0.0278,0.0197,0.339,0.141,0.634,105.028,238719,4,reggae
05axtmieN5X1HfIP1rUdfG,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0aZrVf?si=dd8e69aa00484c7b,This is Positive Reggae Vibrations,Reggae Vibrations,7,Positive Reggae Vibrations,Reggae Vibrations - Best 2018 Hits (Positive Jamaican Instrumental Music),https://i.scdn.co/image/ab67616d0000b273be37dce5e1031946dbe25970,[],10,0.85,0.247,11,-17.796,1,0.0886,0.143,0.803,0.093,0.672,68.229,212989,4,reggae
4P9alsDloa42x31rGGM7Es,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0aZrVf?si=dd8e69aa00484c7b,This is Positive Reggae Vibrations,Hot Sensation,2,Positive Reggae Vibrations,"Burn it, Like a Sun: Reggae Jazz Instrumental Summer Collection 2022",https://i.scdn.co/image/ab67616d0000b2738cfa06a6a1e1d4ee82e45f49,[],10,0.827,0.449,2,-10.973,1,0.0421,0.0479,0.0431,0.113,0.667,111.344,217346,4,reggae
23D2MvABN7c5KJJhaYj4Ff,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0aZrVf?si=dd8e69aa00484c7b,This is Positive Reggae Vibrations,Love Inspiration,3,Positive Reggae Vibrations,Reggea Smoke Jazz: Reach for New Music Sensations,https://i.scdn.co/image/ab67616d0000b273b925badfb43c8cc24bb11bc3,[],10,0.622,0.673,7,-11.254,0,0.0297,0.0525,0.874,0.106,0.91,94.986,181312,4,reggae
7zZn87QwlyNRmw0zAaA3rk,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0aZrVf?si=dd8e69aa00484c7b,This is Positive Reggae Vibrations,Unstoppable,4,Positive Reggae Vibrations,"Ragtime Freestyle Beats: Positive Vibes, Reggae Instrumentals",https://i.scdn.co/image/ab67616d0000b273d313c3a6980d7391b268db4c,[],10,0.825,0.385,10,-10.162,0,0.0479,0.508,0.626,0.16,0.824,90.748,219130,4,reggae
