,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
68p0qxKUrXRUYdLX6IghFk,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Rhapsody,51,Paul van Dyk,Rhapsody,https://i.scdn.co/image/ab67616d0000b2730dd3580690def9faaff98669,"['german techno', 'trance', 'uplifting trance']",58,0.446,0.941,10,-6.566,0,0.0387,0.000377,0.924,0.233,0.0653,127.99,198750,4,trance
7MKJv10BVcfkZSJZzOmtvI,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,INTO MY ARMS,53,Emma Hewitt,INTO MY ARMS,https://i.scdn.co/image/ab67616d0000b273fe391d4aa38650045dead1fe,"['trance', 'uplifting trance', 'vocal trance']",50,0.463,0.928,10,-6.571,1,0.0613,0.262,0.108,0.387,0.0747,125.962,234286,4,trance
6SrwmS9G3gI3cGNUqv6QzV,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Let You Down,58,Armin van Buuren,"Feel Again, Pt. 1",https://i.scdn.co/image/ab67616d0000b2731d71a09838ba94f93277ec69,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",74,0.572,0.956,10,-3.605,0,0.0418,0.0104,0.000188,0.205,0.0375,125.998,210476,4,trance
0KU8W0lHfsNlH7lfV1dz29,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Gratitude,56,Above & Beyond,Gratitude,https://i.scdn.co/image/ab67616d0000b273bb852958a6e0a5fbebadbe7f,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",61,0.521,0.927,10,-4.63,1,0.036,0.00307,0.0138,0.125,0.0429,128.05,233620,4,trance
73CRQe51UEpa3B6ZG7QEsl,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Erase Me,56,Ben Hemsley,Erase Me,https://i.scdn.co/image/ab67616d0000b273c14a6a8ce6d9c15e9553bc81,"['house', 'uk house']",47,0.633,0.899,4,-3.798,0,0.0456,0.263,0.0124,0.0919,0.485,132.033,243803,4,trance
13lUhE5ppZ8srSnaLoK2ky,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Right Back,53,Alexander Popov,Right Back,https://i.scdn.co/image/ab67616d0000b2737665fa6adae5bc2ef7a5942f,"['pop dance', 'progressive house', 'progressive trance', 'russian trance', 'trance', 'uplifting trance']",47,0.567,0.942,4,-7.217,0,0.0379,0.000957,0.0779,0.343,0.0396,125.043,209280,4,trance
13JYeTnxWhXJcwjogYSraT,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,In The End - Photographer Remix,50,Dash Berlin,In The End (Photographer Remix),https://i.scdn.co/image/ab67616d0000b273152ecdb3b6c76d7f62041baf,"['big room', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance', 'uplifting trance']",57,0.474,0.913,0,-8.561,1,0.0658,0.0668,0.931,0.115,0.0847,135.017,209667,4,trance
7u7RMMynAINKO3iMS0s0pZ,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Lightning,51,Super8 & Tab,Lightning,https://i.scdn.co/image/ab67616d0000b273c5b6ad42e4f0d8ad933b82a9,"['edm', 'finnish edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",47,0.561,0.902,10,-5.203,0,0.0308,0.000412,0.0178,0.151,0.215,125.007,234960,4,trance
6OAk8W4ebDp8UgOj6IBClU,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Be Alone,51,Oliver Smith,Be Alone,https://i.scdn.co/image/ab67616d0000b273769a865cdf2e2929a7906114,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",43,0.567,0.967,11,-4.142,0,0.0475,0.0108,0.0228,0.314,0.177,125.0,219615,4,trance
6yf6FF8BxqLqEr87RFY96m,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Offshore,52,Armin van Buuren,Offshore,https://i.scdn.co/image/ab67616d0000b2732e7b8635ff00988f713bfb02,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",74,0.533,0.949,5,-5.978,0,0.0399,0.00111,0.903,0.129,0.353,125.008,199680,4,trance
6yyjcaUe0zqxo2CV1Jv3ar,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Chains,54,Above & Beyond,Chains,https://i.scdn.co/image/ab67616d0000b273d6450f645992da49f2a9cbdc,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",61,0.553,0.726,3,-7.536,0,0.0376,0.0377,0.000198,0.253,0.112,125.937,217146,4,trance
1KGNzb5XDbFOJCOhQjnDJy,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Flashing Lights,50,Ashley Wallbridge,Flashing Lights,https://i.scdn.co/image/ab67616d0000b27376964b8f6e7009335dce132c,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",49,0.244,0.899,7,-4.386,0,0.0531,0.00258,0.000341,0.114,0.0539,129.981,203567,4,trance
4s5YiAfgPWyq37WukmceRI,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Artefact,50,Paul van Dyk,Artefact,https://i.scdn.co/image/ab67616d0000b2732febd3aeb77a6e79dfc70e1a,"['german techno', 'trance', 'uplifting trance']",58,0.459,0.975,1,-7.354,1,0.0454,0.0191,0.893,0.0828,0.138,128.018,220649,3,trance
2ZWdUSlnSgHv2pxqMieKWM,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Frozen - Full Fire Mix,50,Roman Messer,Frozen (Full Fire Mix),https://i.scdn.co/image/ab67616d0000b273aa8027b095b07b09bf6911fb,"['progressive uplifting trance', 'russian trance', 'trance']",47,0.544,0.996,9,-2.994,0,0.194,0.00288,0.115,0.187,0.0708,138.01,266087,4,trance
1LhO3e7X53MxSuYjUQ5ROt,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D?si=a6c8194831e34716,Trance Mission,Oblique,50,KhoMha,Oblique,https://i.scdn.co/image/ab67616d0000b273e0e170741461d2e91f3eb371,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",47,0.656,0.932,7,-7.37,0,0.0462,0.0438,0.724,0.3,0.188,126.941,145039,3,trance
