,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
3xrBHWo4U77dxsB0N1s8we,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Brigadier Sabari,39,Alpha Blondy,Best Of,https://i.scdn.co/image/ab67616d0000b27344900526204b0a2ac22a0bf8,"['african reggae', 'french reggae', 'reggae', 'roots reggae']",56,0.881,0.74,10,-6.762,0,0.159,0.239,1.69e-06,0.305,0.961,88.273,283973,4,reggae
4MGa3uO14yw16f8IPKnLZ6,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,I Shot The Sheriff,51,The Wailers,Burnin',https://i.scdn.co/image/ab67616d0000b27394d3ad951795b20e200cfb1e,"['dub', 'reggae', 'roots reggae', 'ska']",57,0.786,0.642,8,-9.324,1,0.184,0.329,2.3e-05,0.09,0.708,96.886,281027,4,reggae
4OvqTrWxOwHsxtu29C5zfV,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Soul Rebel,37,The Gladiators,Summer Reggae,https://i.scdn.co/image/ab67616d0000b2738abd796b5634cc5778fa5daf,"['dub', 'reggae', 'roots reggae']",49,0.827,0.333,0,-12.388,1,0.0419,0.0204,0.000703,0.0665,0.698,84.302,234653,4,reggae
7ixiCZEHWHc8FxaQXQh2P4,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Bam Bam,67,Sister Nancy,One Two,https://i.scdn.co/image/ab67616d0000b27333c6f21ab00263515f0b0d6d,"['dancehall queen', 'dub', 'reggae']",51,0.722,0.605,5,-6.07,1,0.153,0.825,0.0178,0.248,0.709,165.998,196507,4,reggae
1BkY0N8ChFk2mdLbAUu8ZK,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Pass The Dutchie,81,Musical Youth,Anthology,https://i.scdn.co/image/ab67616d0000b27392a9d95df51a8d84f90166a6,['uk reggae'],64,0.805,0.418,7,-14.374,1,0.0979,0.459,0.0,0.288,0.966,149.724,205427,4,reggae
2RlVyAjLnGJQYp7uzpfUta,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Rock Away,55,Beres Hammond,Music Is Life,https://i.scdn.co/image/ab67616d0000b273ed2eadf06b123071f8a7af5a,"['lovers rock', 'roots reggae']",51,0.722,0.544,8,-5.924,1,0.075,0.0969,0.0,0.0836,0.805,83.789,239200,4,reggae
22AbXxQbMdVqEz7xJjhccG,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Welcome To Jamrock,67,Damian Marley,Welcome to Jamrock,https://i.scdn.co/image/ab67616d0000b273569c9bd53261cc7313fbc7bd,"['reggae', 'reggae fusion']",65,0.836,0.661,7,-6.502,0,0.338,0.0208,0.0,0.449,0.753,76.71,213200,4,reggae
0C5P8jnf0UAWn68ms7TBM2,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,OK Fred,41,Errol Dunkley,Reggae Chartbusters Vol. 6,https://i.scdn.co/image/ab67616d0000b27356f673d47beda09bbe42a3f9,"['dub', 'lovers rock', 'reggae', 'rocksteady', 'roots reggae', 'ska']",36,0.714,0.682,7,-7.169,1,0.0554,0.0998,0.00186,0.275,0.736,94.098,232160,4,reggae
43CAMHDrAVA3nJP2zgKJDI,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Who Knows,57,Protoje,Ancient Future,https://i.scdn.co/image/ab67616d0000b27391c5ba68ffe4a8f9ab0a8a5b,"['dancehall', 'modern reggae']",57,0.683,0.724,5,-4.436,0,0.0988,0.0909,0.0,0.339,0.741,80.932,208467,4,reggae
1HGyhNaRUFEDBiVLbvtbL6,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Murder She Wrote,68,Chaka Demus & Pliers,Tease Me,https://i.scdn.co/image/ab67616d0000b2736ede9997b1c47f6891a25671,"['funana', 'lovers rock']",55,0.883,0.733,11,-9.153,0,0.128,0.161,0.00026,0.334,0.947,95.103,245000,4,reggae
07itbZUgkAmBi4CEH5NniJ,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,I Got You Babe,65,UB40,Baggariddim,https://i.scdn.co/image/ab67616d0000b273ac36739ab6c641370c7c7686,"['reggae', 'reggae fusion', 'uk reggae']",68,0.756,0.61,5,-13.002,1,0.0709,0.0806,7.89e-05,0.114,0.863,173.818,189093,4,reggae
2H4M3lyO2rJFQw33idCk1X,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Hills And Valleys,56,Buju Banton,Inna Heights,https://i.scdn.co/image/ab67616d0000b27312e8bd390eeb35187af6bfb3,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'reggae fusion', 'roots reggae']",58,0.687,0.544,3,-8.642,1,0.162,0.477,0.0,0.0937,0.742,72.082,273040,4,reggae
5uPYEStMW3KsXnnLV7iCTw,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Johnny B. Goode - 2002 Remaster,61,Peter Tosh,Mama Africa,https://i.scdn.co/image/ab67616d0000b2739c33fc76509d3b3e89bd5ce2,"['dub', 'reggae', 'roots reggae']",55,0.749,0.849,4,-5.761,0,0.0544,0.0299,0.000168,0.115,0.959,145.169,244253,4,reggae
1q8gelFgFYUwoWpQV7WNCe,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,54-46 Was My Number,57,Toots & The Maytals,In The Dark,https://i.scdn.co/image/ab67616d0000b273c22424eb54f4132e30efa886,"['reggae', 'rocksteady', 'roots reggae', 'ska']",54,0.685,0.36,0,-9.572,1,0.0568,0.18,0.0,0.112,0.597,160.448,204027,4,reggae
0INtJm8gCJKtNaAYQNVlpZ,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,"You Don't Love Me (No, No, No) - Extended Mix",62,Dawn Penn,"No, No, No",https://i.scdn.co/image/ab67616d0000b2733260aeb9dbc740c568a86017,"['lovers rock', 'reggae', 'rocksteady']",47,0.811,0.428,7,-10.728,1,0.221,0.0122,0.317,0.344,0.653,80.962,277893,4,reggae
1Rvl8qsKJurfFTyWLBI9ib,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,"Baby, I Love Your Way",69,Big Mountain,The Best of Big Mountain,https://i.scdn.co/image/ab67616d0000b2738dad961673a82ade27f202a8,"['reggae', 'reggae fusion']",55,0.651,0.747,1,-7.269,0,0.0699,0.0528,0.0,0.207,0.776,147.518,249520,4,reggae
3vYrrMpsebx3OJ1H5E1lWQ,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Wild World,58,Maxi Priest,Maxi,https://i.scdn.co/image/ab67616d0000b273e55a77fbedbab33975b112f4,"['lovers rock', 'reggae', 'reggae fusion', 'roots reggae']",50,0.763,0.352,0,-11.789,1,0.0555,0.261,8.45e-05,0.0791,0.732,83.993,218427,4,reggae
6vteTQH9VwU9R9Ssyt9x5n,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Mount Zion Medley,50,Morgan Heritage,Morgan Heritage Family & Friends Vol. 1,https://i.scdn.co/image/ab67616d0000b273ae663989b7d9683f8e8672cf,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",48,0.638,0.415,10,-13.1,0,0.362,0.155,0.0,0.141,0.812,137.551,357214,4,reggae
4abVwdCy5QUcyI3KS2lMJK,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Here I Come,60,Barrington Levy,Reggae Anthology: Sweet Reggae Music (1979-84),https://i.scdn.co/image/ab67616d0000b273d529c2a8138775510d303ff4,"['dub', 'lovers rock', 'reggae', 'reggae fusion', 'roots reggae']",57,0.586,0.663,4,-6.547,0,0.0825,0.161,0.0,0.198,0.693,170.743,217200,4,reggae
6PbtTwGUPPbnT7nRTA1gS3,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Your House,54,Steel Pulse,True Democracy,https://i.scdn.co/image/ab67616d0000b273575da312c2dbaf47c49ececb,"['dub', 'reggae', 'roots reggae', 'uk reggae']",55,0.707,0.716,10,-8.962,0,0.0879,0.057,4.25e-06,0.36,0.966,154.118,222600,4,reggae
1waOqfmEVkVC8WhaIP6uGI,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Waiting In Vain,56,Bob Marley & The Wailers,Legend - The Best Of Bob Marley And The Wailers,https://i.scdn.co/image/ab67616d0000b273413a6c2c7b296d98171e5e21,"['reggae', 'roots reggae']",78,0.838,0.453,8,-11.536,1,0.31,0.025,2.42e-05,0.116,0.815,78.837,256493,4,reggae
5d1tSaiS9zqCEfeNn1lEqk,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Je sais pas jouer,49,Pierpoljak,Kingston Karma,https://i.scdn.co/image/ab67616d0000b273e3b1fbb45921378de426f61d,['french reggae'],42,0.865,0.47,8,-6.191,0,0.0734,0.00509,0.0,0.148,0.757,80.521,249667,4,reggae
3G7eAtpqNamquS0PT58ZBe,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Shine,38,Aswad,Cool Summer Reggae,https://i.scdn.co/image/ab67616d0000b27319f1349cbd2debe21bfc7a40,"['dub', 'lovers rock', 'reggae', 'roots reggae', 'uk reggae']",47,0.757,0.871,2,-5.543,0,0.0507,0.014,0.00246,0.0544,0.553,104.994,226467,4,reggae
3tiHZqBb3M6P1G1QREASeQ,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Try Jah Love,44,Third World,Reggae Ambassadors: 20th Anniversary Collection,https://i.scdn.co/image/ab67616d0000b273ce181a82027d99127e13028a,"['dub', 'lovers rock', 'reggae', 'reggae fusion', 'roots reggae']",47,0.761,0.581,1,-13.548,0,0.0386,0.0952,0.0,0.14,0.891,111.808,409933,4,reggae
42haGkGqdkjRMW4j0TC5Km,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,Reggae Night,55,Jimmy Cliff,The Power And The Glory,https://i.scdn.co/image/ab67616d0000b273b274def78f94b8cd8dd0af3f,"['reggae', 'roots reggae']",60,0.851,0.514,0,-13.312,1,0.0362,0.292,1.98e-05,0.0683,0.965,109.357,320227,4,reggae
7056gVvC7P3PpltHgippd2,https://open.spotify.com/playlist/37i9dQZF1DX2oc5aN4UDfD?si=b8e7b9bc2e354184,Ultimate Reggae,The Tide Is High - Stereo Version,53,The Paragons,On the Beach: The Anthology,https://i.scdn.co/image/ab67616d0000b273601f12c69021f02bbfa9bc04,"['dub', 'lovers rock', 'reggae', 'rocksteady', 'ska']",42,0.452,0.433,7,-9.189,1,0.0291,0.241,0.0,0.472,0.832,96.285,161973,4,reggae
