,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
5LyfiK6iXEIBNEtcaGKohl,https://open.spotify.com/playlist/37i9dQZF1DWWgsG1xGbDd1?si=32390cde9da6468c,Vintage Vibes: Sunny Reggae,Jamming,73,Bob Marley & The Wailers,Exodus,https://i.scdn.co/image/ab67616d0000b273811bfdc4f55b3a7484524aaf,"['reggae', 'roots reggae']",78,0.935,0.479,11,-10.981,0,0.306,0.107,5.25e-05,0.118,0.773,123.644,211000,4,reggae
25ugoarRZ6IaZegrjNxGOx,https://open.spotify.com/playlist/37i9dQZF1DWWgsG1xGbDd1?si=32390cde9da6468c,Vintage Vibes: Sunny Reggae,"Get Up, Stand Up",61,The Wailers,Burnin' (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2739e0e071bcaa827031dfad879,"['dub', 'reggae', 'roots reggae', 'ska']",57,0.765,0.555,10,-7.579,0,0.374,0.409,2.04e-06,0.073,0.828,77.848,197667,4,reggae
0VjZC2nsyapSm0pd5r4Jns,https://open.spotify.com/playlist/37i9dQZF1DWWgsG1xGbDd1?si=32390cde9da6468c,Vintage Vibes: Sunny Reggae,Bobby Babylon,46,Freddie McGregor,Freddie McGregor: The Anthology,https://i.scdn.co/image/ab67616d0000b2730cad116a6aa32b6c204859fe,"['dub', 'lovers rock', 'reggae', 'roots reggae']",47,0.688,0.473,7,-11.323,1,0.127,0.434,0.0899,0.173,0.897,79.676,147600,4,reggae
5VsZxcRWnfX9b4SNH0KjuK,https://open.spotify.com/playlist/37i9dQZF1DWWgsG1xGbDd1?si=32390cde9da6468c,Vintage Vibes: Sunny Reggae,People Make the World Go Round,36,Hortense Ellis,Alton & Hortense Ellis,https://i.scdn.co/image/ab67616d0000b273a04e9c70c93866df464a0ea1,"['early reggae', 'jamaican ska', 'lovers rock', 'rocksteady']",27,0.854,0.643,8,-8.988,0,0.0953,0.396,0.00273,0.22,0.965,81.187,198000,4,reggae
1IydAjgvKCvFinmoIDaBx0,https://open.spotify.com/playlist/37i9dQZF1DWWgsG1xGbDd1?si=32390cde9da6468c,Vintage Vibes: Sunny Reggae,No No No,36,Dawn Penn,Feel Like Jumping: The Best of Studio One Women,https://i.scdn.co/image/ab67616d0000b2731b95b94a889ec3fd25f4112e,"['lovers rock', 'reggae', 'rocksteady']",47,0.804,0.412,6,-10.373,1,0.0508,0.573,0.884,0.16,0.391,146.676,269507,4,reggae
19MYWyeATrI33acF9xSgBk,https://open.spotify.com/playlist/37i9dQZF1DWWgsG1xGbDd1?si=32390cde9da6468c,Vintage Vibes: Sunny Reggae,Rudie Bam Bam,34,The Clarendonians,Winner Of My Heart - Reggae,https://i.scdn.co/image/ab67616d0000b2735fe3b68188fb83ffb38a6bfe,"['early reggae', 'rocksteady']",27,0.732,0.491,8,-8.218,1,0.0891,0.685,0.0,0.168,0.97,209.421,141800,4,reggae
22LNaj7qU9BC1nlylGVaKt,https://open.spotify.com/playlist/37i9dQZF1DWWgsG1xGbDd1?si=32390cde9da6468c,Vintage Vibes: Sunny Reggae,Never Give Your Heart Away,33,Carlton & The Shoes,Love Me Forever,https://i.scdn.co/image/ab67616d0000b27368fcbbf7cc392b784a1a90b0,"['lovers rock', 'rocksteady']",31,0.8,0.296,2,-11.202,1,0.161,0.713,0.565,0.116,0.656,143.367,185760,4,reggae
3XsdL4mKkygWZpOcyt4vfp,https://open.spotify.com/playlist/37i9dQZF1DWWgsG1xGbDd1?si=32390cde9da6468c,Vintage Vibes: Sunny Reggae,Poco Tempo (aka Pocco Tempo),33,Pablove Black and The New Establishment,Natural High: The Bongo Man Collection,https://i.scdn.co/image/ab67616d0000b273fd3b753784cd13ecdc5e6b79,[],16,0.766,0.464,6,-9.5,0,0.0376,0.0108,0.89,0.0911,0.395,102.329,250544,4,reggae
2WyHhnomczoCMPlG6SW50w,https://open.spotify.com/playlist/37i9dQZF1DWWgsG1xGbDd1?si=32390cde9da6468c,Vintage Vibes: Sunny Reggae,Addis Ababa,33,The Skatalites,Foundation Ska,https://i.scdn.co/image/ab67616d0000b273c5506ebe7d5faf479e8fba4c,"['dub', 'jamaican ska', 'reggae', 'rocksteady', 'ska', 'ska jazz', 'ska revival']",46,0.837,0.731,10,-5.649,1,0.104,0.37,0.943,0.0271,0.921,116.915,144773,4,reggae
6oZymvG8LsXxMzDFPwBqRf,https://open.spotify.com/playlist/37i9dQZF1DWWgsG1xGbDd1?si=32390cde9da6468c,Vintage Vibes: Sunny Reggae,Mad World,33,Hugh Godfrey,This Girl Loves Reggae,https://i.scdn.co/image/ab67616d0000b273c5b8b4c9c8067bdcb3fd3677,[],19,0.795,0.441,4,-10.825,0,0.0613,0.773,0.0,0.182,0.946,117.539,108627,4,reggae
