,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0hXkUTYYsWLBMiUcP3Qy7l,https://open.spotify.com/playlist/37i9dQZF1EIdsSEnYBHnE1?si=a8139ede6c984f27,Violin Classical Violin Mix,Lightly Row (arr. for violin and piano),34,Traditional,"Takako Nishizaki Plays Suzuki Evergreens, Vol. 1",https://i.scdn.co/image/ab67616d0000b273db75c97973e3cdb6d8c3140e,"['puirt-a-beul', 'sleep']",58,0.226,0.148,9,-18.901,1,0.0588,0.993,0.0057,0.0986,0.177,161.388,37293,1,classical
2NP2MtHSCEzjb9H3DA4TC1,https://open.spotify.com/playlist/37i9dQZF1EIdsSEnYBHnE1?si=a8139ede6c984f27,Violin Classical Violin Mix,"Thaïs, Act 2 Méditation",11,Jules Massenet,Beautiful Clasical Melodies,https://i.scdn.co/image/ab67616d0000b273c7d841573f39729278a0e35c,"['classical', 'french opera', 'french romanticism', 'post-romantic era']",51,0.178,0.0834,2,-20.837,1,0.0422,0.93,0.354,0.104,0.0397,87.704,282027,5,classical
7MMB14hsdcLAlQUvpIqAGs,https://open.spotify.com/playlist/37i9dQZF1EIdsSEnYBHnE1?si=a8139ede6c984f27,Violin Classical Violin Mix,"Vivaldi's Violin Sonata In A, Op. 2/2, RV 31 - 3. Adagio",22,Nathan Milstein,Violin Essential Masters,https://i.scdn.co/image/ab67616d0000b273af32a84c647af4edbf8e369c,"['classical performance', 'violin']",31,0.326,0.14,6,-17.707,1,0.0431,0.913,0.269,0.127,0.177,98.556,73654,5,classical
1wmF5bwFFEcSTOL5BuJiG7,https://open.spotify.com/playlist/37i9dQZF1EIdsSEnYBHnE1?si=a8139ede6c984f27,Violin Classical Violin Mix,"Orfeo ed Euridice, Wq. 30, Act 2: Melodie No. 2 (Arr. Heifetz)",22,Christoph Willibald Gluck,Top 50 Most Popular Classical Violin,https://i.scdn.co/image/ab67616d0000b2733eae0c3e604764c5719f1e82,"['classical', 'classical era', 'early music', 'galante era']",51,0.219,0.0449,2,-26.19,0,0.0471,0.927,0.116,0.118,0.0391,80.346,189947,4,classical
4LTGZ03qAt7ZQ1Pqk97vgZ,https://open.spotify.com/playlist/37i9dQZF1EIdsSEnYBHnE1?si=a8139ede6c984f27,Violin Classical Violin Mix,"Vivaldi: The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo",45,Antonio Vivaldi,The Four Seasons,https://i.scdn.co/image/ab67616d0000b273c7464f9c451674bc683cb47f,"['baroque', 'classical', 'early music', 'italian baroque']",68,0.289,0.0983,10,-24.327,1,0.0476,0.935,0.506,0.107,0.283,63.964,142333,4,classical
3dfua4iLXX9SpZcmsIaaOH,https://open.spotify.com/playlist/37i9dQZF1EIdsSEnYBHnE1?si=a8139ede6c984f27,Violin Classical Violin Mix,"Violin Concerto No. 3 in G, K.216: 3. Rondo (Allegro)",31,Wolfgang Amadeus Mozart,Mozart: The Violin Concertos; Sinfonia Concertante,https://i.scdn.co/image/ab67616d0000b27379c8576239467054f4e30c98,"['classical', 'classical era']",73,0.461,0.099,7,-20.152,1,0.047,0.965,0.729,0.114,0.313,122.234,380467,4,classical
63OgXUj3isYoRs9J6qQ2X1,https://open.spotify.com/playlist/37i9dQZF1EIdsSEnYBHnE1?si=a8139ede6c984f27,Violin Classical Violin Mix,Allegretto,33,Shinichi Suzuki,"Takako Nishizaki Plays Suzuki Evergreens, Vol. 1",https://i.scdn.co/image/ab67616d0000b273db75c97973e3cdb6d8c3140e,['japanese classical'],39,0.794,0.156,2,-19.264,1,0.302,0.993,0.157,0.106,0.916,115.014,39973,4,classical
2TfIr9lpTB263hAAnR5Th8,https://open.spotify.com/playlist/37i9dQZF1EIdsSEnYBHnE1?si=a8139ede6c984f27,Violin Classical Violin Mix,"21 Hungarian Dances, WoO 1 - Transcription Joseph Joachim: No.5 in G Minor",29,Johannes Brahms,Brahms/Dvorák/Janácek: Hungarian Dances/4 Romantic Pieces/Violin Sonata etc.,https://i.scdn.co/image/ab67616d0000b273a471d3663e1a4f97e2ea0954,"['classical', 'german romanticism', 'late romantic era']",64,0.338,0.125,7,-17.854,0,0.0482,0.965,0.53,0.265,0.524,79.362,116000,3,classical
07TyWj347JLofy7JiwNIsV,https://open.spotify.com/playlist/37i9dQZF1EIdsSEnYBHnE1?si=a8139ede6c984f27,Violin Classical Violin Mix,Brahms Hungarian Dance No.1: Johannes Brahms,10,Mela Tenenbaum,Tea Time,https://i.scdn.co/image/ab67616d0000b273aaad2d8b0f532987ecee39b8,[],31,0.383,0.153,7,-19.904,0,0.0531,0.903,0.196,0.12,0.466,61.688,177333,3,classical
333pCJG6AL2QfW0H3nAbw2,https://open.spotify.com/playlist/37i9dQZF1EIdsSEnYBHnE1?si=a8139ede6c984f27,Violin Classical Violin Mix,Passacaglia g-moll,17,Heinrich Ignaz Franz von Biber,Heinrich Ignaz Franz Biber: Rosenkranz-Sonaten,https://i.scdn.co/image/ab67616d0000b27328bbca66c93056e9ae82a289,"['baroque', 'bohemian baroque', 'classical', 'early music']",38,0.308,0.0633,6,-22.334,0,0.0609,0.966,0.264,0.177,0.31,83.174,402000,4,classical
