,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1B4XhExXA4NswSQPetDuEg,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,Arbol Sin Hojas,70,Dread Mar I,Vivi En Do,https://i.scdn.co/image/ab67616d0000b2738dede181c935e3f5cdd246c7,"['argentine reggae', 'argentine rock', 'latin alternative', 'rock en espanol']",70,0.769,0.577,5,-6.742,0,0.126,0.184,0.000404,0.0257,0.969,167.637,199864,4,reggae
6b37xrsNCWYIUphFBazqD6,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,Me Gustas Tu,77,Manu Chao,Próxima Estación: Esperanza,https://i.scdn.co/image/ab67616d0000b2731dcba4a728ca0b17cbd204a5,"['latin alternative', 'world']",67,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,239987,4,reggae
1vmRfKejQWsWnE3arhhEit,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,"Cnv Sound, Vol. 14",74,Pure Negga,Cnv Sound Volums (Kion Studio One Shots),https://i.scdn.co/image/ab67616d0000b273e4b6fc6dfbfb900b5b50ff46,[],62,0.83,0.666,6,-4.281,0,0.443,0.4,0.000105,0.0922,0.938,173.364,194583,4,reggae
3MRTSZkWkTG4SJi7QNXPmF,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,Tierra de Jaguares,37,Delasierra,Tierra de Jaguares,https://i.scdn.co/image/ab67616d0000b273337c9158bd1a19a45f49f415,[],31,0.612,0.514,2,-7.491,1,0.338,0.419,1.18e-06,0.101,0.724,118.131,227678,4,reggae
55nSQ0bhYhnN9Gr6yKAF86,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,Ilegal,65,Cultura Profética,La Dulzura,https://i.scdn.co/image/ab67616d0000b2736c4218db039fb7b08a16be1e,"['latin alternative', 'reggae en espanol', 'rock en espanol']",63,0.826,0.577,10,-4.707,0,0.0485,0.366,0.0,0.0923,0.772,116.916,306005,4,reggae
7ABBtIReI8d993JDVA8cC8,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,El Corazón y La Razón,35,Providencia,El Corazón y La Razón,https://i.scdn.co/image/ab67616d0000b273fbd851130114747e6f408c9e,"['colombian rock', 'reggae en espanol']",31,0.766,0.839,11,-4.728,0,0.0497,0.043,0.0,0.361,0.903,79.984,188522,4,reggae
3P4tO3w6UnIiJy07b1RXCY,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,Mi Guitarra Enamorada,46,Carlos Vives,Cumbiana II,https://i.scdn.co/image/ab67616d0000b273f4f133bb3dd1c81066a67085,"['champeta', 'colombian pop', 'latin pop', 'tropical', 'vallenato']",74,0.764,0.958,7,-1.61,1,0.0475,0.039,0.0,0.0814,0.894,164.017,233117,4,reggae
6srdU7rKLC5DOuVBWDpmyD,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,Vibra Positiva,64,Zona Ganjah,Con Rastafari Todo Concuerda,https://i.scdn.co/image/ab67616d0000b27306b072d42047dda16ca0c236,"['latin hip hop', 'mexican hip hop', 'reggae en espanol', 'rock en espanol']",59,0.877,0.86,2,-3.742,1,0.0614,0.354,0.0,0.572,0.961,146.972,259560,4,reggae
53LAYZeyIvplSdQTmEoeKC,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,Ganas de Verte,38,Delasierra,Ganas de Verte,https://i.scdn.co/image/ab67616d0000b273285c3d71f41ad5bc4cbdce9d,[],31,0.892,0.481,1,-8.949,1,0.355,0.0377,0.0,0.08,0.389,92.989,245933,4,reggae
12B4atoKzPeSe0IdNo2r8b,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,Mi Excusa,39,La Tifa,Mi Excusa,https://i.scdn.co/image/ab67616d0000b273840bffa2550987235e1a844f,['reggae en espanol'],29,0.73,0.662,8,-5.359,1,0.0739,0.117,1.62e-05,0.142,0.863,77.99,189080,4,reggae
5n40SAKMk89wdWyhTfWzx4,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,Antonia,45,Gondwana,RAS Portraits,https://i.scdn.co/image/ab67616d0000b273fa09d0681317cc5eca800a43,"['latin alternative', 'reggae en espanol', 'rock en espanol']",60,0.763,0.64,0,-8.044,1,0.0411,0.298,0.00244,0.0538,0.94,95.487,248213,4,reggae
1vV2FBKYvu6sJDqzSCNgbI,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,Hablar de Ti,61,Gepe,Ciencia Exacta,https://i.scdn.co/image/ab67616d0000b2736286b8b0b9bfb5f91392692c,"['chilean indie', 'chilean rock', 'latin alternative', 'latin rock']",56,0.592,0.487,9,-9.052,1,0.251,0.485,0.0,0.0768,0.638,170.285,205569,4,reggae
0VFp2NOB2gUYtD1raVIFir,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,La Playa,48,Alkilados,La Playa,https://i.scdn.co/image/ab67616d0000b273b1bea771517740235daa53b9,"['colombian pop', 'ecuadorian pop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano']",56,0.746,0.58,5,-4.884,1,0.0504,0.00415,1.1e-06,0.0459,0.589,91.998,196165,4,reggae
5KQVSvivJ89ZFAPdsLLtyq,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,High (feat. Apache),60,Rawayana,Trippy Caribbean,https://i.scdn.co/image/ab67616d0000b273a04679dd810e84874d2456e6,"['reggae en espanol', 'venezuelan hip hop', 'venezuelan rock']",57,0.798,0.791,10,-7.05,0,0.0601,0.134,0.0,0.109,0.82,104.044,288388,4,reggae
6tsPTremXK46tOWQfgjQXx,https://open.spotify.com/playlist/37i9dQZF1DX4Ux6OGNoFON?si=b7505a6a41d9488c,Volando con Reggae,Pupilas Lejanas,50,Bahiano,Pupilas Lejanas,https://i.scdn.co/image/ab67616d0000b2739a4038bcd12a7d8ea2ea24af,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']",47,0.733,0.525,3,-9.317,1,0.0382,0.0463,0.0,0.135,0.829,79.998,226000,4,reggae
